ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.16,0.18,easting,-0.114
1,0.18,0.2,easting,-0.115
1,0.2,0.22,easting,-0.127
1,0.22,0.24,easting,-0.125
1,0.24,0.26,easting,-0.134
1,0.26,0.28,easting,-0.131
1,0.28,0.3,easting,-0.133
1,0.3,0.32,easting,-0.131
1,0.32,0.34,easting,-0.129
1,0.34,0.36,easting,-0.132
1,0.36,0.38,easting,-0.133
1,0.38,0.4,easting,-0.126
1,0.4,0.42,easting,-0.123
1,0.42,0.44,easting,-0.123
1,0.44,0.46,easting,-0.12
1,0.46,0.48,easting,-0.117
1,0.48,0.5,easting,-0.116
1,0.5,0.52,easting,-0.119
1,0.52,0.54,easting,-0.118
1,0.54,0.56,easting,-0.114
1,0.56,0.58,easting,-0.11
1,0.58,0.6,easting,-0.105
1,0.6,0.62,easting,-0.112
1,0.62,0.64,easting,-0.107
1,0.64,0.66,easting,-0.099
1,0.66,0.68,easting,-0.097
1,0.68,0.7,easting,-0.095
1,0.7,0.72,easting,-0.09
1,0.72,0.74,easting,-0.097
1,0.74,0.76,easting,-0.096
1,0.76,0.78,easting,-0.097
1,0.78,0.8,easting,-0.093
1,0.8,0.82,easting,-0.091
1,0.82,0.84,easting,-0.084
1,0.84,0.86,easting,-0.084
1,0.86,0.88,easting,-0.079
1,0.88,0.9,easting,-0.079
1,0.9,0.92,easting,-0.083
1,0.92,0.94,easting,-0.079
1,0.94,0.96,easting,-0.079
1,0.96,0.98,easting,-0.082
1,0.98,1,easting,-0.071
2,0.16,0.18,easting,-0.112
2,0.18,0.2,easting,-0.118
2,0.2,0.22,easting,-0.128
2,0.22,0.24,easting,-0.123
2,0.24,0.26,easting,-0.127
2,0.26,0.28,easting,-0.129
2,0.28,0.3,easting,-0.126
2,0.3,0.32,easting,-0.126
2,0.32,0.34,easting,-0.128
2,0.34,0.36,easting,-0.126
2,0.36,0.38,easting,-0.128
2,0.38,0.4,easting,-0.13
2,0.4,0.42,easting,-0.126
2,0.42,0.44,easting,-0.129
2,0.44,0.46,easting,-0.131
2,0.46,0.48,easting,-0.129
2,0.48,0.5,easting,-0.125
2,0.5,0.52,easting,-0.122
2,0.52,0.54,easting,-0.12
2,0.54,0.56,easting,-0.116
2,0.56,0.58,easting,-0.111
2,0.58,0.6,easting,-0.107
2,0.6,0.62,easting,-0.104
2,0.62,0.64,easting,-0.101
2,0.64,0.66,easting,-0.102
2,0.66,0.68,easting,-0.103
2,0.68,0.7,easting,-0.099
2,0.7,0.72,easting,-0.094
2,0.72,0.74,easting,-0.096
2,0.74,0.76,easting,-0.089
2,0.76,0.78,easting,-0.09
2,0.78,0.8,easting,-0.088
2,0.8,0.82,easting,-0.085
2,0.82,0.84,easting,-0.08
2,0.84,0.86,easting,-0.086
2,0.86,0.88,easting,-0.086
2,0.88,0.9,easting,-0.085
2,0.9,0.92,easting,-0.084
2,0.92,0.94,easting,-0.082
2,0.94,0.96,easting,-0.084
2,0.96,0.98,easting,-0.084
3,0.16,0.18,easting,-0.119
3,0.18,0.2,easting,-0.125
3,0.2,0.22,easting,-0.128
3,0.22,0.24,easting,-0.136
3,0.24,0.26,easting,-0.136
3,0.26,0.28,easting,-0.132
3,0.28,0.3,easting,-0.135
3,0.3,0.32,easting,-0.136
3,0.32,0.34,easting,-0.13
3,0.34,0.36,easting,-0.131
3,0.36,0.38,easting,-0.127
3,0.38,0.4,easting,-0.127
3,0.4,0.42,easting,-0.125
