ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
5184,2021-08-21,19:01:57.84,0,3.66,0.46,29.5113774037313,-91.4518249120945
5185,2021-08-21,19:01:58.54,0.5,3.67,0.47,29.5113772133356,-91.4518197981612
5186,2021-08-21,19:01:59.21,0.98,3.71,0.48,29.5113769629716,-91.4518148037778
5187,2021-08-21,19:01:59.92,1.54,3.74,0.51,29.5113769411168,-91.4518090528344
5188,2021-08-21,19:02:00.58,2.08,3.75,0.54,29.5113769495962,-91.4518035046582
5189,2021-08-21,19:02:01.28,2.67,3.77,0.56,29.5113765252716,-91.4517973647308
5190,2021-08-21,19:02:01.96,3.26,3.81,0.57,29.5113760600088,-91.451791351284
5191,2021-08-21,19:02:02.67,3.89,3.84,0.6,29.5113756806785,-91.4517848908693
5192,2021-08-21,19:02:03.32,4.5,3.88,0.93,29.511374852676,-91.451778645673
5193,2021-08-21,19:02:04.70,5.81,3.93,0.68,29.5113729017016,-91.4517653117764
5194,2021-08-21,19:02:04.75,5.86,3.96,0.35,29.5113727878524,-91.4517648338065
5195,2021-08-21,19:02:05.45,6.53,3.99,0.66,29.5113712385326,-91.451758095127
5196,2021-08-21,19:02:06.10,7.19,4,0.67,29.5113695239853,-91.4517516581325
5197,2021-08-21,19:02:06.81,7.89,4.02,0.69,29.5113675226669,-91.4517447715909
5198,2021-08-21,19:02:07.49,8.56,4.02,0.69,29.5113650680155,-91.4517383974427
5199,2021-08-21,19:02:08.19,9.28,4.02,0.72,29.5113626906603,-91.4517315320995
5200,2021-08-21,19:02:08.85,9.99,3.98,0.73,29.5113601610238,-91.4517248403255
5201,2021-08-21,19:02:09.57,10.73,3.96,0.73,29.5113574541878,-91.4517178097797
5202,2021-08-21,19:02:10.25,11.44,3.95,0.74,29.5113549667503,-91.4517110224532
5203,2021-08-21,19:02:10.96,12.21,3.89,0.75,29.5113523828463,-91.4517037001536
5204,2021-08-21,19:02:11.63,12.95,3.84,0.76,29.5113498793772,-91.451696621122
5205,2021-08-21,19:02:12.32,13.72,3.77,0.86,29.5113476529151,-91.4516890757132
5206,2021-08-21,19:02:13.19,14.7,3.73,0.88,29.5113447729559,-91.4516795770785
5207,2021-08-21,19:02:13.88,15.48,3.73,0.78,29.5113428276078,-91.4516718406656
5208,2021-08-21,19:02:14.55,16.26,3.75,0.79,29.5113409605954,-91.4516640122788
5209,2021-08-21,19:02:15.25,17.08,3.82,0.8,29.5113391531565,-91.4516558755627
5210,2021-08-21,19:02:15.93,17.86,3.87,0.8,29.5113375309882,-91.4516479959944
5211,2021-08-21,19:02:16.64,18.7,3.93,0.81,29.5113356826045,-91.4516395978693
5212,2021-08-21,19:02:17.31,19.52,3.97,0.93,29.5113341773417,-91.4516313740269
5213,2021-08-21,19:02:18.20,20.58,3.98,0.82,29.5113320192626,-91.4516207131204
5214,2021-08-21,19:02:18.69,21.17,3.98,0.71,29.5113308260991,-91.451614726232
5215,2021-08-21,19:02:19.39,22.03,3.95,1.09,29.5113292420971,-91.4516060950659
5216,2021-08-21,19:02:20.50,23.39,3.96,0.84,29.5113263298504,-91.4515924302213
5217,2021-08-21,19:02:20.75,23.71,3.95,0.56,29.5113257827129,-91.4515891497508
5218,2021-08-21,19:02:21.42,24.54,3.95,0.87,29.51132419832,-91.4515807950652
5219,2021-08-21,19:02:22.11,25.44,3.95,0.86,29.5113221200128,-91.4515718701932
5220,2021-08-21,19:02:22.78,26.3,3.93,0.89,29.5113205324604,-91.4515631668687
5221,2021-08-21,19:02:23.50,27.23,3.91,0.9,29.5113184269597,-91.451553844206
5222,2021-08-21,19:02:24.17,28.12,3.93,0.91,29.5113164734179,-91.4515449401298
5223,2021-08-21,19:02:24.88,29.08,3.86,0.93,29.5113145333832,-91.4515353364123
5224,2021-08-21,19:02:25.55,30,3.92,0.94,29.5113124193021,-91.4515261294234
5225,2021-08-21,19:02:26.25,30.96,3.87,0.92,29.5113102140201,-91.4515165297444
5226,2021-08-21,19:02:26.93,31.89,3.87,0.98,29.5113082203395,-91.4515072786264
5227,2021-08-21,19:02:27.65,32.9,3.89,0.93,29.5113057127296,-91.4514972884395
5228,2021-08-21,19:02:28.30,33.8,3.85,1.1,29.5113041717935,-91.4514880943919
5229,2021-08-21,19:02:29.21,35.09,3.88,1.1,29.5113008555172,-91.4514753796355
5230,2021-08-21,19:02:29.90,36.05,3.87,0.96,29.5112991091145,-91.4514656667161
5231,2021-08-21,19:02:30.57,37.03,3.88,0.98,29.5112968534997,-91.4514559295693
5232,2021-08-21,19:02:31.28,38.04,3.89,0.97,29.5112947989475,-91.4514457911574
5233,2021-08-21,19:02:31.96,39,3.9,0.98,29.5112929262953,-91.4514360853193
5234,2021-08-21,19:02:32.67,40.03,3.88,0.99,29.5112908558416,-91.4514257439204
5235,2021-08-21,19:02:33.33,41,3.85,1.12,29.5112889854024,-91.4514159957556
5236,2021-08-21,19:02:34.24,42.31,3.83,1.15,29.5112864576348,-91.4514027263665
5237,2021-08-21,19:02:34.94,43.33,3.83,1,29.5112846590404,-91.4513924066216
5238,2021-08-21,19:02:35.60,44.33,3.84,1,29.5112826718949,-91.451382322894
5239,2021-08-21,19:02:36.31,45.36,3.81,1.14,29.5112810037941,-91.451371895938
5240,2021-08-21,19:02:37.19,46.65,3.8,1.15,29.5112786769207,-91.4513588308481
5241,2021-08-21,19:02:37.89,47.7,3.79,0.99,29.5112769306776,-91.4513482802569
5242,2021-08-21,19:02:38.55,48.68,3.83,1,29.5112753281159,-91.4513382897106
5243,2021-08-21,19:02:39.25,49.73,3.91,1.02,29.511273485999,-91.4513276425762
5244,2021-08-21,19:02:39.95,50.76,3.96,1.03,29.5112720053588,-91.4513171962621
5245,2021-08-21,19:02:40.65,51.82,3.99,1.01,29.5112700936638,-91.4513064635305
5246,2021-08-21,19:02:41.32,52.82,4.01,1.28,29.5112686102885,-91.4512962473121
5247,2021-08-21,19:02:42.40,54.43,4.04,1.01,29.5112659773766,-91.4512799950601
5248,2021-08-21,19:02:42.71,54.89,4.05,0.74,29.511265140056,-91.4512752757785
5249,2021-08-21,19:02:43.41,55.94,4.05,1.52,29.5112633955756,-91.4512646446974
5250,2021-08-21,19:02:44.79,58.02,4.06,1.02,29.511260057037,-91.4512435143562
5251,2021-08-21,19:02:44.78,58.04,4.07,0.49,29.5112600831988,-91.4512436687005
5252,2021-08-21,19:02:45.47,59.06,4.04,1.01,29.5112585794794,-91.4512332557523
5253,2021-08-21,19:02:46.17,60.12,4.04,1.02,29.5112566737797,-91.4512225734823
5254,2021-08-21,19:02:46.84,61.15,4.03,1.03,29.5112550264296,-91.4512121472505
5255,2021-08-21,19:02:47.56,62.23,3.98,1.03,29.5112531839219,-91.4512011576279
5256,2021-08-21,19:02:48.24,63.24,3.97,1.02,29.511251381485,-91.4511909741224
5257,2021-08-21,19:02:48.95,64.31,3.96,1.03,29.5112496537702,-91.451180078695
5258,2021-08-21,19:02:49.63,65.35,3.92,1.04,29.511247986292,-91.4511695516672
5259,2021-08-21,19:02:50.32,66.42,3.92,1.14,29.5112459686928,-91.4511587916738
5260,2021-08-21,19:02:51.18,67.69,3.9,1.14,29.5112440532955,-91.4511458059517
5261,2021-08-21,19:02:51.86,68.74,3.87,1.02,29.5112421671727,-91.451135178067
5262,2021-08-21,19:02:52.53,69.76,3.85,1.02,29.5112404546746,-91.4511248920933
5263,2021-08-21,19:02:53.25,70.84,3.85,1.03,29.5112388077686,-91.4511138850547
5264,2021-08-21,19:02:53.92,71.86,3.84,1.04,29.5112371360974,-91.451103540692
5265,2021-08-21,19:02:54.64,72.96,3.81,1.03,29.5112353316191,-91.4510924081309
5266,2021-08-21,19:02:55.30,73.97,3.78,1.16,29.5112336738033,-91.4510821687856
5267,2021-08-21,19:02:56.20,75.33,3.73,1.18,29.5112315141658,-91.4510683573672
5268,2021-08-21,19:02:56.89,76.38,3.77,1.01,29.5112295654241,-91.4510576994869
5269,2021-08-21,19:02:57.55,77.39,3.8,1.02,29.5112278777127,-91.4510474502796
5270,2021-08-21,19:02:58.25,78.46,3.85,1.03,29.5112259492521,-91.4510366744873
5271,2021-08-21,19:02:58.93,79.48,3.89,1.03,29.5112239944776,-91.4510263509444
5272,2021-08-21,19:02:59.64,80.56,3.88,1.03,29.5112222263786,-91.4510154757367
5273,2021-08-21,19:03:00.30,81.58,3.87,1.17,29.511219905899,-91.451005285687
5274,2021-08-21,19:03:01.20,82.92,3.88,1.02,29.5112174920119,-91.4509917257324
5275,2021-08-21,19:03:01.69,83.66,3.87,0.9,29.5112158344818,-91.4509842996035
5276,2021-08-21,19:03:02.40,84.74,3.87,1.58,29.5112136161348,-91.4509735045017
5277,2021-08-21,19:03:03.79,86.86,3.85,1.05,29.5112091450791,-91.4509522181175
5278,2021-08-21,19:03:03.79,86.86,3.87,0.5,29.5112091450791,-91.4509522181175
5279,2021-08-21,19:03:04.48,87.88,3.85,1.04,29.5112069377903,-91.4509419850797
5280,2021-08-21,19:03:05.19,88.96,3.84,1.03,29.5112047293159,-91.4509311857023
5281,2021-08-21,19:03:05.86,89.98,3.83,1.05,29.5112025438119,-91.450920886313
5282,2021-08-21,19:03:06.58,91.08,3.81,1.04,29.5112004419772,-91.4509098686708
5283,2021-08-21,19:03:07.25,92.08,3.8,1.02,29.5111983407823,-91.4508997578131
5284,2021-08-21,19:03:07.97,93.15,3.81,1.04,29.5111963264812,-91.4508889730182
5285,2021-08-21,19:03:08.65,94.19,3.85,1.03,29.5111942685088,-91.450878544795
5286,2021-08-21,19:03:09.34,95.24,3.82,1.22,29.5111923990854,-91.4508679579319
5287,2021-08-21,19:03:10.29,96.68,3.82,1.05,29.5111896845225,-91.4508533761037
5288,2021-08-21,19:03:10.75,97.36,3.85,0.85,29.5111885356735,-91.450846548823
5289,2021-08-21,19:03:11.43,98.41,3.86,1.06,29.5111864795522,-91.450835969959
5290,2021-08-21,19:03:12.14,99.49,3.85,1.04,29.5111839999285,-91.4508252108209
