ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
5184,0.605,0.63,easting,0.122
5184,0.63,0.68,easting,0.176
5184,0.68,0.73,easting,-0.192
5184,0.73,0.78,easting,-0.004
5184,0.78,0.83,easting,-0.389
5184,0.83,0.88,easting,0.05
5184,0.88,0.93,easting,-0.105
5184,0.93,0.98,easting,-0.344
5184,0.98,1.03,easting,0.044
5184,1.03,1.08,easting,0.196
5184,1.08,1.13,easting,-0.406
5184,1.13,1.18,easting,0
5184,1.18,1.23,easting,-0.03
5184,1.23,1.28,easting,-0.211
5184,1.28,1.33,easting,-0.087
5184,1.33,1.38,easting,0.048
5184,1.38,1.43,easting,0.35
5184,1.43,1.48,easting,-0.27
5184,1.48,1.53,easting,-0.051
5184,1.53,1.58,easting,0.335
5184,1.58,1.63,easting,0.12
5184,1.63,1.68,easting,0.514
5184,1.68,1.73,easting,0.188
5184,1.73,1.78,easting,0.47
5184,1.78,1.83,easting,0.515
5184,1.83,1.88,easting,-0.199
5184,1.88,1.93,easting,0.21
5184,1.93,1.98,easting,-0.093
5184,1.98,2.03,easting,-0.297
5184,2.03,2.08,easting,0.011
5184,2.08,2.13,easting,-0.333
5184,2.13,2.18,easting,-0.597
5184,2.18,2.23,easting,-0.222
5184,2.23,2.28,easting,0.143
5184,2.28,2.33,easting,-0.075
5184,2.33,2.38,easting,0.08
5184,2.38,2.43,easting,0.607
5184,2.43,2.48,easting,0.425
5184,2.48,2.53,easting,0.421
5184,2.53,2.58,easting,0.091
5184,2.58,2.63,easting,0.276
5184,2.63,2.68,easting,0.375
5184,2.68,2.73,easting,0.246
5184,2.73,2.78,easting,-0.061
5184,2.78,2.83,easting,0.051
5184,2.83,2.88,easting,-0.167
5184,2.88,2.93,easting,0.441
5184,2.93,2.98,easting,-0.548
5184,2.98,3.03,easting,-0.855
5184,3.03,3.08,easting,0.188
5184,3.08,3.13,easting,-0.229
5184,3.13,3.18,easting,0.188
5184,3.18,3.23,easting,-0.602
5185,0.605,0.63,easting,0.084
5185,0.63,0.68,easting,0.023
5185,0.68,0.73,easting,0.264
5185,0.73,0.78,easting,-0.142
5185,0.78,0.83,easting,0.545
5185,0.83,0.88,easting,0.13
5185,0.88,0.93,easting,0.313
5185,0.93,0.98,easting,-0.015
5185,0.98,1.03,easting,0.251
5185,1.03,1.08,easting,0.355
5185,1.08,1.13,easting,0.321
5185,1.13,1.18,easting,-0.004
5185,1.18,1.23,easting,0.42
5185,1.23,1.28,easting,0.408
5185,1.28,1.33,easting,0.017
5185,1.33,1.38,easting,-0.052
5185,1.38,1.43,easting,0.287
5185,1.43,1.48,easting,0.288
5185,1.48,1.53,easting,0.143
5185,1.53,1.58,easting,0.084
5185,1.58,1.63,easting,0.306
5185,1.63,1.68,easting,0.115
5185,1.68,1.73,easting,0.239
5185,1.73,1.78,easting,0.433
5185,1.78,1.83,easting,-0.018
5185,1.83,1.88,easting,0.214
5185,1.88,1.93,easting,0.132
5185,1.93,1.98,easting,0.404
5185,1.98,2.03,easting,0.185
5185,2.03,2.08,easting,-0.079
5185,2.08,2.13,easting,-0.547
5185,2.13,2.18,easting,-0.041
5185,2.18,2.23,easting,-0.324
5185,2.23,2.28,easting,-0.61
5185,2.28,2.33,easting,-0.03
5185,2.33,2.38,easting,-0.033
5185,2.38,2.43,easting,-0.12
5185,2.43,2.48,easting,0.26
5185,2.48,2.53,easting,0.47
5185,2.53,2.58,easting,0.412
5185,2.58,2.63,easting,-0.341
5185,2.63,2.68,easting,0.434
5185,2.68,2.73,easting,0.587
5185,2.73,2.78,easting,-0.058
5185,2.78,2.83,easting,-0.001
5185,2.83,2.88,easting,0.057
5185,2.88,2.93,easting,0.072
5185,2.93,2.98,easting,0.557
5185,2.98,3.03,easting,0.46
5185,3.03,3.08,easting,0.408
5185,3.08,3.13,easting,0.244
5185,3.13,3.18,easting,0.013
5186,0.605,0.63,easting,0.404
5186,0.63,0.68,easting,-0.547
5186,0.68,0.73,easting,0.321
5186,0.73,0.78,easting,-0.012
5186,0.78,0.83,easting,0.009
5186,0.83,0.88,easting,0.21
5186,0.88,0.93,easting,-0.306
5186,0.93,0.98,easting,0.436
5186,0.98,1.03,easting,-0.179
5186,1.03,1.08,easting,-0.183
5186,1.08,1.13,easting,0.048
5186,1.13,1.18,easting,-0.317
5186,1.18,1.23,easting,0.242
5186,1.23,1.28,easting,-0.096
5186,1.28,1.33,easting,0.114
5186,1.33,1.38,easting,0.13
5186,1.38,1.43,easting,0.098
5186,1.43,1.48,easting,0.203
5186,1.48,1.53,easting,-0.257
5186,1.53,1.58,easting,0.046
