ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
8838,0.42,0.54,easting,0.056
8838,0.54,0.66,easting,0.059
8838,0.66,0.78,easting,0.04
8838,0.78,0.9,easting,0.049
8838,0.9,1.2,easting,0.045
8838,1.2,1.68,easting,-0.13
8838,1.68,2.16,easting,0.025
8838,2.16,2.64,easting,-0.012
8838,2.64,3.12,easting,0.004
8838,3.12,3.6,easting,-0.075
8838,3.6,4.08,easting,0.064
8838,4.08,4.56,easting,-0.025
8838,4.56,5.04,easting,-0.029
8838,5.04,5.52,easting,0.03
8838,5.52,6,easting,0.088
8838,6,6.48,easting,0.089
8838,6.48,6.96,easting,0.178
8838,6.96,7.44,easting,0.07
8838,0.42,0.54,northing,-0.025
8838,0.54,0.66,northing,-0.043
8838,0.66,0.78,northing,-0.003
8838,0.78,0.9,northing,-0.007
8838,0.9,1.2,northing,0.044
8838,1.2,1.68,northing,0.045
8838,1.68,2.16,northing,-0.053
8838,2.16,2.64,northing,-0.025
8838,2.64,3.12,northing,0.121
8838,3.12,3.6,northing,0.115
8838,3.6,4.08,northing,-0.006
8838,4.08,4.56,northing,-0.143
8838,4.56,5.04,northing,0.032
8838,5.04,5.52,northing,-0.206
8838,5.52,6,northing,-0.347
8838,6,6.48,northing,-0.081
8838,6.48,6.96,northing,0.034
8838,6.96,7.44,northing,-0.119
8838,0.42,0.54,vertical,-0.029
8838,0.54,0.66,vertical,-0.031
8838,0.66,0.78,vertical,-0.022
8838,0.78,0.9,vertical,-0.018
8838,0.9,1.2,vertical,-0.009
8838,1.2,1.68,vertical,-0.007
8838,1.68,2.16,vertical,0.027
8838,2.16,2.64,vertical,0.051
8838,2.64,3.12,vertical,0.009
8838,3.12,3.6,vertical,0.016
8838,3.6,4.08,vertical,-0.025
8838,4.08,4.56,vertical,0.012
8838,4.56,5.04,vertical,0.008
8838,5.04,5.52,vertical,0.002
8838,5.52,6,vertical,0.004
8838,6,6.48,vertical,0.016
8838,6.48,6.96,vertical,0
8838,6.96,7.44,vertical,-0.004
8839,0.42,0.54,easting,0.002
8839,0.54,0.66,easting,-0.014
8839,0.66,0.78,easting,0.07
8839,0.78,0.9,easting,0.058
8839,0.9,1.2,easting,0.033
8839,1.2,1.68,easting,0.047
8839,1.68,2.16,easting,-0.019
8839,2.16,2.64,easting,0.082
8839,2.64,3.12,easting,0.081
8839,3.12,3.6,easting,0.064
8839,3.6,4.08,easting,0.052
8839,4.08,4.56,easting,0.16
8839,4.56,5.04,easting,0.177
8839,5.04,5.52,easting,0.138
8839,5.52,6,easting,0.214
8839,6,6.48,easting,0.095
8839,6.48,6.96,easting,0.155
8839,6.96,7.44,easting,0.127
8839,7.44,7.92,easting,0.142
8839,0.42,0.54,northing,-0.035
8839,0.54,0.66,northing,-0.055
8839,0.66,0.78,northing,-0.037
8839,0.78,0.9,northing,-0.028
8839,0.9,1.2,northing,0.034
8839,1.2,1.68,northing,0.097
8839,1.68,2.16,northing,0.074
8839,2.16,2.64,northing,0.105
8839,2.64,3.12,northing,0.077
8839,3.12,3.6,northing,0.063
8839,3.6,4.08,northing,-0.025
8839,4.08,4.56,northing,0.028
8839,4.56,5.04,northing,-0.111
8839,5.04,5.52,northing,-0.132
8839,5.52,6,northing,-0.11
8839,6,6.48,northing,-0.197
8839,6.48,6.96,northing,-0.031
8839,6.96,7.44,northing,-0.014
8839,7.44,7.92,northing,0.001
8839,0.42,0.54,vertical,-0.005
8839,0.54,0.66,vertical,-0.002
8839,0.66,0.78,vertical,-0.003
8839,0.78,0.9,vertical,-0.004
8839,0.9,1.2,vertical,0.01
8839,1.2,1.68,vertical,0.012
8839,1.68,2.16,vertical,-0.003
8839,2.16,2.64,vertical,-0.027
8839,2.64,3.12,vertical,-0.035
8839,3.12,3.6,vertical,0.011
8839,3.6,4.08,vertical,-0.005
8839,4.08,4.56,vertical,0.001
8839,4.56,5.04,vertical,-0.038
8839,5.04,5.52,vertical,-0.01
8839,5.52,6,vertical,0.009
8839,6,6.48,vertical,-0.016
8839,6.48,6.96,vertical,-0.012
8839,6.96,7.44,vertical,-0.016
8839,7.44,7.92,vertical,-0.04
8840,0.42,0.54,easting,0.066
8840,0.54,0.66,easting,0.076
8840,0.66,0.78,easting,0.083
8840,0.78,0.9,easting,0.096
8840,0.9,1.2,easting,0.092
8840,1.2,1.68,easting,0.094
8840,1.68,2.16,easting,0.019
8840,2.16,2.64,easting,0.085
8840,2.64,3.12,easting,-0.073
8840,3.12,3.6,easting,-0.054
8840,3.6,4.08,easting,-0.045
8840,4.08,4.56,easting,0.05
8840,4.56,5.04,easting,0.052
8840,5.04,5.52,easting,0.005
8840,5.52,6,easting,0.159
8840,6,6.48,easting,-0.001
8840,6.48,6.96,easting,0.091
8840,6.96,7.44,easting,0.157
8840,0.42,0.54,northing,-0.039
8840,0.54,0.66,northing,-0.068
8840,0.66,0.78,northing,-0.051
8840,0.78,0.9,northing,-0.054
8840,0.9,1.2,northing,-0.047
8840,1.2,1.68,northing,0.032
8840,1.68,2.16,northing,0.039
8840,2.16,2.64,northing,-0.023
