ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
8326,2021-08-22,17:08:05.52,0,1.88,0.67,29.4890308058614,-91.4378196086082
8327,2021-08-22,17:08:06.22,0.79,1.91,0.71,29.489027414823,-91.4378268318879
8328,2021-08-22,17:08:06.95,1.64,1.94,0.74,29.4890241119158,-91.4378347211233
8329,2021-08-22,17:08:07.65,2.43,2.02,0.74,29.4890217161787,-91.4378424056328
8330,2021-08-22,17:08:08.38,3.22,2.1,1.11,29.489019904755,-91.4378502853888
8331,2021-08-22,17:08:09.79,4.71,2.18,0.73,29.4890180620249,-91.4378654874533
8332,2021-08-22,17:08:09.80,4.72,2.23,0.38,29.489018056957,-91.4378655937638
8333,2021-08-22,17:08:10.51,5.47,2.29,0.77,29.4890178123399,-91.4378732700176
8334,2021-08-22,17:08:11.25,6.26,2.33,0.8,29.4890177248683,-91.4378814956528
8335,2021-08-22,17:08:11.98,7.07,2.41,0.85,29.4890177163414,-91.4378898355923
8336,2021-08-22,17:08:12.74,7.97,2.47,0.9,29.4890174859479,-91.4378991071858
8337,2021-08-22,17:08:13.47,8.88,2.5,0.93,29.4890174860372,-91.4379084113414
8338,2021-08-22,17:08:14.21,9.84,2.55,0.99,29.4890171616999,-91.4379183661242
8339,2021-08-22,17:08:14.94,10.86,2.58,1.05,29.4890169062621,-91.4379288860822
8340,2021-08-22,17:08:15.67,11.95,2.63,1.09,29.4890168135279,-91.4379401213914
8341,2021-08-22,17:08:16.35,13.05,2.71,1.49,29.4890167540226,-91.4379514201321
8342,2021-08-22,17:08:17.50,14.95,2.87,1.1,29.4890172625106,-91.4379710520356
8343,2021-08-22,17:08:17.66,15.23,3.19,0.67,29.4890174023708,-91.4379738944614
8344,2021-08-22,17:08:18.27,16.3,3.54,1.07,29.4890181692662,-91.4379849494937
8345,2021-08-22,17:08:18.88,17.37,3.85,1.11,29.4890191783485,-91.4379958811718
8346,2021-08-22,17:08:19.51,18.53,4.02,1.14,29.4890204621088,-91.4380077657629
8347,2021-08-22,17:08:20.11,19.63,4.07,1.15,29.4890220088968,-91.4380189965439
8348,2021-08-22,17:08:20.76,20.85,4.19,1.19,29.4890238288434,-91.4380314350179
8349,2021-08-22,17:08:21.36,22.01,4.25,1.27,29.4890253983475,-91.4380432172418
8350,2021-08-22,17:08:22.09,23.43,4.37,1.23,29.4890278166951,-91.4380575886434
8351,2021-08-22,17:08:22.63,24.48,4.43,1.16,29.4890293856046,-91.4380682446074
8352,2021-08-22,17:08:23.26,25.76,4.48,1.26,29.4890313506539,-91.438081283184
8353,2021-08-22,17:08:23.89,27.02,4.58,1.28,29.4890332701629,-91.438094055334
8354,2021-08-22,17:08:24.52,28.33,4.68,1.28,29.4890351190448,-91.4381074216156
8355,2021-08-22,17:08:25.14,29.59,4.63,1.29,29.4890367899395,-91.4381203079419
