ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
4340,0.42,0.54,easting,0.045
4340,0.54,0.66,easting,0.026
4340,0.66,0.84,easting,-0.007
4340,0.84,1.08,easting,0.073
4340,1.08,1.32,easting,-0.079
4340,1.32,1.56,easting,-0.068
4340,1.56,1.8,easting,0.035
4340,1.8,2.04,easting,0.022
4340,2.04,2.28,easting,0.218
4340,2.28,2.52,easting,0.159
4340,2.52,2.76,easting,-0.034
4340,2.76,3,easting,0.127
4340,3,3.24,easting,0.06
4340,3.24,3.48,easting,0.158
4340,3.48,3.72,easting,0.077
4340,3.72,3.96,easting,0.119
4340,3.96,4.2,easting,0.061
4340,0.42,0.54,northing,-0.15
4340,0.54,0.66,northing,-0.166
4340,0.66,0.84,northing,-0.133
4340,0.84,1.08,northing,-0.108
4340,1.08,1.32,northing,-0.168
4340,1.32,1.56,northing,-0.156
4340,1.56,1.8,northing,-0.344
4340,1.8,2.04,northing,-0.279
4340,2.04,2.28,northing,-0.276
4340,2.28,2.52,northing,-0.216
4340,2.52,2.76,northing,-0.084
4340,2.76,3,northing,-0.256
4340,3,3.24,northing,-0.387
4340,3.24,3.48,northing,-0.179
4340,3.48,3.72,northing,-0.223
4340,3.72,3.96,northing,-0.186
4340,3.96,4.2,northing,-0.138
4340,0.42,0.54,vertical,-0.068
4340,0.54,0.66,vertical,-0.067
4340,0.66,0.84,vertical,-0.046
4340,0.84,1.08,vertical,0.016
4340,1.08,1.32,vertical,0.019
4340,1.32,1.56,vertical,0.004
4340,1.56,1.8,vertical,-0.016
4340,1.8,2.04,vertical,-0.003
4340,2.04,2.28,vertical,-0.016
4340,2.28,2.52,vertical,-0.014
4340,2.52,2.76,vertical,-0.039
4340,2.76,3,vertical,-0.05
4340,3,3.24,vertical,-0.088
4340,3.24,3.48,vertical,-0.022
4340,3.48,3.72,vertical,-0.045
4340,3.72,3.96,vertical,-0.021
4340,3.96,4.2,vertical,-0.027
4341,0.42,0.54,easting,-0.02
4341,0.54,0.66,easting,-0.089
4341,0.66,0.84,easting,-0.072
4341,0.84,1.08,easting,-0.012
4341,1.08,1.32,easting,0.007
4341,1.32,1.56,easting,0.038
4341,1.56,1.8,easting,0.026
4341,1.8,2.04,easting,0.038
4341,2.04,2.28,easting,0.06
4341,2.28,2.52,easting,0.05
4341,2.52,2.76,easting,0.056
4341,2.76,3,easting,0.061
4341,3,3.24,easting,0.035
4341,3.24,3.48,easting,0.039
4341,3.48,3.72,easting,0.027
4341,3.72,3.96,easting,0.012
4341,3.96,4.2,easting,0.07
4341,0.42,0.54,northing,-0.231
4341,0.54,0.66,northing,-0.18
4341,0.66,0.84,northing,-0.142
4341,0.84,1.08,northing,-0.148
4341,1.08,1.32,northing,-0.167
4341,1.32,1.56,northing,-0.196
4341,1.56,1.8,northing,-0.222
4341,1.8,2.04,northing,-0.247
4341,2.04,2.28,northing,-0.266
4341,2.28,2.52,northing,-0.234
4341,2.52,2.76,northing,-0.204
4341,2.76,3,northing,-0.183
4341,3,3.24,northing,-0.18
4341,3.24,3.48,northing,-0.17
4341,3.48,3.72,northing,-0.193
4341,3.72,3.96,northing,-0.068
4341,3.96,4.2,northing,-0.257
4341,0.42,0.54,vertical,0.043
4341,0.54,0.66,vertical,0.061
4341,0.66,0.84,vertical,0.062
4341,0.84,1.08,vertical,0.041
4341,1.08,1.32,vertical,0.035
4341,1.32,1.56,vertical,0.024
4341,1.56,1.8,vertical,0.022
4341,1.8,2.04,vertical,0.026
4341,2.04,2.28,vertical,0.026
4341,2.28,2.52,vertical,0.017
4341,2.52,2.76,vertical,0.007
4341,2.76,3,vertical,-0.003
4341,3,3.24,vertical,-0.004
4341,3.24,3.48,vertical,-0.008
4341,3.48,3.72,vertical,-0.014
4341,3.72,3.96,vertical,0.009
4341,3.96,4.2,vertical,0.005
