ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
1,2021-08-22,20:58:48,0.46,2.63,0.20581536,29.5718311,-91.42496653
2,2021-08-22,20:58:49,0.88,2.61,0.41632706,29.57183067,-91.42496231
3,2021-08-22,20:58:50,1.3,2.61,0.35650373,29.57183034,-91.42495798
4,2021-08-22,20:58:51,1.59,2.6,0.3369135,29.57182979,-91.42495502
5,2021-08-22,20:58:52,1.97,2.59,0.3951097,29.57182924,-91.42495114
6,2021-08-22,20:58:53,2.38,2.59,0.39384857,29.57182922,-91.42494689
7,2021-08-22,20:58:54,2.76,2.59,0.33711362,29.57182927,-91.42494301
8,2021-08-22,20:58:55,3.06,2.59,0.29833674,29.57182994,-91.42493998
9,2021-08-22,20:58:56,3.36,2.43,0.32584473,29.57183001,-91.42493691
10,2021-08-22,20:58:57,3.71,2.58,0.24857655,29.57183055,-91.42493329
11,2021-08-22,20:58:58,3.87,2.59,0.22067955,29.57183011,-91.42493178
12,2021-08-22,20:58:59,4.16,2.58,0.24957323,29.57183013,-91.42492876
13,2021-08-22,20:59:00,4.37,2.58,0.26186797,29.57183061,-91.42492666
14,2021-08-22,20:59:01,4.69,2.58,0.3064124,29.57183151,-91.42492359
15,2021-08-22,20:59:02,4.98,2.59,0.26261902,29.57183251,-91.42492072
16,2021-08-22,20:59:03,5.21,2.59,0.2600153,29.57183299,-91.42491844
17,2021-08-22,20:59:04,5.51,2.58,0.25823483,29.57183389,-91.42491559
18,2021-08-22,20:59:05,5.73,2.59,0.22429305,29.57183409,-91.42491326
19,2021-08-22,20:59:06,5.95,2.59,0.25991762,29.57183435,-91.42491099
20,2021-08-22,20:59:07,6.25,2.59,0.3023802,29.57183482,-91.42490796
21,2021-08-22,20:59:08,0.21,2.59,0.2921895,29.57183701,-91.42490554
22,2021-08-22,20:59:09,0.46,2.59,0.21690115,29.57183836,-91.42490349
23,2021-08-22,20:59:10,0.64,2.59,0.23560874,29.57183908,-91.42490174
24,2021-08-22,20:59:11,0.93,2.58,0.27828923,29.57184019,-91.4248991
25,2021-08-22,20:59:12,1.2,2.58,0.2646614,29.57184134,-91.42489661
26,2021-08-22,20:59:13,1.46,2.58,0.2979131,29.57184258,-91.42489437
27,2021-08-22,20:59:14,1.8,2.58,0.29025373,29.57184388,-91.42489119
28,2021-08-22,20:59:15,2.04,2.58,0.2737579,29.57184451,-91.4248888
29,2021-08-22,20:59:16,2.36,2.58,0.3300823,29.57184643,-91.42488635
30,2021-08-22,20:59:17,2.7,2.58,0.33627546,29.5718484,-91.42488364
31,2021-08-22,20:59:18,3.03,2.57,0.3694936,29.57185043,-91.42488113
32,2021-08-22,20:59:19,3.44,2.57,0.37090424,29.57185335,-91.42487853
33,2021-08-22,20:59:20,3.78,2.56,0.36244994,29.57185531,-91.42487589
34,2021-08-22,20:59:21,4.18,2.57,0.3954153,29.57185846,-91.42487386
35,2021-08-22,20:59:22,4.58,2.57,0.3870775,29.57186086,-91.42487076
36,2021-08-22,20:59:23,4.96,2.57,0.40014544,29.57186395,-91.42486892
37,2021-08-22,20:59:24,5.39,2.56,0.41006193,29.57186654,-91.42486566
38,2021-08-22,20:59:25,5.79,2.57,0.34568736,29.57186967,-91.42486355
39,2021-08-22,20:59:26,6.09,2.57,0.33314192,29.57187222,-91.42486271
40,2021-08-22,20:59:27,6.46,2.56,0.35344717,29.57187526,-91.42486102
41,2021-08-22,20:59:28,6.8,2.59,0.38060534,29.57187829,-91.42486047
42,2021-08-22,20:59:29,7.22,2.59,0.39520976,29.5718821,-91.42486031
43,2021-08-22,20:59:30,7.6,2.58,0.38408503,29.57188537,-91.42485949
44,2021-08-22,20:59:31,8,2.58,0.36755142,29.57188899,-91.42485945
45,2021-08-22,20:59:32,8.33,2.57,0.35226637,29.571892,-91.42485928
46,2021-08-22,20:59:33,8.71,2.54,0.4096929,29.5718953,-91.42486033
47,2021-08-22,20:59:34,9.15,2.54,0.44202772,29.57189921,-91.42486115
48,2021-08-22,20:59:35,9.59,2.53,0.40523392,29.57190319,-91.42486167
49,2021-08-22,20:59:36,9.97,2.53,0.39121258,29.57190652,-91.42486137
50,2021-08-22,20:59:37,10.38,2.53,0.393289,29.57191023,-91.42486107
51,2021-08-22,20:59:38,10.76,2.53,0.37213328,29.57191361,-91.42486173
52,2021-08-22,20:59:39,11.12,2.53,0.42689198,29.5719169,-91.42486196
53,2021-08-22,20:59:40,11.61,2.51,0.44067225,29.57192131,-91.42486199
54,2021-08-22,20:59:41,12.01,2.51,0.43671465,29.57192484,-91.42486246
55,2021-08-22,20:59:42,12.48,2.49,0.42768672,29.57192914,-91.42486301
56,2021-08-22,20:59:43,12.86,2.49,0.41670668,29.57193251,-91.42486344
57,2021-08-22,20:59:44,13.32,2.47,0.4681743,29.57193664,-91.42486363
