ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.25,0.31,easting,0.005
1,0.31,0.37,easting,-0.005
1,0.37,0.43,easting,-0.006
1,0.42,0.48,easting,-0.014
1,0.48,0.54,easting,-0.021
1,0.54,0.6,easting,-0.018
1,0.6,0.66,easting,-0.016
1,0.66,0.72,easting,-0.013
1,0.72,0.78,easting,0
1,0.78,0.84,easting,0.002
1,0.84,0.9,easting,-0.007
1,0.9,0.96,easting,-0.002
1,0.96,1.02,easting,-0.017
1,1.02,1.08,easting,-0.014
1,1.08,1.14,easting,-0.015
1,1.14,1.2,easting,-0.017
1,1.2,1.26,easting,-0.021
1,1.26,1.32,easting,-0.02
1,1.32,1.38,easting,-0.012
1,1.38,1.44,easting,-0.012
1,1.44,1.5,easting,-0.012
1,1.5,1.56,easting,-0.017
1,1.56,1.62,easting,-0.02
1,1.62,1.68,easting,-0.017
1,1.68,1.74,easting,-0.006
1,1.74,1.8,easting,-0.011
1,1.8,1.86,easting,-0.014
1,1.86,1.92,easting,-0.02
1,1.92,1.98,easting,-0.015
1,1.98,2.04,easting,-0.014
1,2.04,2.1,easting,-0.015
1,2.1,2.16,easting,-0.021
1,2.16,2.22,easting,0.006
1,2.22,2.28,easting,-0.001
2,0.25,0.31,easting,-0.028
2,0.31,0.37,easting,-0.049
2,0.37,0.43,easting,-0.053
2,0.42,0.48,easting,-0.049
2,0.48,0.54,easting,-0.046
2,0.54,0.6,easting,-0.047
2,0.6,0.66,easting,-0.055
2,0.66,0.72,easting,-0.057
2,0.72,0.78,easting,-0.061
2,0.78,0.84,easting,-0.059
2,0.84,0.9,easting,-0.057
2,0.9,0.96,easting,-0.055
2,0.96,1.02,easting,-0.053
2,1.02,1.08,easting,-0.046
2,1.08,1.14,easting,-0.048
2,1.14,1.2,easting,-0.048
2,1.2,1.26,easting,-0.05
2,1.26,1.32,easting,-0.053
2,1.32,1.38,easting,-0.047
2,1.38,1.44,easting,-0.048
2,1.44,1.5,easting,-0.049
2,1.5,1.56,easting,-0.049
2,1.56,1.62,easting,-0.043
2,1.62,1.68,easting,-0.05
2,1.68,1.74,easting,-0.059
2,1.74,1.8,easting,-0.055
2,1.8,1.86,easting,-0.053
2,1.86,1.92,easting,-0.051
2,1.92,1.98,easting,-0.048
2,1.98,2.04,easting,-0.051
2,2.04,2.1,easting,-0.061
2,2.1,2.16,easting,-0.048
2,2.16,2.22,easting,-0.035
2,2.22,2.28,easting,-0.028
3,0.25,0.31,easting,-0.002
3,0.31,0.37,easting,-0.016
3,0.37,0.43,easting,-0.017
3,0.42,0.48,easting,-0.013
3,0.48,0.54,easting,-0.016
3,0.54,0.6,easting,-0.014
3,0.6,0.66,easting,-0.017
3,0.66,0.72,easting,-0.028
3,0.72,0.78,easting,-0.023
3,0.78,0.84,easting,-0.027
3,0.84,0.9,easting,-0.028
3,0.9,0.96,easting,-0.031
3,0.96,1.02,easting,-0.025
3,1.02,1.08,easting,-0.038
3,1.08,1.14,easting,-0.037
3,1.14,1.2,easting,-0.03
3,1.2,1.26,easting,-0.029
3,1.26,1.32,easting,-0.023
3,1.32,1.38,easting,-0.024
3,1.38,1.44,easting,-0.03
3,1.44,1.5,easting,-0.032
3,1.5,1.56,easting,-0.031
3,1.56,1.62,easting,-0.023
3,1.62,1.68,easting,-0.026
3,1.68,1.74,easting,-0.018
3,1.74,1.8,easting,-0.023
3,1.8,1.86,easting,-0.026
3,1.86,1.92,easting,-0.038
3,1.92,1.98,easting,-0.028
3,1.98,2.04,easting,-0.032
3,2.04,2.1,easting,-0.034
3,2.1,2.16,easting,0.009
4,0.25,0.31,easting,-0.103
4,0.31,0.37,easting,-0.115
4,0.37,0.43,easting,-0.124
4,0.42,0.48,easting,-0.132
4,0.48,0.54,easting,-0.133
4,0.54,0.6,easting,-0.138
4,0.6,0.66,easting,-0.138
4,0.66,0.72,easting,-0.133
4,0.72,0.78,easting,-0.142
4,0.78,0.84,easting,-0.146
4,0.84,0.9,easting,-0.148
4,0.9,0.96,easting,-0.144
4,0.96,1.02,easting,-0.144
4,1.02,1.08,easting,-0.151
4,1.08,1.14,easting,-0.157
4,1.14,1.2,easting,-0.16
4,1.2,1.26,easting,-0.157
4,1.26,1.32,easting,-0.157
4,1.32,1.38,easting,-0.157
4,1.38,1.44,easting,-0.162
4,1.44,1.5,easting,-0.163
4,1.5,1.56,easting,-0.165
4,1.56,1.62,easting,-0.156
4,1.62,1.68,easting,-0.156
4,1.68,1.74,easting,-0.161
4,1.74,1.8,easting,-0.157
4,1.8,1.86,easting,-0.151
4,1.86,1.92,easting,-0.154
4,1.92,1.98,easting,-0.159
4,1.98,2.04,easting,-0.151
4,2.04,2.1,easting,-0.154
4,2.1,2.16,easting,-0.125
4,2.16,2.22,easting,-0.16
4,2.22,2.28,easting,-0.05
5,0.25,0.31,easting,-0.01
5,0.31,0.37,easting,-0.018
5,0.37,0.43,easting,-0.028
5,0.42,0.48,easting,-0.027
5,0.48,0.54,easting,-0.021
5,0.54,0.6,easting,-0.025
5,0.6,0.66,easting,-0.028
5,0.66,0.72,easting,-0.036
5,0.72,0.78,easting,-0.036
5,0.78,0.84,easting,-0.04
5,0.84,0.9,easting,-0.041
5,0.9,0.96,easting,-0.044
5,0.96,1.02,easting,-0.056
5,1.02,1.08,easting,-0.058
5,1.08,1.14,easting,-0.053
5,1.14,1.2,easting,-0.058
