ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.25,0.31,easting,-0.24
1,0.31,0.37,easting,-0.251
1,0.37,0.43,easting,-0.253
1,0.42,0.48,easting,-0.262
1,0.48,0.54,easting,-0.262
1,0.54,0.6,easting,-0.277
1,0.6,0.66,easting,-0.283
1,0.66,0.72,easting,-0.279
1,0.72,0.78,easting,-0.285
1,0.78,0.84,easting,-0.288
1,0.84,0.9,easting,-0.262
1,0.9,0.96,easting,-0.264
1,0.96,1.02,easting,-0.241
1,1.02,1.08,easting,-0.236
1,1.08,1.14,easting,-0.234
1,1.14,1.2,easting,-0.222
1,1.2,1.26,easting,-0.218
1,1.26,1.32,easting,-0.231
1,1.32,1.38,easting,-0.232
1,1.38,1.44,easting,-0.245
1,1.44,1.5,easting,-0.248
1,1.5,1.56,easting,-0.24
1,1.56,1.62,easting,-0.228
1,1.62,1.68,easting,-0.245
1,1.68,1.74,easting,-0.222
1,1.74,1.8,easting,-0.215
1,1.8,1.86,easting,-0.213
1,1.86,1.92,easting,-0.203
1,1.92,1.98,easting,-0.223
2,0.25,0.31,easting,-0.184
2,0.31,0.37,easting,-0.203
2,0.37,0.43,easting,-0.219
2,0.42,0.48,easting,-0.218
2,0.48,0.54,easting,-0.226
2,0.54,0.6,easting,-0.234
2,0.6,0.66,easting,-0.241
2,0.66,0.72,easting,-0.236
2,0.72,0.78,easting,-0.233
2,0.78,0.84,easting,-0.222
2,0.84,0.9,easting,-0.21
2,0.9,0.96,easting,-0.213
2,0.96,1.02,easting,-0.207
2,1.02,1.08,easting,-0.195
2,1.08,1.14,easting,-0.192
2,1.14,1.2,easting,-0.19
2,1.2,1.26,easting,-0.192
2,1.26,1.32,easting,-0.193
2,1.32,1.38,easting,-0.189
2,1.38,1.44,easting,-0.181
2,1.44,1.5,easting,-0.185
2,1.5,1.56,easting,-0.184
2,1.56,1.62,easting,-0.187
2,1.62,1.68,easting,-0.192
2,1.68,1.74,easting,-0.174
2,1.74,1.8,easting,-0.167
2,1.8,1.86,easting,-0.167
2,1.86,1.92,easting,-0.149
2,1.92,1.98,easting,-0.121
3,0.25,0.31,easting,-0.141
3,0.31,0.37,easting,-0.154
3,0.37,0.43,easting,-0.157
3,0.42,0.48,easting,-0.157
3,0.48,0.54,easting,-0.161
3,0.54,0.6,easting,-0.167
3,0.6,0.66,easting,-0.164
3,0.66,0.72,easting,-0.173
3,0.72,0.78,easting,-0.17
3,0.78,0.84,easting,-0.162
3,0.84,0.9,easting,-0.172
3,0.9,0.96,easting,-0.159
3,0.96,1.02,easting,-0.15
3,1.02,1.08,easting,-0.149
3,1.08,1.14,easting,-0.148
3,1.14,1.2,easting,-0.137
3,1.2,1.26,easting,-0.128
3,1.26,1.32,easting,-0.122
3,1.32,1.38,easting,-0.114
3,1.38,1.44,easting,-0.109
3,1.44,1.5,easting,-0.113
3,1.5,1.56,easting,-0.106
3,1.56,1.62,easting,-0.109
3,1.62,1.68,easting,-0.118
3,1.68,1.74,easting,-0.115
3,1.74,1.8,easting,-0.101
3,1.8,1.86,easting,-0.105
3,1.86,1.92,easting,-0.105
3,1.92,1.98,easting,-0.067
4,0.25,0.31,easting,-0.108
4,0.31,0.37,easting,-0.125
4,0.37,0.43,easting,-0.133
4,0.42,0.48,easting,-0.129
4,0.48,0.54,easting,-0.132
4,0.54,0.6,easting,-0.148
4,0.6,0.66,easting,-0.142
4,0.66,0.72,easting,-0.157
4,0.72,0.78,easting,-0.156
4,0.78,0.84,easting,-0.149
4,0.84,0.9,easting,-0.137
4,0.9,0.96,easting,-0.136
4,0.96,1.02,easting,-0.141
4,1.02,1.08,easting,-0.128
4,1.08,1.14,easting,-0.13
4,1.14,1.2,easting,-0.122
4,1.2,1.26,easting,-0.104
4,1.26,1.32,easting,-0.108
4,1.32,1.38,easting,-0.109
4,1.38,1.44,easting,-0.115
4,1.44,1.5,easting,-0.088
4,1.5,1.56,easting,-0.086
4,1.56,1.62,easting,-0.102
4,1.62,1.68,easting,-0.094
4,1.68,1.74,easting,-0.092
4,1.74,1.8,easting,-0.098
4,1.8,1.86,easting,-0.075
4,1.86,1.92,easting,0.017
4,1.92,1.98,easting,0.11
5,0.25,0.31,easting,-0.145
5,0.31,0.37,easting,-0.153
5,0.37,0.43,easting,-0.155
5,0.42,0.48,easting,-0.164
5,0.48,0.54,easting,-0.176
5,0.54,0.6,easting,-0.172
5,0.6,0.66,easting,-0.176
5,0.66,0.72,easting,-0.175
5,0.72,0.78,easting,-0.175
5,0.78,0.84,easting,-0.189
5,0.84,0.9,easting,-0.177
5,0.9,0.96,easting,-0.171
5,0.96,1.02,easting,-0.171
5,1.02,1.08,easting,-0.163
5,1.08,1.14,easting,-0.158
5,1.14,1.2,easting,-0.159
5,1.2,1.26,easting,-0.155
5,1.26,1.32,easting,-0.153
5,1.32,1.38,easting,-0.154
5,1.38,1.44,easting,-0.153
5,1.44,1.5,easting,-0.145
5,1.5,1.56,easting,-0.149
5,1.56,1.62,easting,-0.146
5,1.62,1.68,easting,-0.153
5,1.68,1.74,easting,-0.148
5,1.74,1.8,easting,-0.135
5,1.8,1.86,easting,-0.126
5,1.86,1.92,easting,-0.112
5,1.92,1.98,easting,-0.103
5,1.98,2.04,easting,-0.112
6,0.25,0.31,easting,-0.268
6,0.31,0.37,easting,-0.283
6,0.37,0.43,easting,-0.274
6,0.42,0.48,easting,-0.283
6,0.48,0.54,easting,-0.29
6,0.54,0.6,easting,-0.295
6,0.6,0.66,easting,-0.29
6,0.66,0.72,easting,-0.301
6,0.72,0.78,easting,-0.306
6,0.78,0.84,easting,-0.304
6,0.84,0.9,easting,-0.3
6,0.9,0.96,easting,-0.298
6,0.96,1.02,easting,-0.296
6,1.02,1.08,easting,-0.285
6,1.08,1.14,easting,-0.283
6,1.14,1.2,easting,-0.281
6,1.2,1.26,easting,-0.281
6,1.26,1.32,easting,-0.277
6,1.32,1.38,easting,-0.267
6,1.38,1.44,easting,-0.264
6,1.44,1.5,easting,-0.254
6,1.5,1.56,easting,-0.256
6,1.56,1.62,easting,-0.256
6,1.62,1.68,easting,-0.267
6,1.68,1.74,easting,-0.271
6,1.74,1.8,easting,-0.274
6,1.8,1.86,easting,-0.264
6,1.86,1.92,easting,-0.22
6,1.92,1.98,easting,-0.199
7,0.25,0.31,easting,-0.231
7,0.31,0.37,easting,-0.243
7,0.37,0.43,easting,-0.245
7,0.42,0.48,easting,-0.259
7,0.48,0.54,easting,-0.261
7,0.54,0.6,easting,-0.272
7,0.6,0.66,easting,-0.278
7,0.66,0.72,easting,-0.281
7,0.72,0.78,easting,-0.285
7,0.78,0.84,easting,-0.279
7,0.84,0.9,easting,-0.279
7,0.9,0.96,easting,-0.278
7,0.96,1.02,easting,-0.272
7,1.02,1.08,easting,-0.271
7,1.08,1.14,easting,-0.267
7,1.14,1.2,easting,-0.267
7,1.2,1.26,easting,-0.271
7,1.26,1.32,easting,-0.272
7,1.32,1.38,easting,-0.269
7,1.38,1.44,easting,-0.259
7,1.44,1.5,easting,-0.265
7,1.5,1.56,easting,-0.255
7,1.56,1.62,easting,-0.242
7,1.62,1.68,easting,-0.242
7,1.68,1.74,easting,-0.235
