ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
17502,0.605,0.63,easting,1.295
17502,0.63,0.68,easting,0.605
17502,0.68,0.73,easting,1.002
17502,0.73,0.78,easting,1.619
17502,0.78,0.83,easting,0.658
17502,0.83,0.88,easting,1.187
17502,0.88,0.93,easting,0.786
17502,0.93,0.98,easting,1.272
17502,0.98,1.03,easting,0.941
17502,1.03,1.08,easting,0.967
17502,1.08,1.13,easting,0.641
17502,1.13,1.18,easting,0.837
17502,1.18,1.23,easting,1.063
17502,1.23,1.28,easting,1.089
17502,1.28,1.33,easting,0.813
17502,1.33,1.38,easting,0.892
17502,1.38,1.43,easting,1.013
17502,1.43,1.48,easting,0.728
17502,1.48,1.53,easting,1.084
17502,1.53,1.58,easting,0.898
17502,1.58,1.63,easting,1.002
17502,1.63,1.68,easting,1.227
17502,1.68,1.73,easting,0.455
17502,1.73,1.78,easting,1.208
17502,1.78,1.83,easting,1.43
17502,1.83,1.88,easting,0.803
17502,1.88,1.93,easting,0.831
17502,1.93,1.98,easting,1.074
17503,0.605,0.63,easting,0.695
17503,0.63,0.68,easting,1.439
17503,0.68,0.73,easting,0.738
17503,0.73,0.78,easting,1.227
17503,0.78,0.83,easting,1.198
17503,0.83,0.88,easting,1.685
17503,0.88,0.93,easting,0.954
17503,0.93,0.98,easting,1.106
17503,0.98,1.03,easting,1.226
17503,1.03,1.08,easting,0.566
17503,1.08,1.13,easting,0.889
17503,1.13,1.18,easting,1.286
17503,1.18,1.23,easting,0.975
17503,1.23,1.28,easting,0.8
17503,1.28,1.33,easting,1.522
17503,1.33,1.38,easting,1.075
17503,1.38,1.43,easting,1.194
17503,1.43,1.48,easting,0.929
17503,1.48,1.53,easting,0.988
17503,1.53,1.58,easting,0.757
17503,1.58,1.63,easting,1.363
17503,1.63,1.68,easting,0.71
17503,1.68,1.73,easting,0.727
17503,1.73,1.78,easting,0.904
17503,1.78,1.83,easting,0.933
17503,1.83,1.88,easting,0.45
17503,1.88,1.93,easting,1.307
17503,1.93,1.98,easting,0.834
17503,1.98,2.03,easting,0.961
17503,2.03,2.08,easting,0.957
17504,0.605,0.63,easting,1.151
17504,0.63,0.68,easting,1.224
17504,0.68,0.73,easting,1.247
17504,0.73,0.78,easting,1.133
17504,0.78,0.83,easting,1.546
17504,0.83,0.88,easting,1.236
17504,0.88,0.93,easting,1.411
17504,0.93,0.98,easting,1.369
17504,0.98,1.03,easting,0.936
17504,1.03,1.08,easting,1.802
17504,1.08,1.13,easting,0.985
17504,1.13,1.18,easting,0.881
17504,1.18,1.23,easting,1.227
17504,1.23,1.28,easting,0.492
17504,1.28,1.33,easting,1.273
17504,1.33,1.38,easting,1.32
17504,1.38,1.43,easting,1.131
17504,1.43,1.48,easting,0.643
17504,1.48,1.53,easting,1.083
17504,1.53,1.58,easting,0.806
17504,1.58,1.63,easting,0.831
17504,1.63,1.68,easting,0.967
17504,1.68,1.73,easting,1.057
17504,1.73,1.78,easting,1.059
17504,1.78,1.83,easting,1.241
17504,1.83,1.88,easting,0.895
17504,1.88,1.93,easting,1.345
17504,1.93,1.98,easting,1.365
17504,1.98,2.03,easting,0.758
17504,2.03,2.08,easting,0.669
17504,2.08,2.13,easting,0.774
17505,0.605,0.63,easting,0.83
17505,0.63,0.68,easting,1.04
17505,0.68,0.73,easting,1.617
17505,0.73,0.78,easting,1.728
17505,0.78,0.83,easting,1.708
17505,0.83,0.88,easting,2.983
17505,0.88,0.93,easting,1.406
17505,0.93,0.98,easting,0.835
17505,0.98,1.03,easting,1.126
17505,1.03,1.08,easting,1.175
17505,1.08,1.13,easting,1.107
17505,1.13,1.18,easting,1.014
17505,1.18,1.23,easting,1.695
17505,1.23,1.28,easting,1.177
17505,1.28,1.33,easting,1.612
17505,1.33,1.38,easting,1.508
17505,1.38,1.43,easting,1.434
17505,1.43,1.48,easting,1.303
17505,1.48,1.53,easting,1.529
17505,1.53,1.58,easting,0.931
17505,1.58,1.63,easting,1.359
17505,1.63,1.68,easting,1.075
17505,1.68,1.73,easting,1.869
17505,1.73,1.78,easting,1.637
17505,1.78,1.83,easting,1.441
17505,1.83,1.88,easting,1.624
17505,1.88,1.93,easting,1.407
17505,1.93,1.98,easting,1.062
17505,1.98,2.03,easting,0.723
17505,2.03,2.08,easting,1.151
17505,2.08,2.13,easting,1.426
17505,2.13,2.18,easting,1.577
17506,0.605,0.63,easting,1.17
17506,0.63,0.68,easting,1.603
17506,0.68,0.73,easting,0.699
17506,0.73,0.78,easting,1.26
17506,0.78,0.83,easting,0.986
17506,0.83,0.88,easting,0.61
17506,0.88,0.93,easting,1.478
17506,0.98,1.03,easting,1.194
17506,1.03,1.08,easting,1.867
17506,1.08,1.13,easting,1.187
17506,1.13,1.18,easting,1.103
17506,1.18,1.23,easting,0.966
17506,1.23,1.28,easting,1.078
17506,1.28,1.33,easting,1.288
17506,1.33,1.38,easting,1.492
17506,1.38,1.43,easting,0.562
17506,1.43,1.48,easting,1.527
17506,1.48,1.53,easting,1.883
17506,1.53,1.58,easting,0.568
17506,1.58,1.63,easting,2.066
17506,1.63,1.68,easting,1.33
17506,1.68,1.73,easting,1.17
17506,1.73,1.78,easting,1.621
17506,1.78,1.83,easting,1.591
17506,1.83,1.88,easting,0.742
17506,1.88,1.93,easting,1.385
17506,1.93,1.98,easting,1.718
17506,1.98,2.03,easting,0.909
17506,2.03,2.08,easting,1.132
17506,2.08,2.13,easting,1.778
17506,2.13,2.18,easting,1.252
17507,0.605,0.63,easting,1.031
17507,0.63,0.68,easting,1.026
17507,0.68,0.73,easting,0.938
17507,0.73,0.78,easting,1.554
17507,0.78,0.83,easting,1.063
17507,0.83,0.88,easting,1.327
17507,0.88,0.93,easting,1.275
17507,0.93,0.98,easting,1.224
17507,0.98,1.03,easting,1.203
17507,1.03,1.08,easting,1.401
17507,1.08,1.13,easting,1.077
17507,1.13,1.18,easting,1.232
17507,1.18,1.23,easting,0.778
17507,1.23,1.28,easting,0.479
17507,1.28,1.33,easting,0.586
17507,1.33,1.38,easting,1.217
17507,1.38,1.43,easting,0.713
17507,1.43,1.48,easting,0.798
17507,1.48,1.53,easting,1.298
17507,1.53,1.58,easting,0.928
17507,1.58,1.63,easting,1.244
17507,1.63,1.68,easting,1.357
17507,1.68,1.73,easting,1.119
17507,1.73,1.78,easting,1.286
17507,1.78,1.83,easting,1.092
17507,1.83,1.88,easting,1.091
17507,1.88,1.93,easting,1.467
17507,1.93,1.98,easting,1.075
17507,1.98,2.03,easting,1.381
17507,2.08,2.13,easting,1.288
17507,2.13,2.18,easting,1.191
17508,0.605,0.63,easting,0.858
17508,0.63,0.68,easting,1.332
17508,0.68,0.73,easting,1.188
17508,0.73,0.78,easting,0.941
17508,0.78,0.83,easting,0.449
17508,0.83,0.88,easting,0.999
17508,0.88,0.93,easting,0.534
17508,0.93,0.98,easting,1.235
17508,0.98,1.03,easting,0.946
17508,1.03,1.08,easting,1.213
17508,1.08,1.13,easting,0.996
17508,1.13,1.18,easting,1.058
17508,1.18,1.23,easting,0.789
17508,1.23,1.28,easting,0.706
17508,1.28,1.33,easting,1.168
17508,1.33,1.38,easting,1.03
17508,1.38,1.43,easting,0.983
17508,1.43,1.48,easting,0.76
17508,1.48,1.53,easting,1.333
17508,1.53,1.58,easting,1.377
17508,1.58,1.63,easting,0.926
17508,1.63,1.68,easting,1.177
17508,1.68,1.73,easting,0.688
17508,1.73,1.78,easting,0.746
17508,1.78,1.83,easting,0.774
17508,1.83,1.88,easting,0.766
17508,1.88,1.93,easting,1.079
17508,1.93,1.98,easting,0.886
17508,1.98,2.03,easting,1.193
17508,2.03,2.08,easting,0.913
17508,2.08,2.13,easting,2.218
17508,2.13,2.18,easting,1.093
17509,0.605,0.63,easting,1.2
17509,0.63,0.68,easting,1.149
17509,0.68,0.73,easting,1.55
17509,0.73,0.78,easting,0.582
17509,0.78,0.83,easting,1.309
17509,0.83,0.88,easting,1.15
17509,0.88,0.93,easting,1.09
17509,0.93,0.98,easting,1.794
17509,0.98,1.03,easting,1.081
17509,1.03,1.08,easting,1.177
17509,1.08,1.13,easting,1.044
17509,1.13,1.18,easting,0.671
17509,1.18,1.23,easting,1.334
17509,1.23,1.28,easting,0.969
17509,1.28,1.33,easting,0.683
17509,1.33,1.38,easting,1.633
17509,1.38,1.43,easting,1.475
17509,1.43,1.48,easting,1.381
17509,1.48,1.53,easting,1.539
17509,1.53,1.58,easting,0.896
17509,1.58,1.63,easting,1.059
17509,1.63,1.68,easting,1.173
17509,1.68,1.73,easting,1.31
17509,1.73,1.78,easting,1.472
17509,1.78,1.83,easting,1.102
17509,1.83,1.88,easting,1.266
17509,1.88,1.93,easting,1.127
17509,1.93,1.98,easting,1.335
17509,1.98,2.03,easting,1.743
17509,2.03,2.08,easting,1.56
17509,2.08,2.13,easting,1.155
17509,2.13,2.18,easting,1.188
17509,2.18,2.23,easting,0.99
17510,0.605,0.63,easting,1.399
17510,0.63,0.68,easting,1.58
17510,0.68,0.73,easting,1.277
17510,0.73,0.78,easting,1.537
17510,0.78,0.83,easting,2.286
17510,0.83,0.88,easting,1.061
17510,0.88,0.93,easting,1.511
17510,0.93,0.98,easting,1.064
17510,0.98,1.03,easting,1.228
17510,1.03,1.08,easting,1.037
17510,1.08,1.13,easting,0.421
17510,1.13,1.18,easting,1.276
17510,1.18,1.23,easting,1.363
17510,1.23,1.28,easting,1.492
17510,1.28,1.33,easting,0.862
17510,1.33,1.38,easting,0.803
17510,1.38,1.43,easting,0.781
17510,1.43,1.48,easting,1.055
17510,1.48,1.53,easting,0.926
17510,1.53,1.58,easting,1.296
17510,1.58,1.63,easting,1.002
17510,1.63,1.68,easting,1.452
17510,1.68,1.73,easting,1.405
17510,1.73,1.78,easting,0.871
17510,1.78,1.83,easting,1.233
17510,1.83,1.88,easting,1.198
17510,1.88,1.93,easting,0.989
17510,1.93,1.98,easting,1.119
17510,1.98,2.03,easting,1.299
17510,2.03,2.08,easting,0.599
17510,2.08,2.13,easting,0.837
17510,2.13,2.18,easting,1.161
17510,2.18,2.23,easting,1.357
17511,0.605,0.63,easting,1.024
17511,0.63,0.68,easting,1.013
17511,0.68,0.73,easting,1.423
17511,0.73,0.78,easting,0.446
17511,0.78,0.83,easting,1.626
17511,0.83,0.88,easting,1.098
17511,0.88,0.93,easting,1.212
17511,0.93,0.98,easting,1.033
17511,0.98,1.03,easting,1.35
17511,1.03,1.08,easting,1.04
17511,1.08,1.13,easting,1.145
17511,1.13,1.18,easting,1.067
17511,1.18,1.23,easting,0.908
17511,1.23,1.28,easting,1.049
17511,1.28,1.33,easting,1.03
17511,1.33,1.38,easting,1.053
17511,1.38,1.43,easting,1.115
17511,1.43,1.48,easting,0.68
17511,1.48,1.53,easting,0.406
17511,1.53,1.58,easting,0.995
17511,1.58,1.63,easting,0.83
17511,1.63,1.68,easting,1.042
17511,1.68,1.73,easting,0.373
17511,1.73,1.78,easting,0.869
17511,1.78,1.83,easting,1.132
17511,1.83,1.88,easting,1.13
17511,1.88,1.93,easting,1.128
17511,1.93,1.98,easting,1.284
17511,1.98,2.03,easting,1.235
17511,2.03,2.08,easting,1.235
17511,2.08,2.13,easting,1.698
17511,2.13,2.18,easting,0.723
17511,2.18,2.23,easting,1.838
17512,0.605,0.63,easting,0.629
17512,0.63,0.68,easting,1.367
17512,0.68,0.73,easting,1.095
17512,0.73,0.78,easting,1.421
17512,0.78,0.83,easting,1.184
17512,0.83,0.88,easting,0.958
17512,0.88,0.93,easting,1.405
17512,0.93,0.98,easting,1.111
17512,0.98,1.03,easting,1.331
17512,1.03,1.08,easting,1.533
17512,1.08,1.13,easting,1.101
17512,1.13,1.18,easting,1.073
17512,1.18,1.23,easting,1.608
17512,1.23,1.28,easting,0.771
17512,1.28,1.33,easting,1.314
17512,1.33,1.38,easting,0.9
17512,1.38,1.43,easting,0.95
17512,1.43,1.48,easting,1.567
17512,1.48,1.53,easting,0.769
17512,1.53,1.58,easting,1.003
17512,1.58,1.63,easting,1.343
17512,1.63,1.68,easting,1.464
17512,1.68,1.73,easting,0.694
17512,1.73,1.78,easting,1.212
17512,1.78,1.83,easting,0.648
17512,1.83,1.88,easting,1.024
17512,1.88,1.93,easting,1.855
17512,1.93,1.98,easting,1.435
17512,1.98,2.03,easting,2.097
17512,2.03,2.08,easting,1.318
17512,2.08,2.13,easting,1.798
17512,2.13,2.18,easting,1.331
17512,2.18,2.23,easting,1.363
17513,0.605,0.63,easting,0.702
17513,0.63,0.68,easting,0.542
17513,0.68,0.73,easting,0.917
17513,0.73,0.78,easting,0.898
17513,0.78,0.83,easting,1.293
17513,0.83,0.88,easting,0.456
17513,0.88,0.93,easting,1.276
17513,0.93,0.98,easting,0.935
17513,0.98,1.03,easting,1.432
17513,1.03,1.08,easting,1.082
17513,1.08,1.13,easting,1.241
17513,1.13,1.18,easting,1.331
17513,1.18,1.23,easting,0.501
17513,1.23,1.28,easting,1.402
17513,1.28,1.33,easting,1.12
17513,1.33,1.38,easting,1.282
17513,1.38,1.43,easting,1.538
17513,1.43,1.48,easting,1.259
17513,1.48,1.53,easting,1.228
17513,1.53,1.58,easting,1.114
17513,1.58,1.63,easting,1.222
17513,1.63,1.68,easting,0.958
17513,1.68,1.73,easting,0.505
17513,1.73,1.78,easting,1.103
17513,1.78,1.83,easting,1.658
17513,1.83,1.88,easting,1.351
17513,1.88,1.93,easting,1.317
17513,1.93,1.98,easting,1.766
17513,1.98,2.03,easting,1.456
17513,2.03,2.08,easting,1.002
17513,2.08,2.13,easting,1.117
17513,2.13,2.18,easting,0.72
17514,0.605,0.63,easting,0.974
17514,0.63,0.68,easting,0.592
17514,0.68,0.73,easting,1.013
17514,0.73,0.78,easting,1.04
17514,0.78,0.83,easting,0.678
17514,0.83,0.88,easting,0.96
17514,0.88,0.93,easting,0.653
17514,0.93,0.98,easting,1.803
17514,0.98,1.03,easting,1.072
17514,1.03,1.08,easting,0.923
17514,1.08,1.13,easting,1.233
17514,1.13,1.18,easting,1.078
17514,1.18,1.23,easting,1.367
17514,1.23,1.28,easting,0.93
17514,1.28,1.33,easting,1.61
17514,1.33,1.38,easting,1.166
17514,1.38,1.43,easting,1.297
17514,1.43,1.48,easting,1.427
17514,1.48,1.53,easting,1.52
17514,1.53,1.58,easting,1.378
17514,1.58,1.63,easting,1.141
17514,1.63,1.68,easting,1.498
17514,1.68,1.73,easting,0.268
17514,1.73,1.78,easting,1.364
17514,1.78,1.83,easting,1.641
17514,1.83,1.88,easting,0.583
17514,1.88,1.93,easting,1.442
17514,1.93,1.98,easting,1.24
17514,1.98,2.03,easting,1.554
17514,2.03,2.08,easting,1.262
17514,2.08,2.13,easting,1.459
17514,2.13,2.18,easting,1.659
17514,2.18,2.23,easting,1.294
17515,0.605,0.63,easting,0.976
17515,0.63,0.68,easting,1.262
17515,0.68,0.73,easting,1.203
17515,0.73,0.78,easting,1.392
17515,0.78,0.83,easting,1.368
17515,0.83,0.88,easting,1.431
17515,0.88,0.93,easting,0.984
17515,0.93,0.98,easting,1.211
17515,0.98,1.03,easting,1.922
17515,1.03,1.08,easting,1.563
17515,1.08,1.13,easting,1.42
17515,1.13,1.18,easting,1.265
17515,1.18,1.23,easting,1.321
17515,1.23,1.28,easting,1.009
17515,1.28,1.33,easting,1.607
17515,1.33,1.38,easting,1.295
17515,1.38,1.43,easting,1.399
17515,1.43,1.48,easting,1.77
17515,1.48,1.53,easting,1.11
17515,1.53,1.58,easting,1.902
17515,1.58,1.63,easting,1.157
17515,1.63,1.68,easting,0.7
17515,1.68,1.73,easting,0.851
17515,1.73,1.78,easting,1.254
17515,1.78,1.83,easting,1.092
17515,1.83,1.88,easting,1.217
17515,1.88,1.93,easting,1.197
17515,1.93,1.98,easting,1.016
17515,1.98,2.03,easting,1.515
17515,2.03,2.08,easting,1.008
17515,2.08,2.13,easting,1.427
17515,2.13,2.18,easting,0.865
17515,2.18,2.23,easting,1.153
17515,2.23,2.28,easting,0.459
17516,0.605,0.63,easting,1.258
17516,0.63,0.68,easting,1.435
17516,0.68,0.73,easting,1.414
17516,0.73,0.78,easting,0.89
17516,0.78,0.83,easting,1.295
17516,0.83,0.88,easting,0.864
17516,0.88,0.93,easting,0.443
17516,0.93,0.98,easting,1.024
17516,0.98,1.03,easting,1.619
17516,1.03,1.08,easting,1.052
17516,1.08,1.13,easting,1.433
17516,1.13,1.18,easting,1.529
17516,1.18,1.23,easting,1.328
17516,1.23,1.28,easting,1.395
17516,1.33,1.38,easting,1.455
17516,1.38,1.43,easting,1.14
17516,1.43,1.48,easting,1.441
17516,1.48,1.53,easting,0.857
17516,1.53,1.58,easting,0.925
17516,1.58,1.63,easting,0.958
17516,1.63,1.68,easting,0.9
17516,1.68,1.73,easting,1.044
17516,1.73,1.78,easting,1.233
17516,1.78,1.83,easting,0.796
17516,1.83,1.88,easting,1.873
17516,1.88,1.93,easting,1.034
17516,1.93,1.98,easting,1.437
17516,1.98,2.03,easting,1.645
17516,2.03,2.08,easting,0.871
17516,2.08,2.13,easting,1.171
17516,2.13,2.18,easting,1.349
17516,2.18,2.23,easting,1.691
17516,2.23,2.28,easting,1.478
17517,0.605,0.63,easting,1.458
17517,0.63,0.68,easting,0.72
17517,0.68,0.73,easting,1.166
17517,0.73,0.78,easting,1.284
17517,0.78,0.83,easting,1.008
17517,0.83,0.88,easting,1.218
17517,0.88,0.93,easting,0.649
17517,0.93,0.98,easting,1.323
17517,0.98,1.03,easting,0.785
17517,1.03,1.08,easting,1.667
17517,1.08,1.13,easting,1.649
17517,1.13,1.18,easting,0.779
17517,1.18,1.23,easting,1.103
17517,1.23,1.28,easting,1.588
17517,1.28,1.33,easting,1.001
17517,1.33,1.38,easting,1.906
17517,1.38,1.43,easting,0.563
17517,1.43,1.48,easting,1.625
17517,1.48,1.53,easting,0.895
17517,1.53,1.58,easting,1.652
17517,1.58,1.63,easting,1.552
17517,1.63,1.68,easting,1.022
17517,1.68,1.73,easting,1.378
17517,1.73,1.78,easting,1.091
17517,1.78,1.83,easting,1.134
17517,1.83,1.88,easting,1.128
17517,1.88,1.93,easting,0.928
17517,1.93,1.98,easting,1.085
17517,1.98,2.03,easting,1.573
17517,2.03,2.08,easting,1.791
17517,2.08,2.13,easting,1.207
17517,2.13,2.18,easting,1.076
17517,2.18,2.23,easting,1.34
17517,2.23,2.28,easting,1.326
17518,0.605,0.63,easting,1.153
17518,0.63,0.68,easting,1.381
17518,0.68,0.73,easting,1.202
17518,0.73,0.78,easting,0.437
17518,0.78,0.83,easting,1.193
17518,0.83,0.88,easting,1.701
17518,0.88,0.93,easting,1.207
17518,0.93,0.98,easting,0.857
17518,0.98,1.03,easting,1.237
17518,1.03,1.08,easting,1.286
17518,1.08,1.13,easting,1.501
17518,1.13,1.18,easting,1.231
17518,1.18,1.23,easting,1.178
17518,1.23,1.28,easting,1.433
17518,1.28,1.33,easting,1.284
17518,1.33,1.38,easting,1.545
17518,1.38,1.43,easting,1.113
17518,1.48,1.53,easting,1.373
