ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.25,0.31,easting,-0.025
1,0.31,0.37,easting,-0.044
1,0.37,0.43,easting,-0.045
1,0.42,0.48,easting,-0.044
1,0.48,0.54,easting,-0.041
1,0.54,0.6,easting,-0.032
1,0.6,0.66,easting,-0.019
1,0.66,0.72,easting,-0.021
1,0.72,0.78,easting,-0.027
1,0.78,0.84,easting,-0.022
1,0.84,0.9,easting,-0.018
1,0.9,0.96,easting,-0.027
1,0.96,1.02,easting,-0.026
1,1.02,1.08,easting,-0.028
1,1.08,1.14,easting,-0.022
1,1.14,1.2,easting,-0.017
1,1.2,1.26,easting,-0.016
1,1.26,1.32,easting,-0.009
1,1.32,1.38,easting,-0.015
1,1.38,1.44,easting,-0.028
1,1.44,1.5,easting,-0.013
1,1.5,1.56,easting,-0.015
1,1.56,1.62,easting,-0.016
1,1.62,1.68,easting,0.001
1,1.68,1.74,easting,0.015
1,1.74,1.8,easting,0.009
1,1.8,1.86,easting,0
1,1.86,1.92,easting,0
1,1.92,1.98,easting,0.003
1,1.98,2.04,easting,-0.001
1,2.04,2.1,easting,0.004
1,2.1,2.16,easting,0.002
1,2.16,2.22,easting,-0.007
1,2.22,2.28,easting,-0.009
1,2.28,2.34,easting,0.004
1,2.34,2.4,easting,-0.001
1,2.4,2.46,easting,0.009
1,2.46,2.52,easting,0.015
1,2.52,2.58,easting,0.006
1,2.58,2.64,easting,0.002
1,2.64,2.7,easting,-0.022
1,2.7,2.76,easting,-0.043
1,2.76,2.82,easting,0.002
2,0.25,0.31,easting,-0.028
2,0.31,0.37,easting,-0.044
2,0.37,0.43,easting,-0.034
2,0.42,0.48,easting,-0.034
2,0.48,0.54,easting,-0.04
2,0.54,0.6,easting,-0.031
2,0.6,0.66,easting,-0.036
2,0.66,0.72,easting,-0.03
2,0.72,0.78,easting,-0.027
2,0.78,0.84,easting,-0.023
2,0.84,0.9,easting,-0.032
2,0.9,0.96,easting,-0.027
2,0.96,1.02,easting,-0.018
2,1.02,1.08,easting,-0.023
2,1.08,1.14,easting,-0.034
2,1.14,1.2,easting,-0.021
2,1.2,1.26,easting,-0.022
2,1.26,1.32,easting,-0.035
2,1.32,1.38,easting,-0.027
2,1.38,1.44,easting,-0.018
2,1.44,1.5,easting,-0.016
2,1.5,1.56,easting,-0.02
2,1.56,1.62,easting,-0.116
2,1.62,1.68,easting,-0.024
2,1.68,1.74,easting,-0.031
2,1.74,1.8,easting,0.003
2,1.8,1.86,easting,-0.032
2,1.86,1.92,easting,-0.155
2,1.92,1.98,easting,-0.084
2,1.98,2.04,easting,-0.066
2,2.04,2.1,easting,0.004
2,2.1,2.16,easting,-0.027
2,2.16,2.22,easting,-0.041
2,2.22,2.28,easting,-0.017
2,2.28,2.34,easting,-0.038
2,2.34,2.4,easting,-0.038
2,2.4,2.46,easting,-0.038
2,2.46,2.52,easting,-0.013
2,2.52,2.58,easting,0
2,2.58,2.64,easting,0.009
2,2.64,2.7,easting,0.012
2,2.7,2.76,easting,-0.127
2,2.76,2.82,easting,-0.038
2,2.82,2.88,easting,-0.064
3,0.25,0.31,easting,-0.142
3,0.31,0.37,easting,-0.123
3,0.37,0.43,easting,-0.127
3,0.42,0.48,easting,-0.107
3,0.48,0.54,easting,-0.11
3,0.54,0.6,easting,-0.097
3,0.6,0.66,easting,-0.107
3,0.66,0.72,easting,-0.093
3,0.72,0.78,easting,-0.104
3,0.78,0.84,easting,-0.089
3,0.84,0.9,easting,-0.094
3,0.9,0.96,easting,-0.122
3,0.96,1.02,easting,-0.119
3,1.02,1.08,easting,-0.103
3,1.08,1.14,easting,-0.106
3,1.14,1.2,easting,-0.101
3,1.2,1.26,easting,-0.097
3,1.26,1.32,easting,-0.088
3,1.32,1.38,easting,-0.087
3,1.38,1.44,easting,-0.089
3,1.44,1.5,easting,-0.092
3,1.5,1.56,easting,-0.086
3,1.56,1.62,easting,-0.1
3,1.62,1.68,easting,-0.105
3,1.68,1.74,easting,-0.066
3,1.74,1.8,easting,-0.033
3,1.8,1.86,easting,-0.043
3,1.86,1.92,easting,-0.046
3,1.92,1.98,easting,-0.094
3,1.98,2.04,easting,-0.094
3,2.04,2.1,easting,-0.088
3,2.1,2.16,easting,-0.078
3,2.16,2.22,easting,-0.064
3,2.22,2.28,easting,-0.102
3,2.28,2.34,easting,-0.095
3,2.34,2.4,easting,-0.148
3,2.4,2.46,easting,-0.179
3,2.46,2.52,easting,-0.19
3,2.52,2.58,easting,-0.114
3,2.58,2.64,easting,-0.114
3,2.64,2.7,easting,-0.109
3,2.7,2.76,easting,-0.072
3,2.76,2.82,easting,-0.147
4,0.25,0.31,easting,-0.067
4,0.31,0.37,easting,-0.08
4,0.37,0.43,easting,-0.068
4,0.42,0.48,easting,-0.064
4,0.48,0.54,easting,-0.065
4,0.54,0.6,easting,-0.061
4,0.6,0.66,easting,-0.051
4,0.66,0.72,easting,-0.04
4,0.72,0.78,easting,-0.029
4,0.78,0.84,easting,-0.031
4,0.84,0.9,easting,-0.037
4,0.9,0.96,easting,-0.043
4,0.96,1.02,easting,-0.054
4,1.02,1.08,easting,-0.048
4,1.08,1.14,easting,-0.046
4,1.14,1.2,easting,-0.047
4,1.2,1.26,easting,-0.051
4,1.26,1.32,easting,-0.054
4,1.32,1.38,easting,-0.061
