ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
7878,0.42,0.54,easting,-0.091
7878,0.54,0.66,easting,-0.098
7878,0.66,0.78,easting,-0.081
7878,0.78,0.9,easting,-0.09
7878,0.9,1.2,easting,-0.128
7878,1.2,1.68,easting,-0.039
7878,1.68,2.16,easting,-0.154
7878,2.16,2.64,easting,-0.138
7878,2.64,3.12,easting,-0.111
7878,3.12,3.6,easting,-0.134
7878,3.6,4.08,easting,-0.139
7878,4.08,4.56,easting,-0.191
7878,4.56,5.04,easting,-0.065
7878,5.04,5.52,easting,-0.11
7878,5.52,6,easting,-0.162
7878,0.42,0.54,northing,-0.027
7878,0.54,0.66,northing,-0.022
7878,0.66,0.78,northing,-0.02
7878,0.78,0.9,northing,-0.038
7878,0.9,1.2,northing,-0.067
7878,1.2,1.68,northing,-0.08
7878,1.68,2.16,northing,0.065
7878,2.16,2.64,northing,0.07
7878,2.64,3.12,northing,0.087
7878,3.12,3.6,northing,-0.108
7878,3.6,4.08,northing,-0.133
7878,4.08,4.56,northing,-0.095
7878,4.56,5.04,northing,-0.153
7878,5.04,5.52,northing,-0.115
7878,5.52,6,northing,-0.037
7878,0.42,0.54,vertical,0
7878,0.54,0.66,vertical,0.008
7878,0.66,0.78,vertical,0.001
7878,0.78,0.9,vertical,0.004
7878,0.9,1.2,vertical,0.014
7878,1.2,1.68,vertical,-0.007
7878,1.68,2.16,vertical,0.015
7878,2.16,2.64,vertical,-0.001
7878,2.64,3.12,vertical,0.005
7878,3.12,3.6,vertical,-0.013
7878,3.6,4.08,vertical,-0.022
7878,4.08,4.56,vertical,-0.005
7878,4.56,5.04,vertical,-0.03
7878,5.04,5.52,vertical,-0.024
7878,5.52,6,vertical,-0.003
7879,0.42,0.54,easting,-0.114
7879,0.54,0.66,easting,-0.09
7879,0.66,0.78,easting,-0.107
7879,0.78,0.9,easting,-0.083
7879,0.9,1.2,easting,-0.137
7879,1.2,1.68,easting,-0.069
7879,1.68,2.16,easting,-0.211
7879,2.16,2.64,easting,-0.134
7879,2.64,3.12,easting,-0.231
7879,3.12,3.6,easting,-0.124
7879,3.6,4.08,easting,-0.137
7879,4.08,4.56,easting,-0.117
7879,4.56,5.04,easting,-0.094
7879,5.04,5.52,easting,-0.151
7879,5.52,6,easting,-0.209
7879,0.42,0.54,northing,0.022
7879,0.54,0.66,northing,-0.015
7879,0.66,0.78,northing,-0.002
7879,0.78,0.9,northing,-0.035
7879,0.9,1.2,northing,-0.064
7879,1.2,1.68,northing,-0.121
7879,1.68,2.16,northing,0.052
7879,2.16,2.64,northing,-0.076
7879,2.64,3.12,northing,-0.144
7879,3.12,3.6,northing,-0.063
7879,3.6,4.08,northing,-0.181
7879,4.08,4.56,northing,-0.195
7879,4.56,5.04,northing,-0.157
7879,5.04,5.52,northing,-0.18
7879,5.52,6,northing,-0.15
7879,0.42,0.54,vertical,0.015
7879,0.54,0.66,vertical,0.017
7879,0.66,0.78,vertical,0.027
7879,0.78,0.9,vertical,0.02
7879,0.9,1.2,vertical,0.021
7879,1.2,1.68,vertical,0
7879,1.68,2.16,vertical,0.021
7879,2.16,2.64,vertical,0.01
7879,2.64,3.12,vertical,0.039
7879,3.12,3.6,vertical,0.023
7879,3.6,4.08,vertical,0.017
7879,4.08,4.56,vertical,-0.007
7879,4.56,5.04,vertical,-0.018
7879,5.04,5.52,vertical,0.033
7879,5.52,6,vertical,0.017
7880,0.42,0.54,easting,-0.065
7880,0.54,0.66,easting,-0.099
7880,0.66,0.78,easting,-0.078
7880,0.78,0.9,easting,-0.04
7880,0.9,1.2,easting,-0.073
7880,1.2,1.68,easting,-0.031
7880,1.68,2.16,easting,-0.041
7880,2.16,2.64,easting,-0.15
7880,2.64,3.12,easting,-0.135
7880,3.12,3.6,easting,-0.049
7880,3.6,4.08,easting,-0.116
7880,4.08,4.56,easting,-0.108
7880,4.56,5.04,easting,-0.092
7880,5.04,5.52,easting,-0.143
7880,5.52,6,easting,-0.132
7880,0.42,0.54,northing,0.008
7880,0.54,0.66,northing,-0.039
7880,0.66,0.78,northing,-0.058
7880,0.78,0.9,northing,-0.07
7880,0.9,1.2,northing,-0.051
7880,1.2,1.68,northing,-0.01
7880,1.68,2.16,northing,-0.036
7880,2.16,2.64,northing,0.008
7880,2.64,3.12,northing,-0.098
7880,3.12,3.6,northing,-0.05
7880,3.6,4.08,northing,-0.249
7880,4.08,4.56,northing,-0.101
7880,4.56,5.04,northing,-0.11
7880,5.04,5.52,northing,-0.207
7880,5.52,6,northing,-0.208
7880,0.42,0.54,vertical,-0.003
