ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
10448,0.45,0.51,easting,-0.145
10448,0.51,0.57,easting,-0.078
10448,0.57,0.63,easting,-0.066
10448,0.63,0.69,easting,-0.064
10448,0.69,0.75,easting,-0.067
10448,0.75,0.81,easting,-0.072
10448,0.81,0.87,easting,-0.071
10448,0.87,0.93,easting,-0.071
10448,0.93,0.99,easting,-0.075
10448,0.99,1.05,easting,-0.096
10448,1.05,1.11,easting,-0.05
10448,0.45,0.51,northing,0.134
10448,0.51,0.57,northing,-0.083
10448,0.57,0.63,northing,-0.08
10448,0.63,0.69,northing,-0.09
10448,0.69,0.75,northing,-0.087
10448,0.75,0.81,northing,-0.09
10448,0.81,0.87,northing,-0.096
10448,0.87,0.93,northing,-0.092
10448,0.93,0.99,northing,-0.089
10448,0.99,1.05,northing,-0.055
10448,1.05,1.11,northing,-0.082
10448,0.45,0.51,vertical,0.039
10448,0.51,0.57,vertical,0.006
10448,0.57,0.63,vertical,0.009
10448,0.63,0.69,vertical,0.006
10448,0.69,0.75,vertical,0.006
10448,0.75,0.81,vertical,0.009
10448,0.81,0.87,vertical,0.008
10448,0.87,0.93,vertical,0.01
10448,0.93,0.99,vertical,0.011
10448,0.99,1.05,vertical,0.023
10448,1.05,1.11,vertical,0.015
10449,0.45,0.51,easting,-0.051
10449,0.51,0.57,easting,-0.075
10449,0.57,0.63,easting,-0.072
10449,0.63,0.69,easting,-0.076
10449,0.69,0.75,easting,-0.079
10449,0.75,0.81,easting,-0.08
10449,0.81,0.87,easting,-0.083
10449,0.87,0.93,easting,-0.086
10449,0.93,0.99,easting,-0.08
10449,0.99,1.05,easting,-0.08
10449,1.05,1.11,easting,-0.089
10449,0.45,0.51,northing,-0.03
10449,0.51,0.57,northing,-0.09
10449,0.57,0.63,northing,-0.08
10449,0.63,0.69,northing,-0.087
10449,0.69,0.75,northing,-0.09
10449,0.75,0.81,northing,-0.092
10449,0.81,0.87,northing,-0.096
10449,0.87,0.93,northing,-0.093
10449,0.93,0.99,northing,-0.09
10449,0.99,1.05,northing,-0.064
10449,1.05,1.11,northing,-0.068
10449,0.45,0.51,vertical,-0.011
10449,0.51,0.57,vertical,-0.014
10449,0.57,0.63,vertical,-0.011
10449,0.63,0.69,vertical,-0.004
10449,0.69,0.75,vertical,-0.003
10449,0.75,0.81,vertical,-0.001
10449,0.81,0.87,vertical,-0.002
10449,0.87,0.93,vertical,-0.002
10449,0.93,0.99,vertical,-0.001
10449,0.99,1.05,vertical,0.004
10449,1.05,1.11,vertical,0.004
10450,0.45,0.51,easting,-0.111
10450,0.51,0.57,easting,-0.109
10450,0.57,0.63,easting,-0.129
10450,0.63,0.69,easting,-0.133
10450,0.69,0.75,easting,-0.129
10450,0.75,0.81,easting,-0.125
10450,0.81,0.87,easting,-0.138
10450,0.87,0.93,easting,-0.135
10450,0.93,0.99,easting,-0.125
10450,0.99,1.05,easting,-0.132
10450,1.05,1.11,easting,-0.136
10450,1.11,1.17,easting,-0.103
10450,0.45,0.51,northing,0.036
10450,0.51,0.57,northing,-0.094
10450,0.57,0.63,northing,-0.112
10450,0.63,0.69,northing,-0.112
10450,0.69,0.75,northing,-0.119
10450,0.75,0.81,northing,-0.121
10450,0.81,0.87,northing,-0.123
10450,0.87,0.93,northing,-0.118
10450,0.93,0.99,northing,-0.125
10450,0.99,1.05,northing,-0.115
10450,1.05,1.11,northing,-0.102
10450,1.11,1.17,northing,-0.08
10450,0.45,0.51,vertical,0.001
10450,0.51,0.57,vertical,-0.004
10450,0.57,0.63,vertical,-0.001
10450,0.63,0.69,vertical,0.003
10450,0.69,0.75,vertical,0.003
10450,0.75,0.81,vertical,0.002
10450,0.81,0.87,vertical,0.001
10450,0.87,0.93,vertical,0.001
10450,0.93,0.99,vertical,-0.001
10450,0.99,1.05,vertical,0
10450,1.05,1.11,vertical,0.003
10450,1.11,1.17,vertical,0.004
10451,0.45,0.51,easting,-0.016
10451,0.51,0.57,easting,-0.087
10451,0.57,0.63,easting,-0.08
10451,0.63,0.69,easting,-0.074
10451,0.69,0.75,easting,-0.078
10451,0.75,0.81,easting,-0.086
10451,0.81,0.87,easting,-0.089
10451,0.87,0.93,easting,-0.087
10451,0.93,0.99,easting,-0.089
10451,0.99,1.05,easting,-0.081
10451,1.05,1.11,easting,-0.092
10451,1.11,1.17,easting,-0.037
10451,0.45,0.51,northing,-0.156
10451,0.51,0.57,northing,-0.024
10451,0.57,0.63,northing,-0.038
10451,0.63,0.69,northing,-0.051
10451,0.69,0.75,northing,-0.049
10451,0.75,0.81,northing,-0.051
10451,0.81,0.87,northing,-0.055
10451,0.87,0.93,northing,-0.052
10451,0.93,0.99,northing,-0.052
10451,0.99,1.05,northing,-0.057
10451,1.05,1.11,northing,-0.029
10451,1.11,1.17,northing,-0.045
10451,0.45,0.51,vertical,-0.055
10451,0.51,0.57,vertical,-0.004
10451,0.57,0.63,vertical,0
10451,0.63,0.69,vertical,-0.001
10451,0.69,0.75,vertical,0.001
10451,0.75,0.81,vertical,0.003
10451,0.81,0.87,vertical,0.001
10451,0.87,0.93,vertical,0.002
10451,0.93,0.99,vertical,0.002
10451,0.99,1.05,vertical,0.001
10451,1.05,1.11,vertical,0.008
10451,1.11,1.17,vertical,0.002
10452,0.45,0.51,easting,-0.067
10452,0.51,0.57,easting,-0.046
10452,0.57,0.63,easting,-0.059
10452,0.63,0.69,easting,-0.066
10452,0.69,0.75,easting,-0.057
10452,0.75,0.81,easting,-0.06
10452,0.81,0.87,easting,-0.06
10452,0.87,0.93,easting,-0.069
10452,0.93,0.99,easting,-0.069
10452,0.99,1.05,easting,-0.062
10452,1.05,1.11,easting,-0.083
10452,0.45,0.51,northing,-0.051
10452,0.51,0.57,northing,-0.043
10452,0.57,0.63,northing,-0.052
10452,0.63,0.69,northing,-0.037
10452,0.69,0.75,northing,-0.052
10452,0.75,0.81,northing,-0.065
10452,0.81,0.87,northing,-0.058
10452,0.87,0.93,northing,-0.061
10452,0.93,0.99,northing,-0.062
10452,0.99,1.05,northing,-0.061
10452,1.05,1.11,northing,-0.05
10452,0.45,0.51,vertical,-0.051
10452,0.51,0.57,vertical,-0.023
10452,0.57,0.63,vertical,-0.018
10452,0.63,0.69,vertical,-0.015
10452,0.69,0.75,vertical,-0.014
10452,0.75,0.81,vertical,-0.016
10452,0.81,0.87,vertical,-0.013
10452,0.87,0.93,vertical,-0.014
10452,0.93,0.99,vertical,-0.012
10452,0.99,1.05,vertical,-0.012
10452,1.05,1.11,vertical,-0.005
10453,0.45,0.51,easting,0.007
10453,0.51,0.57,easting,-0.062
10453,0.57,0.63,easting,-0.068
10453,0.63,0.69,easting,-0.06
10453,0.69,0.75,easting,-0.069
10453,0.75,0.81,easting,-0.075
10453,0.81,0.87,easting,-0.079
10453,0.87,0.93,easting,-0.08
10453,0.93,0.99,easting,-0.076
10453,0.99,1.05,easting,-0.082
10453,1.05,1.11,easting,-0.087
10453,1.11,1.17,easting,-0.066
10453,0.45,0.51,northing,-0.126
10453,0.51,0.57,northing,-0.038
10453,0.57,0.63,northing,-0.045
