ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.25,0.31,easting,0.052
1,0.31,0.37,easting,0.053
1,0.37,0.43,easting,0.055
1,0.42,0.48,easting,0.058
1,0.48,0.54,easting,0.057
1,0.54,0.6,easting,0.056
1,0.6,0.66,easting,0.064
1,0.66,0.72,easting,0.065
1,0.72,0.78,easting,0.064
1,0.78,0.84,easting,0.063
1,0.84,0.9,easting,0.072
1,0.9,0.96,easting,0.067
1,0.96,1.02,easting,0.073
1,1.02,1.08,easting,0.08
1,1.08,1.14,easting,0.069
1,1.14,1.2,easting,0.078
1,1.2,1.26,easting,0.06
1,1.26,1.32,easting,0.072
1,1.32,1.38,easting,0.065
1,1.38,1.44,easting,0.067
1,1.44,1.5,easting,0.062
1,1.5,1.56,easting,0.06
1,1.56,1.62,easting,0.063
1,1.62,1.68,easting,0.06
1,1.68,1.74,easting,0.059
1,1.74,1.8,easting,0.058
1,1.8,1.86,easting,0.056
2,0.25,0.31,easting,0.064
2,0.31,0.37,easting,0.068
2,0.37,0.43,easting,0.071
2,0.42,0.48,easting,0.075
2,0.48,0.54,easting,0.075
2,0.54,0.6,easting,0.081
2,0.6,0.66,easting,0.082
2,0.66,0.72,easting,0.082
2,0.72,0.78,easting,0.082
2,0.78,0.84,easting,0.086
2,0.84,0.9,easting,0.086
2,0.9,0.96,easting,0.092
2,0.96,1.02,easting,0.09
2,1.02,1.08,easting,0.092
2,1.08,1.14,easting,0.092
2,1.14,1.2,easting,0.096
2,1.2,1.26,easting,0.103
2,1.26,1.32,easting,0.095
2,1.32,1.38,easting,0.089
2,1.38,1.44,easting,0.082
2,1.44,1.5,easting,0.085
2,1.5,1.56,easting,0.086
2,1.56,1.62,easting,0.083
2,1.62,1.68,easting,0.088
2,1.68,1.74,easting,0.087
2,1.74,1.8,easting,0.088
2,1.8,1.86,easting,0.08
2,1.86,1.92,easting,0.048
3,0.25,0.31,easting,0.051
3,0.31,0.37,easting,0.056
3,0.37,0.43,easting,0.058
3,0.42,0.48,easting,0.06
3,0.48,0.54,easting,0.06
3,0.54,0.6,easting,0.06
3,0.6,0.66,easting,0.066
3,0.66,0.72,easting,0.065
3,0.72,0.78,easting,0.066
3,0.78,0.84,easting,0.068
3,0.84,0.9,easting,0.068
3,0.9,0.96,easting,0.072
3,0.96,1.02,easting,0.076
3,1.02,1.08,easting,0.092
3,1.08,1.14,easting,0.124
3,1.14,1.2,easting,0.097
3,1.2,1.26,easting,0.065
3,1.26,1.32,easting,0.068
3,1.32,1.38,easting,0.068
3,1.38,1.44,easting,0.069
3,1.44,1.5,easting,0.065
3,1.5,1.56,easting,0.069
3,1.56,1.62,easting,0.066
3,1.62,1.68,easting,0.067
3,1.68,1.74,easting,0.076
3,1.74,1.8,easting,0.076
3,1.8,1.86,easting,0.065
4,0.25,0.31,easting,-0.027
4,0.31,0.37,easting,0.019
4,0.37,0.43,easting,0.043
4,0.42,0.48,easting,0.08
4,0.48,0.54,easting,0.085
4,0.54,0.6,easting,0.093
4,0.6,0.66,easting,0.089
4,0.66,0.72,easting,0.093
4,0.72,0.78,easting,0.094
4,0.78,0.84,easting,0.096
4,0.84,0.9,easting,0.096
4,0.9,0.96,easting,0.104
4,0.96,1.02,easting,0.104
4,1.02,1.08,easting,0.108
4,1.08,1.14,easting,0.11
4,1.14,1.2,easting,0.112
4,1.2,1.26,easting,0.109
4,1.26,1.32,easting,0.104
4,1.32,1.38,easting,0.111
4,1.38,1.44,easting,0.117
4,1.44,1.5,easting,0.109
4,1.5,1.56,easting,0.096
4,1.56,1.62,easting,0.1
4,1.62,1.68,easting,0.096
