ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
1,2021-08-22,23:07:36,0.82,0.69,0.37369868,29.55706612,-91.41658852
2,2021-08-22,23:07:37,1.57,0.68,0.70935637,29.55706698,-91.41659617
3,2021-08-22,23:07:38,2.24,0.68,0.67567825,29.55706695,-91.41660313
4,2021-08-22,23:07:39,0.68,0.66,0.6392799,29.55706772,-91.41661009
5,2021-08-22,23:07:40,1.28,0.69,0.59248495,29.55706725,-91.41661632
6,2021-08-22,23:07:41,1.86,0.71,0.57334423,29.55706713,-91.4166223
7,2021-08-22,23:07:42,2.44,0.74,0.53342944,29.55706582,-91.41662804
8,2021-08-22,23:07:43,2.93,0.81,0.49506548,29.55706526,-91.4166331
9,2021-08-22,23:07:44,3.43,0.9,0.46896252,29.55706487,-91.4166382
10,2021-08-22,23:07:45,3.87,0.96,0.49472988,29.55706425,-91.41664271
11,2021-08-22,23:07:46,4.42,1.04,0.47347182,29.55706279,-91.41664813
12,2021-08-22,23:07:47,4.83,1.13,0.4684066,29.55706078,-91.41665164
13,2021-08-22,23:07:48,5.36,1.14,0.48503298,29.55705856,-91.4166565
14,2021-08-22,23:07:49,5.8,1.17,0.40332192,29.55705645,-91.41666034
15,2021-08-22,23:07:50,6.17,1.29,0.44017783,29.55705469,-91.41666355
16,2021-08-22,23:07:51,6.68,1.47,0.47068295,29.55705287,-91.41666845
17,2021-08-22,23:07:52,7.11,1.89,0.40537563,29.557051,-91.4166723
18,2021-08-22,23:07:53,7.49,1.96,0.35073537,29.557049,-91.41667555
19,2021-08-22,23:07:54,7.81,1.98,0.34149754,29.557047,-91.41667791
20,2021-08-22,23:07:55,8.18,2,0.35166237,29.55704484,-91.41668075
21,2021-08-22,23:07:56,8.53,2.06,0.3372194,29.55704207,-91.41668248
22,2021-08-22,23:07:57,8.85,2.11,0.32400215,29.55703956,-91.41668421
23,2021-08-22,23:07:58,9.17,2.15,0.33193895,29.55703697,-91.41668575
24,2021-08-22,23:07:59,9.52,2.2,0.33283356,29.55703407,-91.41668695
25,2021-08-22,23:08:00,9.85,2.25,0.3125873,29.55703166,-91.41668896
26,2021-08-22,23:08:01,10.16,2.28,0.30809936,29.55702881,-91.41668928
27,2021-08-22,23:08:02,10.47,2.32,0.2666791,29.55702632,-91.41669073
28,2021-08-22,23:08:03,10.7,2.36,0.25104147,29.5570243,-91.4166912
29,2021-08-22,23:08:04,10.98,2.41,0.26753044,29.55702187,-91.4166917
30,2021-08-22,23:08:05,11.24,2.44,0.22894824,29.5570195,-91.41669179
31,2021-08-22,23:08:06,11.45,2.46,0.22243467,29.55701785,-91.41669279
32,2021-08-22,23:08:07,11.71,2.48,0.23691556,29.55701551,-91.41669229
33,2021-08-22,23:08:08,11.92,2.5,0.24960162,29.5570136,-91.41669226
34,2021-08-22,23:08:09,12.21,2.54,0.29445422,29.55701101,-91.41669207
35,2021-08-22,23:08:10,12.51,2.57,0.25470096,29.55700829,-91.41669248
36,2021-08-22,23:08:11,12.72,2.6,0.27139077,29.55700643,-91.41669251
37,2021-08-22,23:08:12,13.06,2.63,0.31955385,29.55700343,-91.41669179
38,2021-08-22,23:08:13,13.36,2.64,0.3272604,29.5570007,-91.41669177
