ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
15618,0.42,0.54,easting,-0.05
15618,0.54,0.66,easting,-0.019
15618,0.66,0.84,easting,-0.086
15618,0.84,1.08,easting,-0.138
15618,1.08,1.32,easting,-0.131
15618,1.32,1.56,easting,-0.118
15618,1.56,1.8,easting,-0.129
15618,1.8,2.04,easting,-0.146
15618,2.04,2.28,easting,-0.136
15618,2.28,2.52,easting,-0.122
15618,2.52,2.76,easting,-0.105
15618,2.76,3,easting,-0.091
15618,3,3.24,easting,-0.085
15618,3.24,3.48,easting,-0.091
15618,3.48,3.72,easting,-0.086
15618,0.42,0.54,northing,-0.106
15618,0.54,0.66,northing,-0.128
15618,0.66,0.84,northing,-0.164
15618,0.84,1.08,northing,-0.214
15618,1.08,1.32,northing,-0.246
15618,1.32,1.56,northing,-0.261
15618,1.56,1.8,northing,-0.254
15618,1.8,2.04,northing,-0.245
15618,2.04,2.28,northing,-0.257
15618,2.28,2.52,northing,-0.226
15618,2.52,2.76,northing,-0.197
15618,2.76,3,northing,-0.182
15618,3,3.24,northing,-0.177
15618,3.24,3.48,northing,-0.182
15618,3.48,3.72,northing,-0.172
15618,0.42,0.54,vertical,-0.009
15618,0.54,0.66,vertical,-0.004
15618,0.66,0.84,vertical,-0.007
15618,0.84,1.08,vertical,0.005
15618,1.08,1.32,vertical,0.006
15618,1.32,1.56,vertical,0.002
15618,1.56,1.8,vertical,0.002
15618,1.8,2.04,vertical,0.005
15618,2.04,2.28,vertical,0.004
15618,2.28,2.52,vertical,0.003
15618,2.52,2.76,vertical,0
15618,2.76,3,vertical,0.002
15618,3,3.24,vertical,0.004
15618,3.24,3.48,vertical,0
15618,3.48,3.72,vertical,-0.006
15619,0.42,0.54,easting,-0.063
15619,0.54,0.66,easting,-0.064
15619,0.66,0.84,easting,-0.09
15619,0.84,1.08,easting,-0.161
15619,1.08,1.32,easting,-0.156
15619,1.32,1.56,easting,-0.165
15619,1.56,1.8,easting,-0.177
15619,1.8,2.04,easting,-0.191
15619,2.04,2.28,easting,-0.187
15619,2.28,2.52,easting,-0.147
15619,2.52,2.76,easting,-0.133
15619,2.76,3,easting,-0.133
15619,3,3.24,easting,-0.149
15619,3.24,3.48,easting,-0.149
15619,3.48,3.72,easting,-0.132
15619,0.42,0.54,northing,-0.098
15619,0.54,0.66,northing,-0.09
15619,0.66,0.84,northing,-0.122
15619,0.84,1.08,northing,-0.234
15619,1.08,1.32,northing,-0.272
15619,1.32,1.56,northing,-0.272
15619,1.56,1.8,northing,-0.285
15619,1.8,2.04,northing,-0.294
15619,2.04,2.28,northing,-0.281
15619,2.28,2.52,northing,-0.231
15619,2.52,2.76,northing,-0.214
15619,2.76,3,northing,-0.214
15619,3,3.24,northing,-0.208
15619,3.24,3.48,northing,-0.201
15619,3.48,3.72,northing,-0.187
15619,0.42,0.54,vertical,-0.077
15619,0.54,0.66,vertical,-0.058
15619,0.66,0.84,vertical,-0.05
15619,0.84,1.08,vertical,-0.014
15619,1.08,1.32,vertical,-0.012
15619,1.32,1.56,vertical,-0.008
15619,1.56,1.8,vertical,-0.009
15619,1.8,2.04,vertical,-0.005
15619,2.04,2.28,vertical,-0.006
15619,2.28,2.52,vertical,-0.01
15619,2.52,2.76,vertical,-0.007
15619,2.76,3,vertical,-0.001
15619,3,3.24,vertical,-0.002
15619,3.24,3.48,vertical,-0.004
15619,3.48,3.72,vertical,-0.015
15620,0.42,0.54,easting,-0.082
15620,0.54,0.66,easting,-0.039
15620,0.66,0.84,easting,-0.056
15620,0.84,1.08,easting,-0.131
15620,1.08,1.32,easting,-0.136
15620,1.32,1.56,easting,-0.126
15620,1.56,1.8,easting,-0.12
15620,1.8,2.04,easting,-0.123
15620,2.04,2.28,easting,-0.12
15620,2.28,2.52,easting,-0.122
15620,2.52,2.76,easting,-0.09
15620,2.76,3,easting,-0.109
15620,3,3.24,easting,-0.106
15620,3.24,3.48,easting,-0.089
15620,3.48,3.72,easting,-0.104
15620,0.42,0.54,northing,-0.078
15620,0.54,0.66,northing,-0.125
15620,0.66,0.84,northing,-0.108
15620,0.84,1.08,northing,-0.2
15620,1.08,1.32,northing,-0.25
15620,1.32,1.56,northing,-0.283
15620,1.56,1.8,northing,-0.289
15620,1.8,2.04,northing,-0.289
15620,2.04,2.28,northing,-0.27
15620,2.28,2.52,northing,-0.229
15620,2.52,2.76,northing,-0.194
15620,2.76,3,northing,-0.191
15620,3,3.24,northing,-0.178
15620,3.24,3.48,northing,-0.172
15620,3.48,3.72,northing,-0.169
15620,0.42,0.54,vertical,-0.014
15620,0.54,0.66,vertical,-0.002
15620,0.66,0.84,vertical,-0.003
15620,0.84,1.08,vertical,0.007
15620,1.08,1.32,vertical,0.011
15620,1.32,1.56,vertical,0.005
15620,1.56,1.8,vertical,0.006
15620,1.8,2.04,vertical,0.006
15620,2.04,2.28,vertical,0.006
15620,2.28,2.52,vertical,0.008
15620,2.52,2.76,vertical,0.005
15620,2.76,3,vertical,0.008
15620,3,3.24,vertical,0.012
15620,3.24,3.48,vertical,0.011
15620,3.48,3.72,vertical,0.001
15621,0.42,0.54,easting,-0.128
15621,0.54,0.66,easting,-0.103
15621,0.66,0.84,easting,-0.104
15621,0.84,1.08,easting,-0.222
15621,1.08,1.32,easting,-0.216
15621,1.32,1.56,easting,-0.203
15621,1.56,1.8,easting,-0.174
15621,1.8,2.04,easting,-0.168
15621,2.04,2.28,easting,-0.155
15621,2.28,2.52,easting,-0.162
15621,2.52,2.76,easting,-0.162
15621,2.76,3,easting,-0.167
15621,3,3.24,easting,-0.179
15621,3.24,3.48,easting,-0.156
15621,3.48,3.72,easting,-0.156
15621,0.42,0.54,northing,-0.187
15621,0.54,0.66,northing,-0.176
15621,0.66,0.84,northing,-0.176
15621,0.84,1.08,northing,-0.243
15621,1.08,1.32,northing,-0.27
15621,1.32,1.56,northing,-0.282
15621,1.56,1.8,northing,-0.287
15621,1.8,2.04,northing,-0.285
15621,2.04,2.28,northing,-0.291
15621,2.28,2.52,northing,-0.278
15621,2.52,2.76,northing,-0.237
15621,2.76,3,northing,-0.231
15621,3,3.24,northing,-0.203
15621,3.24,3.48,northing,-0.182
15621,3.48,3.72,northing,-0.196
15621,0.42,0.54,vertical,-0.02
15621,0.54,0.66,vertical,-0.021
15621,0.66,0.84,vertical,-0.021
15621,0.84,1.08,vertical,-0.007
15621,1.08,1.32,vertical,-0.005
15621,1.32,1.56,vertical,-0.007
15621,1.56,1.8,vertical,-0.009
15621,1.8,2.04,vertical,-0.016
15621,2.04,2.28,vertical,-0.015
15621,2.28,2.52,vertical,-0.012
15621,2.52,2.76,vertical,-0.016
15621,2.76,3,vertical,-0.013
15621,3,3.24,vertical,-0.006
15621,3.24,3.48,vertical,-0.004
15621,3.48,3.72,vertical,-0.018
15622,0.42,0.54,easting,-0.096
15622,0.54,0.66,easting,-0.135
15622,0.66,0.84,easting,-0.168
15622,0.84,1.08,easting,-0.22
15622,1.08,1.32,easting,-0.196
15622,1.32,1.56,easting,-0.187
15622,1.56,1.8,easting,-0.178
15622,1.8,2.04,easting,-0.158
15622,2.04,2.28,easting,-0.12
15622,2.28,2.52,easting,-0.133
15622,2.52,2.76,easting,-0.143
15622,2.76,3,easting,-0.154
15622,3,3.24,easting,-0.165
15622,3.24,3.48,easting,-0.139
15622,3.48,3.72,easting,-0.129
15622,0.42,0.54,northing,-0.151
15622,0.54,0.66,northing,-0.164
