ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
1,2021-08-22,23:43:18,0.27,1.66,0.07701841,29.58056515,-91.42299609
2,2021-08-22,23:43:19,0.42,1.68,0.18264061,29.58056587,-91.42299473
3,2021-08-22,23:43:20,0.63,1.69,0.20393886,29.58056676,-91.4229928
4,2021-08-22,23:43:21,0.83,1.7,0.19444898,29.58056756,-91.42299099
5,2021-08-22,23:43:22,1.02,1.7,0.2056881,29.58056868,-91.42298944
6,2021-08-22,23:43:23,1.24,1.7,0.22688013,29.58056976,-91.42298757
7,2021-08-22,23:43:24,1.48,1.71,0.2199331,29.58057081,-91.42298544
8,2021-08-22,23:43:25,1.68,1.71,0.13366412,29.58057137,-91.42298342
9,2021-08-22,23:43:26,1.75,1.72,0.120997466,29.58057154,-91.42298281
10,2021-08-22,23:43:27,1.93,1.72,0.21198717,29.5805723,-91.42298116
11,2021-08-22,23:43:28,2.17,1.73,0.2651415,29.58057283,-91.42297869
12,2021-08-22,23:43:29,2.46,1.73,0.2670815,29.58057283,-91.42297572
13,2021-08-22,23:43:30,2.71,1.74,0.24398275,29.58057317,-91.42297319
14,2021-08-22,23:43:31,2.95,1.74,0.22108495,29.58057306,-91.42297069
15,2021-08-22,23:43:32,3.16,1.73,0.17186952,29.58057358,-91.42296865
16,2021-08-22,23:43:33,3.31,1.73,0.18608111,29.58057327,-91.42296715
17,2021-08-22,23:43:34,3.53,1.73,0.21513475,29.58057332,-91.42296482
18,2021-08-22,23:43:35,3.74,1.72,0.24432099,29.58057365,-91.42296273
19,2021-08-22,23:43:36,4.02,1.72,0.25198618,29.58057383,-91.42295981
20,2021-08-22,23:43:37,4.24,1.72,0.27203384,29.58057396,-91.42295754
21,2021-08-22,23:43:38,0.27,1.72,0.25860196,29.58057346,-91.42295421
22,2021-08-22,23:43:39,0.46,1.72,0.2235699,29.58057327,-91.42295226
23,2021-08-22,23:43:40,0.72,1.72,0.2654018,29.58057313,-91.42294961
24,2021-08-22,23:43:41,1.01,1.71,0.25857142,29.58057413,-91.42294687
25,2021-08-22,23:43:42,1.24,1.72,0.28260955,29.58057459,-91.42294454
26,2021-08-22,23:43:43,1.57,1.73,0.3008661,29.58057509,-91.42294114
27,2021-08-22,23:43:44,1.84,1.72,0.2853239,29.5805757,-91.42293846
28,2021-08-22,23:43:45,2.15,1.74,0.355084,29.58057679,-91.42293558
29,2021-08-22,23:43:46,2.55,1.74,0.36530977,29.58057828,-91.42293175
30,2021-08-22,23:43:47,2.88,1.75,0.32159692,29.58057949,-91.4229287
31,2021-08-22,23:43:48,3.2,1.75,0.2945938,29.58058067,-91.4229257
32,2021-08-22,23:43:49,3.47,1.75,0.2721352,29.58058132,-91.42292299
33,2021-08-22,23:43:50,3.74,1.74,0.32255793,29.58058179,-91.42292023
34,2021-08-22,23:43:51,4.12,1.71,0.32903227,29.5805831,-91.42291665
35,2021-08-22,23:43:52,4.4,1.69,0.3288957,29.58058401,-91.42291393
36,2021-08-22,23:43:53,4.77,1.66,0.37841287,29.58058548,-91.42291043
37,2021-08-22,23:43:54,5.16,1.66,0.35965723,29.58058697,-91.42290689
38,2021-08-22,23:43:55,5.49,1.65,0.34647396,29.58058852,-91.42290387
39,2021-08-22,23:43:56,5.85,1.66,0.36337626,29.58058938,-91.42290029
40,2021-08-22,23:43:57,6.22,1.67,0.36284456,29.5805903,-91.42289665
41,2021-08-22,23:43:58,6.58,1.69,0.38771132,29.58059136,-91.42289315
42,2021-08-22,23:43:59,7,1.71,0.3843181,29.58059272,-91.42288914
43,2021-08-22,23:44:00,7.35,1.73,0.38099548,29.58059338,-91.42288556
44,2021-08-22,23:44:01,7.76,1.75,0.39858782,29.58059408,-91.42288143
45,2021-08-22,23:44:02,8.17,1.76,0.37931564,29.5805963,-91.42287804
46,2021-08-22,23:44:03,8.52,1.8,0.3656745,29.58059775,-91.42287482
47,2021-08-22,23:44:04,8.9,1.84,0.3818399,29.58059955,-91.42287147
48,2021-08-22,23:44:05,9.29,1.89,0.37534356,29.58060085,-91.42286778
49,2021-08-22,23:44:06,9.65,1.94,0.4218567,29.58060187,-91.42286419
50,2021-08-22,23:44:07,10.13,1.99,0.4613838,29.58060351,-91.42285962
51,2021-08-22,23:44:08,10.58,2.01,0.44219023,29.58060597,-91.4228559
52,2021-08-22,23:44:09,11.02,2.07,0.43461543,29.58060767,-91.42285183
53,2021-08-22,23:44:10,11.45,2.1,0.4122863,29.58060897,-91.42284761
54,2021-08-22,23:44:11,11.84,2.13,0.38822207,29.58061021,-91.42284383
55,2021-08-22,23:44:12,12.23,2.15,0.43535826,29.58061122,-91.42284002
56,2021-08-22,23:44:13,12.72,2.16,0.47283506,29.58061316,-91.4228355
57,2021-08-22,23:44:14,13.18,2.18,0.44519863,29.58061482,-91.42283117
58,2021-08-22,23:44:15,13.61,2.19,0.44984028,29.58061632,-91.42282705
59,2021-08-22,23:44:16,14.08,2.18,0.4626118,29.5806183,-91.42282278
60,2021-08-22,23:44:17,14.53,2.19,0.4959243,29.58062057,-91.42281883
61,2021-08-22,23:44:18,15.07,2.22,0.5166337,29.58062334,-91.42281432
62,2021-08-22,23:44:19,15.57,2.21,0.47097594,29.5806256,-91.42280985
63,2021-08-22,23:44:20,16.01,2.2,0.4855411,29.58062759,-91.4228059
64,2021-08-22,23:44:21,16.54,2.2,0.529491,29.58063013,-91.42280127
65,2021-08-22,23:44:22,17.07,2.22,0.5146081,29.58063227,-91.42279637
66,2021-08-22,23:44:23,17.57,2.19,0.4836849,29.58063449,-91.42279189
67,2021-08-22,23:44:24,18.04,2.15,0.47865653,29.5806366,-91.4227877
68,2021-08-22,23:44:25,18.53,2.13,0.49942505,29.58063865,-91.42278323
69,2021-08-22,23:44:26,19.04,2.15,0.49509647,29.58064145,-91.42277901
70,2021-08-22,23:44:27,19.52,2.17,0.50563157,29.58064379,-91.42277487
