ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.25,0.31,easting,0.388
1,0.31,0.37,easting,0.396
1,0.37,0.43,easting,0.397
1,0.42,0.48,easting,0.395
1,0.48,0.54,easting,0.394
1,0.54,0.6,easting,0.393
1,0.6,0.66,easting,0.415
1,0.66,0.72,easting,0.409
1,0.72,0.78,easting,0.407
1,0.78,0.84,easting,0.412
1,0.84,0.9,easting,0.409
1,0.9,0.96,easting,0.401
1,0.96,1.02,easting,0.372
1,1.02,1.08,easting,0.361
1,1.08,1.14,easting,0.364
1,1.14,1.2,easting,0.369
1,1.2,1.26,easting,0.366
1,1.26,1.32,easting,0.363
1,1.32,1.38,easting,0.379
1,1.38,1.44,easting,0.361
2,0.25,0.31,easting,0.284
2,0.31,0.37,easting,0.289
2,0.37,0.43,easting,0.289
2,0.42,0.48,easting,0.283
2,0.48,0.54,easting,0.277
2,0.54,0.6,easting,0.274
2,0.6,0.66,easting,0.284
2,0.66,0.72,easting,0.284
2,0.72,0.78,easting,0.284
2,0.78,0.84,easting,0.291
2,0.84,0.9,easting,0.298
2,0.9,0.96,easting,0.286
2,0.96,1.02,easting,0.279
2,1.02,1.08,easting,0.27
2,1.08,1.14,easting,0.273
2,1.14,1.2,easting,0.265
2,1.2,1.26,easting,0.259
2,1.26,1.32,easting,0.245
2,1.32,1.38,easting,0.254
2,1.38,1.44,easting,0.241
3,0.25,0.31,easting,0.326
3,0.31,0.37,easting,0.338
3,0.37,0.43,easting,0.344
3,0.42,0.48,easting,0.335
3,0.48,0.54,easting,0.34
3,0.54,0.6,easting,0.335
3,0.6,0.66,easting,0.341
3,0.66,0.72,easting,0.343
3,0.72,0.78,easting,0.345
3,0.78,0.84,easting,0.331
3,0.84,0.9,easting,0.326
3,0.9,0.96,easting,0.321
3,0.96,1.02,easting,0.313
3,1.02,1.08,easting,0.306
3,1.08,1.14,easting,0.304
3,1.14,1.2,easting,0.303
3,1.2,1.26,easting,0.296
3,1.26,1.32,easting,0.287
3,1.32,1.38,easting,0.283
3,1.38,1.44,easting,0.289
4,0.25,0.31,easting,0.308
4,0.31,0.37,easting,0.322
4,0.37,0.43,easting,0.317
4,0.42,0.48,easting,0.326
4,0.48,0.54,easting,0.335
4,0.54,0.6,easting,0.341
4,0.6,0.66,easting,0.332
4,0.66,0.72,easting,0.331
4,0.72,0.78,easting,0.32
4,0.78,0.84,easting,0.306
4,0.84,0.9,easting,0.305
4,0.9,0.96,easting,0.303
4,0.96,1.02,easting,0.294
4,1.02,1.08,easting,0.291
4,1.08,1.14,easting,0.293
4,1.14,1.2,easting,0.293
4,1.2,1.26,easting,0.29
4,1.26,1.32,easting,0.289
4,1.32,1.38,easting,0.291
4,1.38,1.44,easting,0.295
5,0.25,0.31,easting,0.291
5,0.31,0.37,easting,0.305
5,0.37,0.43,easting,0.298
5,0.42,0.48,easting,0.303
5,0.48,0.54,easting,0.3
5,0.54,0.6,easting,0.295
5,0.6,0.66,easting,0.297
5,0.66,0.72,easting,0.291
5,0.72,0.78,easting,0.296
5,0.78,0.84,easting,0.284
5,0.84,0.9,easting,0.275
5,0.9,0.96,easting,0.278
5,0.96,1.02,easting,0.275
5,1.02,1.08,easting,0.28
5,1.08,1.14,easting,0.283
5,1.14,1.2,easting,0.289
5,1.2,1.26,easting,0.284
5,1.26,1.32,easting,0.272
5,1.32,1.38,easting,0.265
5,1.38,1.44,easting,0.268
6,0.25,0.31,easting,0.311
6,0.31,0.37,easting,0.31
6,0.37,0.43,easting,0.308
6,0.42,0.48,easting,0.301
6,0.48,0.54,easting,0.296
6,0.54,0.6,easting,0.293
6,0.6,0.66,easting,0.289
6,0.66,0.72,easting,0.292
6,0.72,0.78,easting,0.294
6,0.78,0.84,easting,0.299
6,0.84,0.9,easting,0.291
6,0.9,0.96,easting,0.288
6,0.96,1.02,easting,0.298
6,1.02,1.08,easting,0.304
6,1.08,1.14,easting,0.29
6,1.14,1.2,easting,0.3
6,1.2,1.26,easting,0.309
6,1.26,1.32,easting,0.304
6,1.32,1.38,easting,0.303
6,1.38,1.44,easting,0.304
6,1.44,1.5,easting,0.295
7,0.25,0.31,easting,0.338
7,0.31,0.37,easting,0.34
7,0.37,0.43,easting,0.347
7,0.42,0.48,easting,0.351
7,0.48,0.54,easting,0.352
7,0.54,0.6,easting,0.342
7,0.6,0.66,easting,0.336
7,0.66,0.72,easting,0.337
7,0.72,0.78,easting,0.337
7,0.78,0.84,easting,0.323
7,0.84,0.9,easting,0.317
7,0.9,0.96,easting,0.308
7,0.96,1.02,easting,0.306
7,1.02,1.08,easting,0.318
7,1.08,1.14,easting,0.32
7,1.14,1.2,easting,0.327
7,1.2,1.26,easting,0.316
7,1.26,1.32,easting,0.32
7,1.32,1.38,easting,0.305
7,1.38,1.44,easting,0.329
7,1.44,1.5,easting,0.338
8,0.25,0.31,easting,0.312
8,0.31,0.37,easting,0.31
8,0.37,0.43,easting,0.316
8,0.42,0.48,easting,0.315
8,0.48,0.54,easting,0.308
8,0.54,0.6,easting,0.305
8,0.6,0.66,easting,0.296
8,0.66,0.72,easting,0.303
8,0.72,0.78,easting,0.3
8,0.78,0.84,easting,0.305
8,0.84,0.9,easting,0.303
8,0.9,0.96,easting,0.277
8,0.96,1.02,easting,0.279
8,1.02,1.08,easting,0.282
8,1.08,1.14,easting,0.276
8,1.14,1.2,easting,0.285
8,1.2,1.26,easting,0.277
8,1.26,1.32,easting,0.285
8,1.32,1.38,easting,0.299
8,1.38,1.44,easting,0.315
8,1.44,1.5,easting,0.29
9,0.25,0.31,easting,0.16
9,0.31,0.37,easting,0.163
9,0.37,0.43,easting,0.167
9,0.42,0.48,easting,0.17
9,0.48,0.54,easting,0.151
9,0.54,0.6,easting,0.15
9,0.6,0.66,easting,0.144
9,0.66,0.72,easting,0.14
9,0.72,0.78,easting,0.131
9,0.78,0.84,easting,0.141
9,0.84,0.9,easting,0.144
9,0.9,0.96,easting,0.144
9,0.96,1.02,easting,0.161
9,1.02,1.08,easting,0.166
9,1.08,1.14,easting,0.164
9,1.14,1.2,easting,0.128
9,1.2,1.26,easting,0.129
9,1.26,1.32,easting,0.125
9,1.32,1.38,easting,0.139
9,1.38,1.44,easting,0.092
9,1.44,1.5,easting,0.126
10,0.25,0.31,easting,0.265
10,0.31,0.37,easting,0.269
10,0.37,0.43,easting,0.259
10,0.42,0.48,easting,0.259
10,0.48,0.54,easting,0.26
10,0.54,0.6,easting,0.256
10,0.6,0.66,easting,0.25
10,0.66,0.72,easting,0.243
10,0.72,0.78,easting,0.23
10,0.78,0.84,easting,0.232
10,0.84,0.9,easting,0.232
10,0.9,0.96,easting,0.234
10,0.96,1.02,easting,0.255
10,1.02,1.08,easting,0.245
10,1.08,1.14,easting,0.216
10,1.14,1.2,easting,0.219
10,1.2,1.26,easting,0.244
10,1.26,1.32,easting,0.232
10,1.32,1.38,easting,0.216
10,1.38,1.44,easting,0.191
10,1.44,1.5,easting,0.201
11,0.25,0.31,easting,0.355
11,0.31,0.37,easting,0.356
11,0.37,0.43,easting,0.356
11,0.42,0.48,easting,0.35
11,0.48,0.54,easting,0.341
11,0.54,0.6,easting,0.347
11,0.6,0.66,easting,0.347
11,0.66,0.72,easting,0.346
11,0.72,0.78,easting,0.337
11,0.78,0.84,easting,0.34
11,0.84,0.9,easting,0.346
11,0.9,0.96,easting,0.34
11,0.96,1.02,easting,0.348
11,1.02,1.08,easting,0.352
11,1.08,1.14,easting,0.341
11,1.14,1.2,easting,0.316
11,1.2,1.26,easting,0.316
11,1.26,1.32,easting,0.312
11,1.32,1.38,easting,0.303
11,1.38,1.44,easting,0.313
11,1.44,1.5,easting,0.276
12,0.25,0.31,easting,0.421
12,0.31,0.37,easting,0.426
12,0.37,0.43,easting,0.421
12,0.42,0.48,easting,0.406
