ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.16,0.18,easting,-0.034
1,0.18,0.2,easting,-0.037
1,0.2,0.22,easting,-0.033
1,0.22,0.24,easting,-0.023
1,0.24,0.26,easting,-0.026
1,0.26,0.28,easting,-0.022
1,0.28,0.3,easting,-0.017
1,0.3,0.32,easting,-0.013
1,0.32,0.34,easting,-0.012
1,0.34,0.36,easting,-0.011
1,0.36,0.38,easting,-0.01
1,0.38,0.4,easting,-0.008
1,0.4,0.42,easting,-0.008
1,0.42,0.44,easting,-0.007
1,0.44,0.46,easting,-0.004
1,0.46,0.48,easting,-0.004
1,0.48,0.5,easting,-0.004
1,0.5,0.52,easting,-0.004
1,0.52,0.54,easting,-0.002
1,0.54,0.56,easting,0.001
1,0.56,0.58,easting,-0.001
1,0.58,0.6,easting,-0.002
1,0.6,0.62,easting,-0.003
1,0.62,0.64,easting,-0.005
1,0.64,0.66,easting,-0.005
1,0.66,0.68,easting,-0.009
1,0.68,0.7,easting,-0.008
1,0.7,0.72,easting,-0.011
1,0.72,0.74,easting,-0.009
1,0.74,0.76,easting,-0.012
2,0.16,0.18,easting,-0.061
2,0.18,0.2,easting,-0.073
2,0.2,0.22,easting,-0.071
2,0.22,0.24,easting,-0.069
2,0.24,0.26,easting,-0.06
2,0.26,0.28,easting,-0.057
2,0.28,0.3,easting,-0.054
2,0.3,0.32,easting,-0.049
2,0.32,0.34,easting,-0.048
2,0.34,0.36,easting,-0.048
2,0.36,0.38,easting,-0.048
2,0.38,0.4,easting,-0.045
2,0.4,0.42,easting,-0.043
2,0.42,0.44,easting,-0.043
2,0.44,0.46,easting,-0.041
2,0.46,0.48,easting,-0.041
2,0.48,0.5,easting,-0.04
2,0.5,0.52,easting,-0.04
2,0.52,0.54,easting,-0.037
2,0.54,0.56,easting,-0.037
2,0.56,0.58,easting,-0.039
2,0.58,0.6,easting,-0.039
2,0.6,0.62,easting,-0.039
2,0.62,0.64,easting,-0.042
2,0.64,0.66,easting,-0.044
2,0.66,0.68,easting,-0.045
2,0.68,0.7,easting,-0.046
2,0.7,0.72,easting,-0.048
2,0.72,0.74,easting,-0.05
2,0.74,0.76,easting,-0.052
3,0.16,0.18,easting,-0.035
3,0.18,0.2,easting,-0.037
3,0.2,0.22,easting,-0.03
3,0.22,0.24,easting,-0.031
3,0.24,0.26,easting,-0.025
3,0.26,0.28,easting,-0.019
3,0.28,0.3,easting,-0.015
3,0.3,0.32,easting,-0.013
3,0.32,0.34,easting,-0.012
3,0.34,0.36,easting,-0.011
3,0.36,0.38,easting,-0.011
3,0.38,0.4,easting,-0.009
3,0.4,0.42,easting,-0.006
3,0.42,0.44,easting,-0.005
3,0.44,0.46,easting,-0.005
3,0.46,0.48,easting,-0.004
3,0.48,0.5,easting,-0.004
3,0.5,0.52,easting,-0.005
3,0.52,0.54,easting,0
3,0.54,0.56,easting,0
3,0.56,0.58,easting,0
3,0.58,0.6,easting,-0.001
3,0.6,0.62,easting,-0.003
3,0.62,0.64,easting,-0.005
3,0.64,0.66,easting,-0.008
3,0.66,0.68,easting,-0.009
3,0.68,0.7,easting,-0.009
3,0.7,0.72,easting,-0.01
3,0.72,0.74,easting,-0.01
3,0.74,0.76,easting,-0.01
4,0.16,0.18,easting,-0.018
4,0.18,0.2,easting,-0.018
4,0.2,0.22,easting,-0.019
4,0.22,0.24,easting,-0.018
4,0.24,0.26,easting,-0.01
4,0.26,0.28,easting,-0.007
4,0.28,0.3,easting,-0.004
4,0.3,0.32,easting,-0.002
4,0.32,0.34,easting,0
4,0.34,0.36,easting,0.002
4,0.36,0.38,easting,0.001
4,0.38,0.4,easting,0.005
4,0.4,0.42,easting,0.004
