ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.16,0.18,easting,0.086
1,0.18,0.2,easting,0.069
1,0.2,0.22,easting,0.063
1,0.22,0.24,easting,0.06
1,0.24,0.26,easting,0.06
1,0.26,0.28,easting,0.057
1,0.28,0.3,easting,0.049
1,0.3,0.32,easting,0.05
1,0.32,0.34,easting,0.054
1,0.34,0.36,easting,0.052
1,0.36,0.38,easting,0.053
1,0.38,0.4,easting,0.053
1,0.4,0.42,easting,0.059
1,0.42,0.44,easting,0.053
1,0.44,0.46,easting,0.05
1,0.46,0.48,easting,0.054
1,0.48,0.5,easting,0.052
1,0.5,0.52,easting,0.055
2,0.16,0.18,easting,0.082
2,0.18,0.2,easting,0.065
2,0.2,0.22,easting,0.061
2,0.22,0.24,easting,0.051
2,0.24,0.26,easting,0.046
2,0.26,0.28,easting,0.051
2,0.28,0.3,easting,0.048
2,0.3,0.32,easting,0.04
2,0.32,0.34,easting,0.042
2,0.34,0.36,easting,0.036
2,0.36,0.38,easting,0.042
2,0.38,0.4,easting,0.041
2,0.4,0.42,easting,0.043
2,0.42,0.44,easting,0.038
2,0.44,0.46,easting,0.037
2,0.46,0.48,easting,0.037
2,0.48,0.5,easting,0.04
2,0.5,0.52,easting,0.049
3,0.16,0.18,easting,0.088
3,0.18,0.2,easting,0.081
3,0.2,0.22,easting,0.067
3,0.22,0.24,easting,0.061
3,0.24,0.26,easting,0.057
3,0.26,0.28,easting,0.048
3,0.28,0.3,easting,0.051
3,0.3,0.32,easting,0.053
3,0.32,0.34,easting,0.055
3,0.34,0.36,easting,0.055
3,0.36,0.38,easting,0.059
3,0.38,0.4,easting,0.056
3,0.4,0.42,easting,0.053
3,0.42,0.44,easting,0.045
3,0.44,0.46,easting,0.043
3,0.46,0.48,easting,0.032
3,0.48,0.5,easting,0.042
3,0.5,0.52,easting,0.044
4,0.16,0.18,easting,0.017
4,0.18,0.2,easting,0.01
4,0.2,0.22,easting,-0.001
4,0.22,0.24,easting,-0.01
4,0.24,0.26,easting,-0.015
4,0.26,0.28,easting,-0.013
4,0.28,0.3,easting,-0.014
4,0.3,0.32,easting,-0.017
4,0.32,0.34,easting,-0.02
4,0.34,0.36,easting,-0.016
4,0.36,0.38,easting,-0.021
4,0.38,0.4,easting,-0.014
4,0.4,0.42,easting,-0.013
4,0.42,0.44,easting,-0.015
4,0.44,0.46,easting,0
4,0.46,0.48,easting,0.004
