ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
1,2021-08-23,16:58:59,0.31,1.11,0.1703867,29.16281774,-90.82474641
2,2021-08-23,16:59:00,0.65,1.18,0.31616843,29.16281571,-90.82474904
3,2021-08-23,16:59:01,0.95,1.17,0.30298114,29.16281365,-90.82475094
4,2021-08-23,16:59:02,1.26,1.17,0.28433433,29.16281155,-90.82475308
6,2021-08-23,16:59:04,1.51,1.16,0.2821677,29.16280996,-90.824755
7,2021-08-23,16:59:05,1.82,1.17,0.29131526,29.16280779,-90.82475699
8,2021-08-23,16:59:06,2.1,1.12,0.24578632,29.16280624,-90.82475923
9,2021-08-23,16:59:07,2.31,1.18,0.26738003,29.16280495,-90.82476087
10,2021-08-23,16:59:08,2.64,1.17,0.31025088,29.16280296,-90.82476326
11,2021-08-23,16:59:09,2.94,1.18,0.312518,29.16280089,-90.82476526
12,2021-08-23,16:59:10,3.26,1.17,0.27867413,29.16279844,-90.8247671
13,2021-08-23,16:59:11,3.5,1.17,0.26525554,29.16279691,-90.82476876
14,2021-08-23,16:59:12,3.79,1.17,0.3138545,29.16279472,-90.82477053
15,2021-08-23,16:59:13,4.12,1.18,0.28514355,29.16279229,-90.82477249
16,2021-08-23,16:59:14,4.36,1.19,0.24016148,29.16279064,-90.8247741
17,2021-08-23,16:59:15,4.61,1.18,0.24087133,29.16278879,-90.8247754
18,2021-08-23,16:59:16,4.85,1.19,0.23502031,29.16278705,-90.82477689
19,2021-08-23,16:59:17,5.08,1.2,0.2448471,29.16278536,-90.82477824
20,2021-08-23,16:59:18,5.34,1.19,0.24884605,29.1627833,-90.82477955
21,2021-08-23,16:59:19,5.57,1.2,0.2542634,29.1627814,-90.82478065
22,2021-08-23,16:59:20,5.85,1.19,0.26249743,29.16277941,-90.82478232
23,2021-08-23,16:59:21,6.1,1.2,0.4505473,29.16277753,-90.82478376
24,2021-08-23,16:59:22,0.27,1.2,0.43942058,29.16277474,-90.8247899
25,2021-08-23,16:59:23,0.51,1.21,0.25598288,29.16277279,-90.824791
26,2021-08-23,16:59:24,0.78,1.21,0.24976051,29.16277041,-90.82479173
27,2021-08-23,16:59:25,1.01,1.21,0.23156162,29.16276847,-90.82479246
28,2021-08-23,16:59:26,1.24,1.21,0.29605275,29.16276646,-90.82479328
29,2021-08-23,16:59:27,1.61,1.22,0.32478577,29.16276322,-90.82479358
30,2021-08-23,16:59:28,1.9,1.21,0.26957986,29.16276066,-90.82479423
31,2021-08-23,16:59:29,2.14,1.22,0.32889068,29.16275849,-90.82479487
32,2021-08-23,16:59:30,2.56,1.22,0.28138924,29.16275514,-90.82479671
33,2021-08-23,16:59:31,2.72,1.22,0.23602141,29.16275368,-90.82479672
34,2021-08-23,16:59:32,3.04,1.23,0.28516996,29.16275105,-90.82479806
35,2021-08-23,16:59:33,3.29,1.23,0.2444023,29.16274886,-90.82479877
36,2021-08-23,16:59:34,3.53,1.23,0.2544916,29.16274668,-90.82479873
37,2021-08-23,16:59:35,3.8,1.23,0.284603,29.16274427,-90.82479864
38,2021-08-23,16:59:36,4.1,1.23,0.3142551,29.16274159,-90.82479796
39,2021-08-23,16:59:37,4.43,1.25,0.3134194,29.16273872,-90.82479732
40,2021-08-23,16:59:38,4.73,1.25,0.30527464,29.16273602,-90.82479685
41,2021-08-23,16:59:39,5.04,1.18,0.3159381,29.16273322,-90.82479699
42,2021-08-23,16:59:40,5.36,1.26,0.33015755,29.16273032,-90.82479684
43,2021-08-23,16:59:41,5.7,1.26,0.31041077,29.16272729,-90.82479635
44,2021-08-23,16:59:42,5.99,1.21,0.29322734,29.16272483,-90.82479558
45,2021-08-23,16:59:43,6.29,1.23,0.2972517,29.16272218,-90.82479479
46,2021-08-23,16:59:44,6.58,1.28,0.2803251,29.16271955,-90.82479451
47,2021-08-23,16:59:45,6.85,1.28,0.31202984,29.16271715,-90.82479419
48,2021-08-23,16:59:46,7.21,1.16,0.29305983,29.16271398,-90.82479358
49,2021-08-23,16:59:47,7.44,1.27,0.24970877,29.16271206,-90.82479256
50,2021-08-23,16:59:48,7.71,1.29,0.2939712,29.16270972,-90.82479191
51,2021-08-23,16:59:49,8.03,1.29,0.33453155,29.16270679,-90.82479188
52,2021-08-23,16:59:50,8.38,1.29,0.3389884,29.16270375,-90.8247909
53,2021-08-23,16:59:51,8.71,1.3,0.3227462,29.16270102,-90.82478957
54,2021-08-23,16:59:52,9.03,1.3,0.2799769,29.16269857,-90.82478787
55,2021-08-23,16:59:53,9.27,1.3,0.24562639,29.16269681,-90.82478639
56,2021-08-23,16:59:54,9.53,1.29,0.2853311,29.16269473,-90.82478535
57,2021-08-23,16:59:55,9.84,1.31,0.31944457,29.16269217,-90.82478385
58,2021-08-23,16:59:56,10.16,1.3,0.3133595,29.16268959,-90.82478238
59,2021-08-23,16:59:57,10.47,1.31,0.27974802,29.1626872,-90.82478078
60,2021-08-23,16:59:58,10.72,1.31,0.24977827,29.16268512,-90.82477971
61,2021-08-23,16:59:59,10.97,1.32,0.23902777,29.16268308,-90.8247787
62,2021-08-23,17:00:00,11.21,1.31,0.2615191,29.16268145,-90.82477713
63,2021-08-23,17:00:01,11.5,1.31,0.38654795,29.16267899,-90.82477602
64,2021-08-23,17:00:02,11.99,1.32,0.39145994,29.16267558,-90.82477284
65,2021-08-23,17:00:03,12.29,1.33,0.30333406,29.16267322,-90.82477138
66,2021-08-23,17:00:04,12.6,1.33,0.30494475,29.16267074,-90.82476993
67,2021-08-23,17:00:05,12.9,1.34,0.30677283,29.16266857,-90.82476803
68,2021-08-23,17:00:06,13.21,1.34,0.31367972,29.16266681,-90.82476549
69,2021-08-23,17:00:07,13.53,1.34,0.2667098,29.1626645,-90.82476355
70,2021-08-23,17:00:08,13.75,1.34,0.26763836,29.1626633,-90.82476174
71,2021-08-23,17:00:09,14.07,1.34,0.3395656,29.16266159,-90.82475916
72,2021-08-23,17:00:10,14.43,1.35,0.33092916,29.16265944,-90.82475632
73,2021-08-23,17:00:11,14.73,1.35,0.3463204,29.16265771,-90.82475399
74,2021-08-23,17:00:12,15.13,1.34,0.36989862,29.16265523,-90.82475106
75,2021-08-23,17:00:13,15.47,1.36,0.3104278,29.16265313,-90.82474846
76,2021-08-23,17:00:14,15.75,1.37,0.29002467,29.16265152,-90.82474628
77,2021-08-23,17:00:15,16.05,1.36,0.27691898,29.16264959,-90.82474407
78,2021-08-23,17:00:16,16.3,1.37,0.12541689,29.16264811,-90.82474212
79,2021-08-23,17:00:17,16.3,1.37,0,29.16264811,-90.82474212
80,2021-08-23,17:00:18,16.3,1.39,0,29.16264811,-90.82474212
81,2021-08-23,17:00:19,16.3,1.38,0.12883349,29.16264811,-90.82474212
82,2021-08-23,17:00:20,16.56,1.37,0.25119668,29.1626465,-90.82474021
83,2021-08-23,17:00:21,16.8,1.37,0.23692638,29.16264514,-90.82473822
84,2021-08-23,17:00:22,17.03,1.38,0.24545911,29.16264394,-90.82473631
85,2021-08-23,17:00:23,17.29,1.37,0.27751738,29.16264266,-90.82473404
86,2021-08-23,17:00:24,17.59,1.38,0.2777636,29.16264109,-90.82473162
87,2021-08-23,17:00:25,17.85,1.37,0.27618372,29.16263974,-90.8247294
88,2021-08-23,17:00:26,18.14,1.38,0.305982,29.16263878,-90.82472659
89,2021-08-23,17:00:27,18.47,1.38,0.33930954,29.162637,-90.82472394
90,2021-08-23,17:00:28,18.82,1.39,0.34084675,29.16263529,-90.82472086
91,2021-08-23,17:00:29,19.15,1.38,0.35686985,29.16263334,-90.82471831
92,2021-08-23,17:00:30,19.54,1.38,0.41924468,29.16263101,-90.82471538
93,2021-08-23,17:00:31,19.99,1.4,0.4676215,29.16262888,-90.82471135
94,2021-08-23,17:00:32,20.47,1.42,0.4023006,29.1626264,-90.82470733
95,2021-08-23,17:00:33,20.8,1.42,0.36220372,29.16262492,-90.82470442
96,2021-08-23,17:00:34,21.2,1.41,0.40586442,29.16262273,-90.82470117
97,2021-08-23,17:00:35,21.61,1.45,0.3846378,29.16262033,-90.82469792
98,2021-08-23,17:00:36,21.97,1.46,0.37703234,29.16261838,-90.82469501
99,2021-08-23,17:00:37,22.37,1.46,0.38728762,29.16261632,-90.82469166
100,2021-08-23,17:00:38,22.74,1.46,0.38176906,29.16261469,-90.82468825
101,2021-08-23,17:00:39,23.13,1.47,0.38718793,29.16261272,-90.82468497
102,2021-08-23,17:00:40,23.52,1.48,0.360283,29.16261061,-90.82468179
103,2021-08-23,17:00:41,23.85,1.47,0.35151163,29.16260891,-90.82467897
104,2021-08-23,17:00:42,24.22,1.46,0.36463794,29.16260731,-90.82467562
105,2021-08-23,17:00:43,24.58,1.47,0.37763003,29.16260576,-90.82467239
106,2021-08-23,17:00:44,24.98,1.47,0.40186122,29.16260371,-90.82466903
107,2021-08-23,17:00:45,25.39,1.47,0.43903708,29.16260204,-90.8246653
108,2021-08-23,17:00:46,25.86,1.48,0.49540323,29.16260013,-90.82466098
110,2021-08-23,17:00:48,26.38,1.48,0.48024055,29.16259838,-90.82465601
111,2021-08-23,17:00:49,26.82,1.49,0.39645478,29.16259663,-90.82465195
112,2021-08-23,17:00:50,27.17,1.45,0.42445472,29.16259571,-90.82464845
113,2021-08-23,17:00:51,27.67,1.48,0.49585226,29.16259392,-90.82464379
114,2021-08-23,17:00:52,28.17,1.5,0.47134227,29.16259219,-90.82463908
115,2021-08-23,17:00:53,28.61,1.5,0.5122202,29.16259056,-90.82463489
116,2021-08-23,17:00:54,29.19,1.54,0.53198594,29.16258808,-90.82462965
117,2021-08-23,17:00:55,29.68,1.57,0.47580105,29.16258632,-90.82462508
118,2021-08-23,17:00:56,30.14,1.57,0.4546238,29.16258498,-90.82462053
119,2021-08-23,17:00:57,30.59,1.58,0.4294806,29.16258303,-90.82461652
120,2021-08-23,17:00:58,31.01,1.58,0.40862256,29.16258211,-90.82461233
121,2021-08-23,17:00:59,31.41,1.59,0.37830046,29.16258084,-90.8246085
122,2021-08-23,17:01:00,31.77,1.59,0.39111492,29.16257996,-90.82460495
123,2021-08-23,17:01:01,32.19,1.59,0.3844844,29.16257844,-90.82460094
124,2021-08-23,17:01:02,32.54,1.6,0.442314,29.16257791,-90.8245974
125,2021-08-23,17:01:03,33.08,1.6,0.42182317,29.16257665,-90.82459208
126,2021-08-23,17:01:04,33.38,1.6,0.3392601,29.16257586,-90.82458905
127,2021-08-23,17:01:05,33.76,1.62,0.3777521,29.16257478,-90.82458544
128,2021-08-23,17:01:06,34.14,1.62,0.32434073,29.16257391,-90.82458161
129,2021-08-23,17:01:07,34.4,1.63,0.29868248,29.1625733,-90.82457899
130,2021-08-23,17:01:08,34.74,1.63,0.34225652,29.16257242,-90.82457571
131,2021-08-23,17:01:09,35.09,1.63,0.3774619,29.16257126,-90.82457235
132,2021-08-23,17:01:10,35.49,1.59,0.38476628,29.16256952,-90.82456869
133,2021-08-23,17:01:11,35.88,1.63,0.3942467,29.16256925,-90.82456478
134,2021-08-23,17:01:12,36.3,1.65,0.3871352,29.1625675,-90.82456092
135,2021-08-23,17:01:13,36.65,1.63,0.37859958,29.16256647,-90.82455748
136,2021-08-23,17:01:14,37.06,1.64,0.42079467,29.16256588,-90.82455336
137,2021-08-23,17:01:15,37.5,1.63,0.41147694,29.16256449,-90.82454913
138,2021-08-23,17:01:16,37.88,1.64,0.39054614,29.16256363,-90.8245453
139,2021-08-23,17:01:17,38.28,1.64,0.43473232,29.1625623,-90.8245415
140,2021-08-23,17:01:18,38.75,1.65,0.40796512,29.16256086,-90.82453694
141,2021-08-23,17:01:19,39.1,1.65,0.3486174,29.16255962,-90.82453369
142,2021-08-23,17:01:20,39.45,1.66,0.3604923,29.16255827,-90.82453041
143,2021-08-23,17:01:21,39.82,1.66,0.35680717,29.16255714,-90.82452684
144,2021-08-23,17:01:22,40.16,1.67,0.37808195,29.16255597,-90.82452356
145,2021-08-23,17:01:23,40.58,1.67,0.38584018,29.16255453,-90.82451966
146,2021-08-23,17:01:24,40.94,1.68,0.34950924,29.16255327,-90.82451625
147,2021-08-23,17:01:25,41.27,1.69,0.3559982,29.16255206,-90.82451305
148,2021-08-23,17:01:26,41.65,1.69,0.34065455,29.16255059,-90.8245096
149,2021-08-23,17:01:27,41.96,1.7,0.31036916,29.16254971,-90.82450658
150,2021-08-23,17:01:28,42.27,1.71,0.33604816,29.16254846,-90.8245037
151,2021-08-23,17:01:29,42.63,1.71,0.30320355,29.16254711,-90.82450034
152,2021-08-23,17:01:30,42.88,1.72,0.3170888,29.16254635,-90.82449795
153,2021-08-23,17:01:31,43.27,1.72,0.40061712,29.1625444,-90.8244946
154,2021-08-23,17:01:32,43.68,1.73,0.340288,29.16254278,-90.82449079
155,2021-08-23,17:01:33,43.95,1.74,0.31142882,29.16254123,-90.82448861
156,2021-08-23,17:01:34,44.31,1.75,0.34914204,29.16253992,-90.82448528
157,2021-08-23,17:01:35,44.65,1.76,0.34116334,29.16253914,-90.82448184
158,2021-08-23,17:01:36,44.99,1.76,0.32120475,29.16253784,-90.82447868
159,2021-08-23,17:01:37,45.3,1.77,0.3112014,29.16253678,-90.82447581
160,2021-08-23,17:01:38,45.62,1.78,0.30545464,29.16253565,-90.82447279
161,2021-08-23,17:01:39,45.91,1.78,0.31619063,29.16253422,-90.82447025
162,2021-08-23,17:01:40,46.25,1.79,0.31491166,29.1625328,-90.82446716
