ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.16,0.18,easting,0.025
1,0.18,0.2,easting,0.035
1,0.2,0.22,easting,0.048
1,0.22,0.24,easting,0.052
1,0.24,0.26,easting,0.043
1,0.26,0.28,easting,0.042
1,0.28,0.3,easting,0.04
1,0.3,0.32,easting,0.041
1,0.32,0.34,easting,0.037
1,0.34,0.36,easting,0.032
1,0.36,0.38,easting,0.018
1,0.38,0.4,easting,0.012
1,0.4,0.42,easting,0.016
1,0.42,0.44,easting,0.008
1,0.44,0.46,easting,0.007
1,0.46,0.48,easting,0
1,0.48,0.5,easting,-0.021
1,0.5,0.52,easting,-0.02
1,0.52,0.54,easting,-0.015
1,0.54,0.56,easting,0.021
1,0.56,0.58,easting,0.006
1,0.58,0.6,easting,-0.006
1,0.6,0.62,easting,-0.028
1,0.62,0.64,easting,-0.025
1,0.64,0.66,easting,-0.026
1,0.66,0.68,easting,-0.008
1,0.68,0.7,easting,-0.004
1,0.7,0.72,easting,-0.008
1,0.72,0.74,easting,-0.015
1,0.74,0.76,easting,0.017
2,0.16,0.18,easting,0.256
2,0.18,0.2,easting,0.26
2,0.2,0.22,easting,0.265
2,0.22,0.24,easting,0.27
2,0.24,0.26,easting,0.275
2,0.26,0.28,easting,0.276
2,0.28,0.3,easting,0.282
2,0.3,0.32,easting,0.274
2,0.32,0.34,easting,0.269
2,0.34,0.36,easting,0.274
2,0.36,0.38,easting,0.273
2,0.38,0.4,easting,0.277
2,0.4,0.42,easting,0.285
2,0.42,0.44,easting,0.278
2,0.44,0.46,easting,0.274
2,0.46,0.48,easting,0.265
2,0.48,0.5,easting,0.264
2,0.5,0.52,easting,0.255
2,0.52,0.54,easting,0.271
2,0.54,0.56,easting,0.268
2,0.56,0.58,easting,0.234
2,0.58,0.6,easting,0.206
2,0.6,0.62,easting,0.352
2,0.62,0.64,easting,0.303
2,0.64,0.66,easting,0.296
2,0.66,0.68,easting,0.324
2,0.68,0.7,easting,0.32
2,0.7,0.72,easting,0.3
2,0.72,0.74,easting,0.275
2,0.74,0.76,easting,0.254
2,0.76,0.78,easting,0.263
3,0.16,0.18,easting,0.109
3,0.18,0.2,easting,0.123
3,0.2,0.22,easting,0.131
3,0.22,0.24,easting,0.14
3,0.24,0.26,easting,0.138
3,0.26,0.28,easting,0.144
3,0.28,0.3,easting,0.142
3,0.3,0.32,easting,0.143
3,0.32,0.34,easting,0.137
3,0.34,0.36,easting,0.134
3,0.36,0.38,easting,0.132
3,0.38,0.4,easting,0.129
3,0.4,0.42,easting,0.125
3,0.42,0.44,easting,0.128
3,0.44,0.46,easting,0.14
3,0.46,0.48,easting,0.137
3,0.48,0.5,easting,0.136
3,0.5,0.52,easting,0.133
3,0.52,0.54,easting,0.128
3,0.54,0.56,easting,0.131
3,0.56,0.58,easting,0.125
3,0.58,0.6,easting,0.133
3,0.6,0.62,easting,0.132
3,0.62,0.64,easting,0.121
3,0.64,0.66,easting,0.123
3,0.66,0.68,easting,0.124
3,0.68,0.7,easting,0.142
3,0.7,0.72,easting,0.158
3,0.72,0.74,easting,0.139
3,0.74,0.76,easting,0.127
4,0.16,0.18,easting,0.169
4,0.18,0.2,easting,0.178
4,0.2,0.22,easting,0.179
4,0.22,0.24,easting,0.181
4,0.24,0.26,easting,0.181
4,0.26,0.28,easting,0.177
4,0.28,0.3,easting,0.181
4,0.3,0.32,easting,0.189
4,0.32,0.34,easting,0.189
4,0.34,0.36,easting,0.184
4,0.36,0.38,easting,0.177
4,0.38,0.4,easting,0.18
4,0.4,0.42,easting,0.185
4,0.42,0.44,easting,0.189
4,0.44,0.46,easting,0.183
4,0.46,0.48,easting,0.176
4,0.48,0.5,easting,0.166
