ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.16,0.18,easting,0.025
1,0.18,0.2,easting,0.025
1,0.2,0.22,easting,0.024
1,0.22,0.24,easting,0.017
1,0.24,0.26,easting,-0.005
1,0.26,0.28,easting,0.016
1,0.28,0.3,easting,0.02
1,0.3,0.32,easting,0.018
1,0.32,0.34,easting,0.003
1,0.34,0.36,easting,0.016
1,0.36,0.38,easting,0.018
1,0.38,0.4,easting,0.023
1,0.4,0.42,easting,0.015
1,0.42,0.44,easting,0.027
1,0.44,0.46,easting,0.009
1,0.46,0.48,easting,0.021
1,0.48,0.5,easting,0.031
1,0.5,0.52,easting,0.022
2,0.16,0.18,easting,-0.011
2,0.18,0.2,easting,-0.01
2,0.2,0.22,easting,-0.021
2,0.22,0.24,easting,-0.033
2,0.24,0.26,easting,-0.025
2,0.26,0.28,easting,-0.039
2,0.28,0.3,easting,-0.04
2,0.3,0.32,easting,-0.034
2,0.32,0.34,easting,-0.033
2,0.34,0.36,easting,-0.036
2,0.36,0.38,easting,-0.036
2,0.38,0.4,easting,-0.035
2,0.4,0.42,easting,-0.036
3,0.16,0.18,easting,-0.036
3,0.18,0.2,easting,-0.028
3,0.2,0.22,easting,-0.024
3,0.22,0.24,easting,-0.036
3,0.24,0.26,easting,-0.06
3,0.26,0.28,easting,-0.057
3,0.28,0.3,easting,-0.065
3,0.3,0.32,easting,-0.067
3,0.32,0.34,easting,-0.073
3,0.34,0.36,easting,-0.073
3,0.36,0.38,easting,-0.074
3,0.38,0.4,easting,-0.064
3,0.4,0.42,easting,-0.064
3,0.42,0.44,easting,-0.065
3,0.44,0.46,easting,-0.059
3,0.46,0.48,easting,-0.065
3,0.48,0.5,easting,-0.052
4,0.16,0.18,easting,0.003
4,0.18,0.2,easting,0.007
4,0.2,0.22,easting,-0.015
4,0.22,0.24,easting,-0.026
4,0.24,0.26,easting,-0.014
4,0.26,0.28,easting,-0.033
4,0.28,0.3,easting,-0.026
4,0.3,0.32,easting,-0.025
4,0.32,0.34,easting,-0.027
4,0.34,0.36,easting,-0.024
4,0.36,0.38,easting,-0.016
4,0.38,0.4,easting,-0.008
4,0.4,0.42,easting,-0.014
4,0.42,0.44,easting,-0.02
4,0.44,0.46,easting,-0.024
4,0.46,0.48,easting,-0.03
5,0.16,0.18,easting,-0.013
5,0.18,0.2,easting,-0.032
5,0.2,0.22,easting,-0.032
5,0.22,0.24,easting,-0.052
5,0.24,0.26,easting,-0.058
5,0.26,0.28,easting,-0.066
5,0.28,0.3,easting,-0.065
5,0.3,0.32,easting,-0.058
5,0.32,0.34,easting,-0.064
5,0.34,0.36,easting,-0.055
5,0.36,0.38,easting,-0.052
5,0.38,0.4,easting,-0.061
5,0.4,0.42,easting,-0.039
5,0.42,0.44,easting,-0.04
5,0.44,0.46,easting,-0.038
5,0.46,0.48,easting,-0.037
5,0.48,0.5,easting,-0.037
5,0.5,0.52,easting,-0.04
5,0.52,0.54,easting,-0.038
5,0.54,0.56,easting,-0.037
5,0.56,0.58,easting,-0.033
5,0.58,0.6,easting,-0.033
6,0.16,0.18,easting,-0.059
6,0.18,0.2,easting,-0.07
6,0.2,0.22,easting,-0.08
6,0.22,0.24,easting,-0.088
6,0.24,0.26,easting,-0.108
6,0.26,0.28,easting,-0.099
6,0.28,0.3,easting,-0.099
6,0.3,0.32,easting,-0.097
6,0.32,0.34,easting,-0.104
6,0.34,0.36,easting,-0.1
7,0.16,0.18,easting,0.092
7,0.18,0.2,easting,0.082
7,0.2,0.22,easting,0.077
7,0.22,0.24,easting,0.073
7,0.24,0.26,easting,0.065
7,0.26,0.28,easting,0.067
7,0.28,0.3,easting,0.08
7,0.3,0.32,easting,0.083
7,0.32,0.34,easting,0.083
7,0.34,0.36,easting,0.082
7,0.36,0.38,easting,0.082
7,0.38,0.4,easting,0.081
7,0.4,0.42,easting,0.091
7,0.42,0.44,easting,0.086
7,0.44,0.46,easting,0.09
7,0.46,0.48,easting,0.09
8,0.16,0.18,easting,0.049
8,0.18,0.2,easting,0.043
8,0.2,0.22,easting,0.019
8,0.22,0.24,easting,0.027
8,0.24,0.26,easting,0.037
8,0.26,0.28,easting,0.027
8,0.28,0.3,easting,0.013
8,0.3,0.32,easting,0.017
8,0.32,0.34,easting,0.029
8,0.34,0.36,easting,0.024
8,0.36,0.38,easting,0.023
