ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
888,2021-08-24,17:00:55.740,0,1.15,0,29.33180824,-90.88803669
889,2021-08-24,17:00:56.320,0.02,1.16,0.02,29.3318083,-90.88803674
890,2021-08-24,17:00:56.870,0.03,1.17,0.01,29.3318084,-90.88803684
891,2021-08-24,17:00:57.450,0.04,1.17,0.01,29.33180864,-90.88803692
892,2021-08-24,17:00:58.130,0.06,1.17,0.02,29.33180873,-90.88803697
893,2021-08-24,17:00:58.860,0.08,1.18,0.02,29.33180888,-90.88803701
894,2021-08-24,17:00:59.420,0.09,1.18,0.01,29.33180903,-90.88803705
895,2021-08-24,17:01:00.010,0.11,1.18,0.02,29.33180918,-90.88803708
896,2021-08-24,17:01:00.550,0.13,1.18,0.02,29.3318093,-90.88803711
897,2021-08-24,17:01:01.150,0.15,1.19,0.02,29.33180947,-90.88803714
898,2021-08-24,17:01:01.710,0.16,1.18,0.01,29.33180963,-90.88803718
899,2021-08-24,17:01:02.300,0.18,1.19,0.02,29.33180971,-90.88803724
900,2021-08-24,17:01:02.850,0.22,1.22,0.04,29.33180974,-90.88803761
901,2021-08-24,17:01:03.440,0.27,1.23,0.05,29.33180982,-90.88803826
902,2021-08-24,17:01:04.020,0.31,1.24,0.04,29.3318099,-90.88803894
903,2021-08-24,17:01:04.620,0.37,1.28,0.06,29.33180986,-90.88803954
904,2021-08-24,17:01:05.180,0.41,1.31,0.04,29.33180983,-90.88804009
905,2021-08-24,17:01:05.760,0.46,1.35,0.05,29.33180992,-90.88804065
906,2021-08-24,17:01:06.480,0.52,1.39,0.06,29.3318099,-90.88804131
907,2021-08-24,17:01:07.230,0.57,1.4,0.05,29.33180994,-90.8880419
908,2021-08-24,17:01:07.940,0.61,1.43,0.04,29.33181002,-90.88804249
909,2021-08-24,17:01:08.710,0.66,1.46,0.05,29.33180998,-90.88804302
910,2021-08-24,17:01:09.510,0.7,1.48,0.04,29.33181004,-90.88804341
911,2021-08-24,17:01:10.160,0.74,1.5,0.04,29.33181001,-90.88804376
912,2021-08-24,17:01:10.780,0.77,1.54,0.03,29.33180997,-90.88804407
913,2021-08-24,17:01:11.410,0.8,1.56,0.03,29.33180999,-90.88804437
914,2021-08-24,17:01:12.010,0.83,1.57,0.03,29.33180997,-90.88804465
915,2021-08-24,17:01:12.640,0.86,1.59,0.03,29.33180993,-90.88804492
916,2021-08-24,17:01:13.250,0.88,1.6,0.02,29.33180994,-90.88804525
917,2021-08-24,17:01:13.890,0.91,1.63,0.03,29.3318099,-90.88804548
918,2021-08-24,17:01:14.510,0.93,1.64,0.02,29.33180987,-90.88804569
919,2021-08-24,17:01:15.170,0.95,1.65,0.02,29.33180983,-90.88804588
920,2021-08-24,17:01:15.790,1.01,1.67,0.06,29.33180974,-90.88804621
921,2021-08-24,17:01:16.450,1.08,1.71,0.07,29.33180954,-90.88804707
922,2021-08-24,17:01:17.070,1.18,1.73,0.1,29.33180935,-90.888048
923,2021-08-24,17:01:17.740,1.32,1.8,0.14,29.33180904,-90.88804917
924,2021-08-24,17:01:18.370,1.48,1.86,0.16,29.33180873,-90.88805062
925,2021-08-24,17:01:19.020,1.68,1.93,0.2,29.33180846,-90.88805231
926,2021-08-24,17:01:19.660,1.88,1.98,0.2,29.33180802,-90.8880549
927,2021-08-24,17:01:20.330,2.11,2.05,0.23,29.33180768,-90.88805706
928,2021-08-24,17:01:20.990,2.32,2.12,0.21,29.33180727,-90.88805982
929,2021-08-24,17:01:21.830,2.58,2.19,0.26,29.3318069,-90.88806169
930,2021-08-24,17:01:22.410,2.75,2.27,0.17,29.33180658,-90.88806352
931,2021-08-24,17:01:23.070,2.93,2.32,0.18,29.33180632,-90.8880653
932,2021-08-24,17:01:23.660,3.09,2.4,0.16,29.33180598,-90.88806702
933,2021-08-24,17:01:24.230,3.24,2.47,0.15,29.33180565,-90.88806868
934,2021-08-24,17:01:24.840,3.39,2.51,0.15,29.33180536,-90.8880703
935,2021-08-24,17:01:25.420,3.54,2.6,0.15,29.33180503,-90.88807185
936,2021-08-24,17:01:26.050,3.71,2.71,0.17,29.33180467,-90.8880734
937,2021-08-24,17:01:26.640,3.85,2.84,0.14,29.33180434,-90.8880749
938,2021-08-24,17:01:27.270,4,2.93,0.15,29.33180392,-90.88807685
939,2021-08-24,17:01:27.890,4.15,3.01,0.15,29.33180357,-90.88807828
940,2021-08-24,17:01:28.540,4.3,3.06,0.15,29.33180323,-90.88807967
941,2021-08-24,17:01:29.160,4.44,3.12,0.14,29.33180291,-90.88808104
942,2021-08-24,17:01:29.820,4.58,3.19,0.14,29.33180259,-90.88808237
943,2021-08-24,17:01:30.460,4.7,3.27,0.12,29.33180206,-90.88808412
944,2021-08-24,17:01:31.130,4.85,3.34,0.15,29.33180174,-90.8880854
945,2021-08-24,17:01:31.780,4.99,3.38,0.14,29.33180143,-90.88808671
946,2021-08-24,17:01:32.450,5.13,3.43,0.14,29.33180091,-90.88808838
