ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.16,0.18,easting,-0.045
1,0.18,0.2,easting,-0.039
1,0.2,0.22,easting,-0.041
1,0.22,0.24,easting,-0.036
1,0.24,0.26,easting,-0.041
1,0.26,0.28,easting,-0.037
1,0.28,0.3,easting,-0.033
1,0.3,0.32,easting,-0.038
1,0.32,0.34,easting,-0.037
1,0.34,0.36,easting,-0.035
1,0.36,0.38,easting,-0.033
1,0.38,0.4,easting,-0.036
1,0.4,0.42,easting,-0.038
1,0.42,0.44,easting,-0.039
1,0.44,0.46,easting,-0.037
1,0.46,0.48,easting,-0.036
1,0.48,0.5,easting,-0.039
1,0.5,0.52,easting,-0.04
1,0.52,0.54,easting,-0.036
1,0.54,0.56,easting,-0.043
2,0.16,0.18,easting,-0.034
2,0.18,0.2,easting,-0.041
2,0.2,0.22,easting,-0.046
2,0.22,0.24,easting,-0.035
2,0.24,0.26,easting,-0.031
2,0.26,0.28,easting,-0.018
2,0.28,0.3,easting,-0.014
2,0.3,0.32,easting,-0.013
2,0.32,0.34,easting,-0.017
2,0.34,0.36,easting,-0.014
2,0.36,0.38,easting,-0.011
2,0.38,0.4,easting,-0.015
2,0.4,0.42,easting,-0.016
2,0.42,0.44,easting,-0.018
2,0.44,0.46,easting,-0.018
2,0.46,0.48,easting,-0.021
2,0.48,0.5,easting,-0.027
2,0.5,0.52,easting,-0.031
2,0.52,0.54,easting,-0.026
2,0.54,0.56,easting,-0.025
3,0.16,0.18,easting,0.022
3,0.18,0.2,easting,0.015
3,0.2,0.22,easting,0.021
3,0.22,0.24,easting,0.026
3,0.24,0.26,easting,0.022
3,0.26,0.28,easting,0.021
3,0.28,0.3,easting,0.021
3,0.3,0.32,easting,0.019
3,0.32,0.34,easting,0.018
3,0.34,0.36,easting,0.017
3,0.36,0.38,easting,0.016
3,0.38,0.4,easting,0.015
3,0.4,0.42,easting,0.014
3,0.42,0.44,easting,0.012
3,0.44,0.46,easting,0.009
3,0.46,0.48,easting,0.007
3,0.48,0.5,easting,0.001
3,0.5,0.52,easting,0.002
3,0.52,0.54,easting,0.005
3,0.54,0.56,easting,0.011
4,0.16,0.18,easting,0.009
4,0.18,0.2,easting,0.023
4,0.2,0.22,easting,0.028
4,0.22,0.24,easting,0.039
4,0.24,0.26,easting,0.043
4,0.26,0.28,easting,0.035
4,0.28,0.3,easting,0.027
4,0.3,0.32,easting,0.027
4,0.32,0.34,easting,0.028
4,0.34,0.36,easting,0.027
4,0.36,0.38,easting,0.023
4,0.38,0.4,easting,0.022
4,0.4,0.42,easting,0.019
4,0.42,0.44,easting,0.016
4,0.44,0.46,easting,0.016
4,0.46,0.48,easting,0.014
4,0.48,0.5,easting,0.012
4,0.5,0.52,easting,0.009
4,0.52,0.54,easting,0.009
4,0.54,0.56,easting,0.014
4,0.56,0.58,easting,0.021
5,0.16,0.18,easting,-0.077
5,0.18,0.2,easting,-0.069
5,0.2,0.22,easting,-0.06
5,0.22,0.24,easting,-0.053
5,0.24,0.26,easting,-0.056
5,0.26,0.28,easting,-0.051
5,0.28,0.3,easting,-0.053
5,0.3,0.32,easting,-0.055
5,0.32,0.34,easting,-0.049
5,0.34,0.36,easting,-0.054
5,0.36,0.38,easting,-0.053
5,0.38,0.4,easting,-0.054
5,0.4,0.42,easting,-0.054
5,0.42,0.44,easting,-0.056
5,0.44,0.46,easting,-0.057
5,0.46,0.48,easting,-0.058
5,0.48,0.5,easting,-0.06
5,0.5,0.52,easting,-0.058
5,0.52,0.54,easting,-0.057
5,0.54,0.56,easting,-0.058
5,0.56,0.58,easting,-0.058
6,0.16,0.18,easting,-0.038
6,0.18,0.2,easting,-0.026
6,0.2,0.22,easting,-0.024
6,0.22,0.24,easting,-0.029
6,0.24,0.26,easting,-0.025
6,0.26,0.28,easting,-0.02
6,0.28,0.3,easting,-0.018
6,0.3,0.32,easting,-0.02
6,0.32,0.34,easting,-0.016
6,0.34,0.36,easting,-0.019
6,0.36,0.38,easting,-0.017
6,0.38,0.4,easting,-0.014
6,0.4,0.42,easting,-0.017
6,0.42,0.44,easting,-0.017
6,0.44,0.46,easting,-0.015
6,0.46,0.48,easting,-0.018
6,0.48,0.5,easting,-0.015
6,0.5,0.52,easting,-0.015
6,0.52,0.54,easting,-0.014
6,0.54,0.56,easting,-0.015
6,0.56,0.58,easting,-0.015
7,0.16,0.18,easting,-0.081
7,0.18,0.2,easting,-0.076
7,0.2,0.22,easting,-0.085
7,0.22,0.24,easting,-0.075
7,0.24,0.26,easting,-0.072
7,0.26,0.28,easting,-0.065
7,0.28,0.3,easting,-0.062
7,0.3,0.32,easting,-0.055
7,0.32,0.34,easting,-0.055
7,0.34,0.36,easting,-0.056
7,0.36,0.38,easting,-0.058
7,0.38,0.4,easting,-0.055
7,0.4,0.42,easting,-0.057
7,0.42,0.44,easting,-0.059
7,0.44,0.46,easting,-0.057
7,0.46,0.48,easting,-0.056
7,0.48,0.5,easting,-0.057
7,0.5,0.52,easting,-0.057
7,0.52,0.54,easting,-0.058
7,0.54,0.56,easting,-0.062
7,0.56,0.58,easting,-0.062
8,0.16,0.18,easting,-0.117
8,0.18,0.2,easting,-0.148
8,0.2,0.22,easting,-0.149
8,0.22,0.24,easting,-0.141
8,0.24,0.26,easting,-0.133
8,0.26,0.28,easting,-0.135
8,0.28,0.3,easting,-0.131
8,0.3,0.32,easting,-0.122
8,0.32,0.34,easting,-0.109
8,0.34,0.36,easting,-0.103
8,0.36,0.38,easting,-0.106
8,0.38,0.4,easting,-0.105
8,0.4,0.42,easting,-0.109
8,0.42,0.44,easting,-0.109
8,0.44,0.46,easting,-0.111
8,0.46,0.48,easting,-0.108
8,0.48,0.5,easting,-0.11
8,0.5,0.52,easting,-0.113
8,0.52,0.54,easting,-0.114
8,0.54,0.56,easting,-0.115
8,0.56,0.58,easting,-0.113
8,0.58,0.6,easting,-0.114
9,0.16,0.18,easting,-0.001
9,0.18,0.2,easting,-0.012
9,0.2,0.22,easting,-0.03
9,0.22,0.24,easting,-0.03
9,0.24,0.26,easting,-0.041
9,0.26,0.28,easting,-0.026
9,0.28,0.3,easting,-0.02
9,0.3,0.32,easting,-0.022
9,0.32,0.34,easting,-0.014
9,0.34,0.36,easting,-0.011
9,0.36,0.38,easting,-0.01
9,0.38,0.4,easting,-0.015
9,0.4,0.42,easting,-0.016
9,0.42,0.44,easting,-0.018
9,0.44,0.46,easting,-0.017
9,0.46,0.48,easting,-0.021
9,0.48,0.5,easting,-0.02
9,0.5,0.52,easting,-0.021
9,0.52,0.54,easting,-0.02
9,0.54,0.56,easting,-0.02
9,0.56,0.58,easting,-0.021
9,0.58,0.6,easting,-0.02
10,0.16,0.18,easting,0.007
10,0.18,0.2,easting,0.012
10,0.2,0.22,easting,0.01
10,0.22,0.24,easting,0.015
10,0.24,0.26,easting,0.011
10,0.26,0.28,easting,0.012
10,0.28,0.3,easting,0.008
10,0.3,0.32,easting,0.011
10,0.32,0.34,easting,0.012
10,0.34,0.36,easting,0.02
10,0.36,0.38,easting,0.02
10,0.38,0.4,easting,0.02
10,0.4,0.42,easting,0.017
10,0.42,0.44,easting,0.017
10,0.44,0.46,easting,0.015
10,0.46,0.48,easting,0.014
10,0.48,0.5,easting,0.016
10,0.5,0.52,easting,0.019
10,0.52,0.54,easting,0.02
10,0.54,0.56,easting,0.018
10,0.56,0.58,easting,0.014
10,0.58,0.6,easting,0.01
10,0.6,0.62,easting,0.007
