ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.16,0.18,easting,-0.011
1,0.18,0.2,easting,-0.005
1,0.2,0.22,easting,-0.017
1,0.22,0.24,easting,-0.034
1,0.24,0.26,easting,-0.037
1,0.26,0.28,easting,-0.023
1,0.28,0.3,easting,-0.031
1,0.3,0.32,easting,-0.025
1,0.32,0.34,easting,-0.014
2,0.16,0.18,easting,-0.017
2,0.18,0.2,easting,-0.027
2,0.2,0.22,easting,-0.037
2,0.22,0.24,easting,-0.031
2,0.24,0.26,easting,-0.039
2,0.26,0.28,easting,-0.043
2,0.28,0.3,easting,-0.042
2,0.3,0.32,easting,-0.037
3,0.16,0.18,easting,0.072
3,0.18,0.2,easting,0.073
3,0.2,0.22,easting,0.072
3,0.22,0.24,easting,0.053
3,0.24,0.26,easting,0.056
3,0.26,0.28,easting,0.059
3,0.28,0.3,easting,0.071
3,0.3,0.32,easting,0.064
4,0.16,0.18,easting,0.006
4,0.18,0.2,easting,0.005
4,0.2,0.22,easting,-0.006
4,0.22,0.24,easting,-0.002
4,0.24,0.26,easting,0
4,0.26,0.28,easting,-0.019
4,0.28,0.3,easting,0.001
4,0.3,0.32,easting,0.004
4,0.32,0.34,easting,0.008
5,0.16,0.18,easting,-0.048
5,0.18,0.2,easting,-0.047
5,0.2,0.22,easting,-0.04
5,0.22,0.24,easting,-0.041
5,0.24,0.26,easting,-0.04
5,0.26,0.28,easting,-0.042
5,0.28,0.3,easting,-0.044
5,0.3,0.32,easting,-0.044
5,0.32,0.34,easting,-0.042
6,0.16,0.18,easting,0.028
6,0.18,0.2,easting,0.032
6,0.2,0.22,easting,0.041
6,0.22,0.24,easting,0.035
6,0.24,0.26,easting,0.04
6,0.26,0.28,easting,0.036
6,0.28,0.3,easting,0.034
6,0.3,0.32,easting,0.033
6,0.32,0.34,easting,0.023
7,0.16,0.18,easting,0.006
7,0.18,0.2,easting,-0.012
7,0.2,0.22,easting,0
7,0.22,0.24,easting,0.013
7,0.24,0.26,easting,0.004
7,0.26,0.28,easting,0.014
7,0.28,0.3,easting,0.01
7,0.3,0.32,easting,0.003
7,0.32,0.34,easting,0.001
8,0.16,0.18,easting,-0.055
8,0.18,0.2,easting,-0.054
8,0.2,0.22,easting,-0.055
8,0.22,0.24,easting,-0.054
8,0.24,0.26,easting,-0.055
8,0.26,0.28,easting,-0.056
8,0.28,0.3,easting,-0.051
8,0.3,0.32,easting,-0.047
8,0.32,0.34,easting,-0.05
9,0.16,0.18,easting,-0.04
9,0.18,0.2,easting,-0.037
9,0.2,0.22,easting,-0.052
9,0.22,0.24,easting,-0.044
9,0.24,0.26,easting,-0.039
9,0.26,0.28,easting,-0.032
9,0.28,0.3,easting,-0.043
9,0.3,0.32,easting,-0.029
9,0.32,0.34,easting,-0.026
9,0.34,0.36,easting,-0.034
10,0.16,0.18,easting,-0.055
10,0.18,0.2,easting,-0.049
10,0.2,0.22,easting,-0.042
10,0.22,0.24,easting,-0.035
10,0.24,0.26,easting,-0.026
10,0.26,0.28,easting,-0.044
10,0.28,0.3,easting,-0.042
10,0.3,0.32,easting,-0.043
10,0.32,0.34,easting,-0.041
11,0.16,0.18,easting,-0.031
11,0.18,0.2,easting,-0.036
11,0.2,0.22,easting,-0.044
11,0.22,0.24,easting,-0.038
11,0.24,0.26,easting,-0.032
11,0.26,0.28,easting,-0.041
11,0.28,0.3,easting,-0.042
11,0.3,0.32,easting,-0.041
11,0.32,0.34,easting,-0.039
11,0.34,0.36,easting,-0.041
12,0.16,0.18,easting,-0.009
12,0.18,0.2,easting,-0.012
12,0.2,0.22,easting,-0.025
12,0.22,0.24,easting,-0.017
12,0.24,0.26,easting,-0.016
12,0.26,0.28,easting,-0.019
12,0.28,0.3,easting,-0.021
12,0.3,0.32,easting,-0.016
13,0.16,0.18,easting,0.034
13,0.18,0.2,easting,0.024
13,0.2,0.22,easting,0.015
13,0.22,0.24,easting,0.003
13,0.24,0.26,easting,-0.002
13,0.26,0.28,easting,0
13,0.28,0.3,easting,-0.004
13,0.3,0.32,easting,0.005
13,0.32,0.34,easting,0.011
14,0.16,0.18,easting,-0.007
14,0.18,0.2,easting,-0.004
14,0.2,0.22,easting,-0.013
14,0.22,0.24,easting,-0.019
14,0.24,0.26,easting,-0.023
14,0.26,0.28,easting,-0.026
14,0.28,0.3,easting,-0.024
15,0.16,0.18,easting,-0.082
15,0.18,0.2,easting,-0.038
15,0.2,0.22,easting,-0.059
15,0.22,0.24,easting,-0.043
15,0.24,0.26,easting,-0.067
15,0.26,0.28,easting,-0.071
15,0.28,0.3,easting,-0.071
15,0.3,0.32,easting,-0.069
15,0.32,0.34,easting,-0.07
16,0.16,0.18,easting,0.037
16,0.18,0.2,easting,0.007
16,0.2,0.22,easting,0.006
16,0.22,0.24,easting,-0.023
16,0.24,0.26,easting,-0.014
16,0.26,0.28,easting,-0.009
17,0.16,0.18,easting,0.017
17,0.18,0.2,easting,0.044
17,0.2,0.22,easting,0.038
17,0.22,0.24,easting,0.001
17,0.24,0.26,easting,0.008
17,0.26,0.28,easting,0.004
17,0.28,0.3,easting,-0.009
17,0.3,0.32,easting,-0.004
18,0.16,0.18,easting,-0.025
18,0.18,0.2,easting,-0.043
18,0.2,0.22,easting,-0.05
18,0.22,0.24,easting,-0.057
18,0.24,0.26,easting,-0.046
18,0.26,0.28,easting,-0.05
18,0.28,0.3,easting,-0.051
18,0.3,0.32,easting,-0.053
18,0.32,0.34,easting,-0.059
18,0.34,0.36,easting,-0.055
19,0.16,0.18,easting,0.005
19,0.18,0.2,easting,0.006
19,0.2,0.22,easting,0.036
19,0.22,0.24,easting,0.017
19,0.24,0.26,easting,0.021
20,0.16,0.18,easting,-0.072
20,0.18,0.2,easting,-0.076
20,0.2,0.22,easting,-0.051
20,0.22,0.24,easting,-0.048
20,0.24,0.26,easting,-0.058
20,0.26,0.28,easting,-0.088
20,0.28,0.3,easting,-0.072
20,0.3,0.32,easting,-0.073
20,0.32,0.34,easting,-0.078
21,0.16,0.18,easting,-0.014
21,0.18,0.2,easting,-0.02
21,0.2,0.22,easting,-0.028
21,0.22,0.24,easting,-0.03
21,0.24,0.26,easting,-0.021
21,0.26,0.28,easting,-0.029
21,0.28,0.3,easting,-0.028
21,0.3,0.32,easting,-0.029
21,0.32,0.34,easting,-0.027
21,0.34,0.36,easting,-0.028
21,0.36,0.38,easting,-0.028
22,0.16,0.18,easting,-0.066
22,0.18,0.2,easting,-0.065
22,0.2,0.22,easting,-0.068
22,0.22,0.24,easting,-0.069
22,0.24,0.26,easting,-0.074
22,0.26,0.28,easting,-0.07
22,0.28,0.3,easting,-0.066
22,0.3,0.32,easting,-0.065
22,0.32,0.34,easting,-0.068
22,0.34,0.36,easting,-0.073
22,0.36,0.38,easting,-0.076
23,0.16,0.18,easting,0.021
23,0.18,0.2,easting,0.003
23,0.2,0.22,easting,0.001
23,0.22,0.24,easting,-0.001
23,0.24,0.26,easting,-0.008
23,0.26,0.28,easting,-0.007
23,0.28,0.3,easting,-0.014
23,0.3,0.32,easting,-0.007
23,0.32,0.34,easting,-0.014
23,0.34,0.36,easting,-0.019
24,0.16,0.18,easting,-0.063
24,0.18,0.2,easting,-0.071
24,0.2,0.22,easting,-0.071
24,0.22,0.24,easting,-0.074
24,0.24,0.26,easting,-0.074
24,0.26,0.28,easting,-0.078
24,0.28,0.3,easting,-0.083
24,0.3,0.32,easting,-0.082
24,0.32,0.34,easting,-0.078
24,0.34,0.36,easting,-0.078
24,0.36,0.38,easting,-0.08
25,0.16,0.18,easting,0.045
25,0.18,0.2,easting,0.032
25,0.2,0.22,easting,0.036
25,0.22,0.24,easting,0.034
25,0.24,0.26,easting,0.036
25,0.26,0.28,easting,0.03
25,0.28,0.3,easting,0.028
25,0.3,0.32,easting,0.029
25,0.32,0.34,easting,0.034
25,0.34,0.36,easting,0.037
25,0.36,0.38,easting,0.035
26,0.16,0.18,easting,0.006
26,0.18,0.2,easting,0
26,0.2,0.22,easting,-0.013
26,0.22,0.24,easting,-0.012
26,0.24,0.26,easting,-0.019
26,0.26,0.28,easting,-0.023
26,0.28,0.3,easting,-0.017
26,0.3,0.32,easting,-0.008
26,0.32,0.34,easting,-0.009
26,0.34,0.36,easting,-0.002
26,0.36,0.38,easting,-0.006
26,0.38,0.4,easting,0.003
27,0.16,0.18,easting,0.011
27,0.18,0.2,easting,-0.003
27,0.2,0.22,easting,-0.022
27,0.22,0.24,easting,-0.022
27,0.24,0.26,easting,-0.017
27,0.26,0.28,easting,-0.026
27,0.28,0.3,easting,-0.027
27,0.3,0.32,easting,-0.02
27,0.32,0.34,easting,-0.015
27,0.34,0.36,easting,-0.015
27,0.36,0.38,easting,-0.01
27,0.38,0.4,easting,-0.009
28,0.16,0.18,easting,0.006
28,0.18,0.2,easting,-0.005
28,0.2,0.22,easting,0.019
28,0.22,0.24,easting,0.004
28,0.24,0.26,easting,-0.005
28,0.26,0.28,easting,-0.014
28,0.28,0.3,easting,0.007
28,0.3,0.32,easting,-0.014
28,0.32,0.34,easting,-0.014
28,0.34,0.36,easting,-0.032
28,0.36,0.38,easting,-0.026
28,0.38,0.4,easting,-0.024
29,0.16,0.18,easting,-0.021
29,0.18,0.2,easting,-0.033
29,0.2,0.22,easting,-0.037
29,0.22,0.24,easting,-0.036
29,0.24,0.26,easting,-0.028
29,0.26,0.28,easting,-0.026
29,0.28,0.3,easting,-0.023
29,0.3,0.32,easting,-0.033
29,0.32,0.34,easting,-0.038
30,0.16,0.18,easting,0.025
30,0.18,0.2,easting,0.024
30,0.2,0.22,easting,0.03
30,0.22,0.24,easting,0.022
30,0.24,0.26,easting,0.02
30,0.26,0.28,easting,0.01
30,0.28,0.3,easting,0.001
30,0.3,0.32,easting,0
30,0.32,0.34,easting,-0.004
30,0.34,0.36,easting,-0.012
30,0.36,0.38,easting,-0.018
30,0.38,0.4,easting,-0.021
31,0.16,0.18,easting,0.006
31,0.18,0.2,easting,0.008
31,0.2,0.22,easting,0.003
31,0.22,0.24,easting,-0.003
31,0.24,0.26,easting,-0.005
31,0.26,0.28,easting,-0.006
31,0.28,0.3,easting,-0.011
31,0.3,0.32,easting,-0.012
31,0.32,0.34,easting,-0.022
31,0.34,0.36,easting,-0.023
31,0.36,0.38,easting,-0.014
31,0.38,0.4,easting,-0.01
31,0.4,0.42,easting,-0.01
32,0.16,0.18,easting,0.007
32,0.18,0.2,easting,0.003
32,0.2,0.22,easting,-0.009
32,0.22,0.24,easting,-0.017
32,0.24,0.26,easting,-0.019
32,0.26,0.28,easting,-0.011
32,0.28,0.3,easting,-0.007
32,0.3,0.32,easting,-0.015
32,0.32,0.34,easting,-0.02
32,0.34,0.36,easting,-0.021
32,0.36,0.38,easting,-0.022
32,0.38,0.4,easting,-0.015
32,0.4,0.42,easting,-0.006
33,0.16,0.18,easting,-0.05
33,0.18,0.2,easting,-0.056
33,0.2,0.22,easting,-0.063
33,0.22,0.24,easting,-0.059
33,0.24,0.26,easting,-0.061
33,0.26,0.28,easting,-0.063
33,0.28,0.3,easting,-0.055
33,0.3,0.32,easting,-0.062
33,0.32,0.34,easting,-0.061
33,0.34,0.36,easting,-0.061
33,0.36,0.38,easting,-0.058
33,0.38,0.4,easting,-0.064
34,0.16,0.18,easting,-0.02
34,0.18,0.2,easting,-0.024
34,0.2,0.22,easting,-0.028
34,0.22,0.24,easting,-0.028
34,0.24,0.26,easting,-0.034
34,0.26,0.28,easting,-0.035
34,0.28,0.3,easting,-0.039
34,0.3,0.32,easting,-0.038
34,0.32,0.34,easting,-0.037
34,0.34,0.36,easting,-0.044
34,0.36,0.38,easting,-0.044
35,0.16,0.18,easting,0.003
