ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.16,0.18,easting,-0.057
1,0.18,0.2,easting,-0.061
1,0.2,0.22,easting,-0.066
1,0.22,0.24,easting,-0.059
1,0.24,0.26,easting,-0.058
1,0.26,0.28,easting,-0.046
1,0.28,0.3,easting,-0.062
1,0.3,0.32,easting,-0.065
1,0.32,0.34,easting,-0.072
1,0.34,0.36,easting,-0.08
1,0.36,0.38,easting,-0.069
1,0.38,0.4,easting,-0.079
1,0.4,0.42,easting,-0.084
2,0.16,0.18,easting,0.039
2,0.18,0.2,easting,0.035
2,0.2,0.22,easting,0.026
2,0.22,0.24,easting,0.027
2,0.24,0.26,easting,0.019
2,0.26,0.28,easting,0.006
2,0.28,0.3,easting,0.029
2,0.3,0.32,easting,0.013
2,0.32,0.34,easting,0.005
2,0.34,0.36,easting,0.008
2,0.36,0.38,easting,0
2,0.38,0.4,easting,0.01
2,0.4,0.42,easting,0.003
2,0.42,0.44,easting,0.001
3,0.16,0.18,easting,0.056
3,0.18,0.2,easting,0.06
3,0.2,0.22,easting,0.055
3,0.22,0.24,easting,0.053
3,0.24,0.26,easting,0.05
3,0.26,0.28,easting,0.033
3,0.28,0.3,easting,0.031
3,0.3,0.32,easting,0.042
3,0.32,0.34,easting,0.029
3,0.34,0.36,easting,0.034
3,0.36,0.38,easting,0.036
3,0.38,0.4,easting,0.039
3,0.4,0.42,easting,0.036
4,0.16,0.18,easting,-0.041
4,0.18,0.2,easting,-0.051
4,0.2,0.22,easting,-0.051
4,0.22,0.24,easting,-0.064
4,0.24,0.26,easting,-0.049
4,0.26,0.28,easting,-0.053
4,0.28,0.3,easting,-0.049
4,0.3,0.32,easting,-0.069
4,0.32,0.34,easting,-0.066
4,0.34,0.36,easting,-0.056
4,0.36,0.38,easting,-0.063
4,0.38,0.4,easting,-0.06
4,0.4,0.42,easting,-0.053
4,0.42,0.44,easting,-0.055
5,0.16,0.18,easting,0.041
5,0.18,0.2,easting,0.036
5,0.2,0.22,easting,0.031
5,0.22,0.24,easting,0.037
5,0.24,0.26,easting,0.035
5,0.26,0.28,easting,0.028
5,0.28,0.3,easting,0.02
5,0.3,0.32,easting,0.01
5,0.32,0.34,easting,0.01
5,0.34,0.36,easting,0.009
5,0.36,0.38,easting,0.02
5,0.38,0.4,easting,0.013
5,0.4,0.42,easting,0.018
6,0.16,0.18,easting,0
6,0.18,0.2,easting,-0.01
6,0.2,0.22,easting,-0.005
6,0.22,0.24,easting,-0.002
6,0.24,0.26,easting,-0.011
6,0.26,0.28,easting,-0.008
6,0.28,0.3,easting,-0.013
6,0.3,0.32,easting,-0.019
6,0.32,0.34,easting,-0.025
6,0.34,0.36,easting,-0.017
6,0.36,0.38,easting,-0.019
6,0.38,0.4,easting,-0.009
6,0.4,0.42,easting,-0.02
7,0.16,0.18,easting,0.028
7,0.18,0.2,easting,0.038
7,0.2,0.22,easting,0.029
7,0.22,0.24,easting,0.027
7,0.24,0.26,easting,0.025
7,0.26,0.28,easting,0.031
7,0.28,0.3,easting,0.024
7,0.3,0.32,easting,0.027
7,0.32,0.34,easting,0.033
7,0.34,0.36,easting,0.023
7,0.36,0.38,easting,0.011
7,0.38,0.4,easting,0.031
7,0.4,0.42,easting,0.031
8,0.16,0.18,easting,0.061
8,0.18,0.2,easting,0.069
8,0.2,0.22,easting,0.06
8,0.22,0.24,easting,0.059
8,0.24,0.26,easting,0.05
8,0.26,0.28,easting,0.054
8,0.28,0.3,easting,0.051
8,0.3,0.32,easting,0.048
8,0.32,0.34,easting,0.029
8,0.34,0.36,easting,0.034
8,0.36,0.38,easting,0.04
8,0.38,0.4,easting,0.037
8,0.4,0.42,easting,0.039
9,0.16,0.18,easting,0.025
9,0.18,0.2,easting,0
9,0.2,0.22,easting,-0.005
9,0.22,0.24,easting,-0.006
9,0.24,0.26,easting,-0.003
9,0.26,0.28,easting,-0.005
9,0.28,0.3,easting,-0.003
9,0.3,0.32,easting,-0.01
9,0.32,0.34,easting,0.008
9,0.34,0.36,easting,-0.008
9,0.36,0.38,easting,-0.015
9,0.38,0.4,easting,-0.008
9,0.4,0.42,easting,-0.014
10,0.16,0.18,easting,-0.081
10,0.18,0.2,easting,-0.07
10,0.2,0.22,easting,-0.052
10,0.22,0.24,easting,-0.065
10,0.24,0.26,easting,-0.073
10,0.26,0.28,easting,-0.075
10,0.28,0.3,easting,-0.074
10,0.3,0.32,easting,-0.07
10,0.32,0.34,easting,-0.081
10,0.34,0.36,easting,-0.075
10,0.36,0.38,easting,-0.071
10,0.38,0.4,easting,-0.069
10,0.4,0.42,easting,-0.068
11,0.16,0.18,easting,0.017
11,0.18,0.2,easting,0.014
11,0.2,0.22,easting,0.021
11,0.22,0.24,easting,0.014
11,0.24,0.26,easting,0.012
11,0.26,0.28,easting,0.013
11,0.28,0.3,easting,0.007
11,0.3,0.32,easting,0.018
11,0.32,0.34,easting,0.001
11,0.34,0.36,easting,0.002
11,0.36,0.38,easting,0.004
11,0.38,0.4,easting,0.002
11,0.4,0.42,easting,-0.001
12,0.16,0.18,easting,0.019
12,0.18,0.2,easting,0.015
12,0.2,0.22,easting,0.02
12,0.22,0.24,easting,0.018
12,0.24,0.26,easting,0.014
12,0.26,0.28,easting,0.006
12,0.28,0.3,easting,0.007
12,0.3,0.32,easting,0.008
12,0.32,0.34,easting,0.007
12,0.34,0.36,easting,0.011
12,0.36,0.38,easting,0
12,0.38,0.4,easting,0.013
12,0.4,0.42,easting,0.011
13,0.16,0.18,easting,0.008
13,0.18,0.2,easting,-0.002
13,0.2,0.22,easting,-0.014
13,0.22,0.24,easting,-0.015
13,0.24,0.26,easting,-0.02
13,0.26,0.28,easting,-0.017
13,0.28,0.3,easting,-0.009
13,0.3,0.32,easting,-0.006
13,0.32,0.34,easting,-0.011
13,0.34,0.36,easting,-0.022
13,0.36,0.38,easting,-0.017
13,0.38,0.4,easting,-0.02
13,0.4,0.42,easting,-0.012
14,0.16,0.18,easting,0.031
14,0.18,0.2,easting,0.008
14,0.2,0.22,easting,0.008
14,0.22,0.24,easting,0.009
14,0.24,0.26,easting,0.002
14,0.26,0.28,easting,-0.002
14,0.28,0.3,easting,-0.001
14,0.3,0.32,easting,0.001
14,0.32,0.34,easting,-0.014
14,0.34,0.36,easting,-0.009
14,0.36,0.38,easting,-0.011
14,0.38,0.4,easting,-0.001
15,0.16,0.18,easting,-0.023
15,0.18,0.2,easting,-0.011
15,0.2,0.22,easting,-0.016
15,0.22,0.24,easting,-0.032
