ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.24,0.34,easting,-0.238
1,0.34,0.44,easting,-0.112
1,0.44,0.54,easting,-0.029
2,0.24,0.34,easting,-0.194
2,0.34,0.44,easting,-0.272
2,0.44,0.54,easting,-0.356
2,0.54,0.64,easting,-0.222
3,0.24,0.34,easting,0.363
3,0.34,0.44,easting,0.062
3,0.44,0.54,easting,-0.265
3,0.54,0.64,easting,0.096
3,0.64,0.74,easting,-0.095
3,0.75,0.85,easting,0.326
4,0.24,0.34,easting,0.073
4,0.34,0.44,easting,0.004
4,0.44,0.54,easting,-0.282
4,0.54,0.64,easting,-0.404
4,0.64,0.74,easting,-0.295
4,0.75,0.85,easting,-0.023
4,0.85,0.95,easting,-0.254
4,0.95,1.05,easting,0.01
5,0.24,0.34,easting,0.003
5,0.34,0.44,easting,-0.052
5,0.44,0.54,easting,0.114
5,0.54,0.64,easting,-0.193
5,0.64,0.74,easting,-0.211
5,0.75,0.85,easting,-0.119
5,0.85,0.95,easting,-0.397
5,0.95,1.05,easting,-0.148
5,1.05,1.15,easting,-0.611
5,1.15,1.25,easting,-0.189
5,1.25,1.35,easting,0.04
6,0.24,0.34,easting,0.178
6,0.34,0.44,easting,-0.299
6,0.44,0.54,easting,0.252
6,0.54,0.64,easting,0.157
6,0.64,0.74,easting,0.001
6,0.75,0.85,easting,-0.032
6,0.85,0.95,easting,-0.252
6,0.95,1.05,easting,-0.172
6,1.05,1.15,easting,-0.272
6,1.15,1.25,easting,-0.307
6,1.25,1.35,easting,-0.526
6,1.35,1.45,easting,-0.128
6,1.45,1.55,easting,-0.262
6,1.55,1.65,easting,-0.022
6,1.65,1.75,easting,-0.286
7,0.24,0.34,easting,-0.245
7,0.34,0.44,easting,-0.447
7,0.44,0.54,easting,-0.525
7,0.54,0.64,easting,-0.484
7,0.64,0.74,easting,-0.732
7,0.75,0.85,easting,-0.351
7,0.85,0.95,easting,-0.592
7,0.95,1.05,easting,-0.782
7,1.05,1.15,easting,-0.737
7,1.15,1.25,easting,-0.297
7,1.25,1.35,easting,-0.597
7,1.35,1.45,easting,-0.527
7,1.45,1.55,easting,-0.663
7,1.55,1.65,easting,-0.18
8,0.24,0.34,easting,-0.084
8,0.34,0.44,easting,-0.259
8,0.44,0.54,easting,-0.028
8,0.54,0.64,easting,-0.398
8,0.64,0.74,easting,-0.506
8,0.75,0.85,easting,-0.008
8,0.85,0.95,easting,-0.451
8,0.95,1.05,easting,0.048
