ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
1,2021-09-23,17:07:54,0.69,1.43,0.34241495,29.24426035,-91.13456665
2,2021-09-23,17:07:55,1.37,1.26,0.66063005,29.24425491,-91.13456999
3,2021-09-23,17:07:56,2.01,1.24,0.6315009,29.24424968,-91.13457271
4,2021-09-23,17:07:57,2.64,1.17,0.5605653,29.24424427,-91.13457464
5,2021-09-23,17:07:58,3.13,1.15,0.5119,29.24423987,-91.13457552
6,2021-09-23,17:07:59,3.66,1.15,0.4787543,29.24423513,-91.13457616
7,2021-09-23,17:08:00,4.1,1.21,0.46181703,29.24423124,-91.13457596
8,2021-09-23,17:08:01,4.59,1.23,0.49873734,29.24422685,-91.13457509
9,2021-09-23,17:08:02,5.1,1.3,0.5361104,29.24422271,-91.13457269
10,2021-09-23,17:08:03,5.67,1.43,0.57268196,29.24421875,-91.13456906
11,2021-09-23,17:08:04,0.62,1.53,0.6066636,29.24421269,-91.13456981
12,2021-09-23,17:08:05,1.18,1.7,0.5561392,29.24420784,-91.13456804
13,2021-09-23,17:08:06,1.73,1.76,0.5050745,29.24420338,-91.13456554
14,2021-09-23,17:08:07,2.2,1.87,0.48479563,29.24420035,-91.13456212
15,2021-09-23,17:08:08,2.74,1.95,0.5252744,29.24419556,-91.13456107
16,2021-09-23,17:08:09,3.31,2.03,0.5304872,29.24419214,-91.13455672
17,2021-09-23,17:08:10,3.81,2.1,0.5832826,29.2441897,-91.13455244
18,2021-09-23,17:08:11,4.49,2.22,0.6591839,29.2441849,-91.13454801
19,2021-09-23,17:08:12,5.13,2.25,0.71213055,29.24418122,-91.13454293
20,2021-09-23,17:08:13,5.94,2.35,0.6766967,29.24417474,-91.13453904
21,2021-09-23,17:08:14,6.56,2.37,0.56094974,29.24417236,-91.13453335
22,2021-09-23,17:08:15,7.08,2.45,0.67978793,29.24416938,-91.13452925
23,2021-09-23,17:08:16,7.92,2.58,0.72881925,29.24416543,-91.13452181
24,2021-09-23,17:08:17,8.53,2.67,0.54943466,29.24416253,-91.13451645
25,2021-09-23,17:08:18,9.03,2.78,0.559195,29.24416112,-91.13451163
26,2021-09-23,17:08:19,9.66,2.92,0.5986175,29.24415807,-91.13450613
27,2021-09-23,17:08:20,10.24,2.99,0.56685895,29.24415657,-91.13450046
28,2021-09-23,17:08:21,10.79,3.07,0.5523585,29.24415531,-91.1344949
29,2021-09-23,17:08:22,11.42,3.21,0.5638057,29.2441506,-91.13449136
30,2021-09-23,17:08:23,11.94,3.34,0.6516672,29.24414796,-91.13448688
31,2021-09-23,17:08:24,12.72,3.47,0.68447965,29.24414478,-91.13447971
32,2021-09-23,17:08:25,13.31,3.63,0.54827064,29.24414266,-91.13447416
33,2021-09-23,17:08:26,13.82,3.79,0.5135174,29.24414041,-91.13446959
34,2021-09-23,17:08:27,14.34,3.91,0.53602904,29.24413866,-91.13446463
35,2021-09-23,17:08:28,14.9,4.06,0.6424135,29.24413606,-91.13445974
36,2021-09-23,17:08:29,15.63,4.19,0.7320827,29.2441323,-91.13445358
37,2021-09-23,17:08:30,16.37,4.33,0.702338,29.24412991,-91.13444641
38,2021-09-23,17:08:31,17.06,4.47,0.62179327,29.24413,-91.13443937
39,2021-09-23,17:08:32,17.64,4.56,0.62992007,29.24412792,-91.13443382
40,2021-09-23,17:08:33,18.32,4.68,0.6890115,29.24412445,-91.13442806
41,2021-09-23,17:08:34,19.02,4.79,0.6400247,29.24412107,-91.13442199
42,2021-09-23,17:08:35,19.6,4.91,0.6768298,29.24411867,-91.13441666
43,2021-09-23,17:08:36,20.38,5.03,0.7471155,29.24411667,-91.134409
44,2021-09-23,17:08:37,21.1,5.22,0.6821978,29.24411561,-91.13440169
45,2021-09-23,17:08:38,21.78,5.37,0.6480002,29.24411232,-91.13439587
46,2021-09-23,17:08:39,22.4,5.58,0.66088223,29.24410965,-91.13439022
47,2021-09-23,17:08:40,23.1,5.63,0.71902907,29.2441072,-91.13438359
48,2021-09-23,17:08:41,23.84,5.72,0.7666275,29.24410341,-91.13437725
49,2021-09-23,17:08:42,24.64,6.39,0.6993271,29.24410033,-91.1343699
50,2021-09-23,17:08:43,25.25,6.51,0.61296546,29.24409877,-91.13436387
51,2021-09-23,17:08:44,25.87,6.67,0.64790964,29.24409597,-91.13435831
52,2021-09-23,17:08:45,26.54,6.81,0.6731129,29.24409345,-91.134352
53,2021-09-23,17:08:46,27.22,6.84,0.7013829,29.24409162,-91.13434538
54,2021-09-23,17:08:47,27.96,6.93,0.70954716,29.24408803,-91.13433896
55,2021-09-23,17:08:48,28.64,6.9,0.6466933,29.24408508,-91.13433283
56,2021-09-23,17:08:49,29.25,7.03,0.55564076,29.24408249,-91.13432725
57,2021-09-23,17:08:50,29.78,7.07,0.60026425,29.2440822,-91.13432188
58,2021-09-23,17:08:51,30.51,7.16,0.691994,29.24407818,-91.13431592
59,2021-09-23,17:08:52,31.17,7.26,0.72778964,29.24407555,-91.13430983
60,2021-09-23,17:08:53,31.96,7.28,0.77179635,29.2440729,-91.13430221
61,2021-09-23,17:08:54,32.73,7.33,0.64076954,29.24406842,-91.13429619
62,2021-09-23,17:08:55,33.32,7.42,0.5485137,29.24406829,-91.13429012
63,2021-09-23,17:08:56,33.84,7.51,0.48441136,29.24406695,-91.13428503
64,2021-09-23,17:08:57,34.29,7.52,0.49408525,29.24406588,-91.13428054
65,2021-09-23,17:08:58,34.83,7.55,0.63883495,29.2440655,-91.134275
66,2021-09-23,17:08:59,35.58,7.55,0.6805643,29.2440633,-91.13426773
67,2021-09-23,17:09:00,36.23,7.63,0.7108552,29.24406395,-91.13426111
