ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
1,2021-09-23,17:45:09,1.25,2.23,0.56440204,29.25111739,-91.11488557
2,2021-09-23,17:45:10,2.38,2.22,1.1476264,29.25112473,-91.11487752
3,2021-09-23,17:45:11,3.55,2.14,1.1106756,29.25113154,-91.11486833
4,2021-09-23,17:45:12,4.6,2.09,0.9908525,29.25113746,-91.11485987
5,2021-09-23,17:45:13,5.53,2.03,0.90382767,29.25114182,-91.11485165
6,2021-09-23,17:45:14,6.41,2.05,0.91254807,29.25114586,-91.11484393
7,2021-09-23,17:45:15,7.38,2.06,0.89663225,29.25114792,-91.11483421
8,2021-09-23,17:45:16,8.2,2.06,0.78628445,29.25114871,-91.11482577
9,2021-09-23,17:45:17,8.95,2.15,0.650968,29.25114922,-91.1148181
10,2021-09-23,17:45:18,9.5,2.21,0.543506,29.25114966,-91.11481242
11,2021-09-23,17:45:19,10.04,2.27,0.5305284,29.251149,-91.11480692
12,2021-09-23,17:45:20,10.57,2.35,0.50929713,29.25114764,-91.11480175
13,2021-09-23,17:45:21,11.07,2.41,0.5074248,29.2511457,-91.11479714
14,2021-09-23,17:45:22,11.59,2.46,0.4967664,29.2511425,-91.11479311
15,2021-09-23,17:45:23,12.06,2.52,0.44712472,29.25114011,-91.11478915
16,2021-09-23,17:45:24,12.5,2.61,0.430914,29.25113699,-91.11478639
17,2021-09-23,17:45:25,12.93,2.68,0.576171,29.25113363,-91.11478425
18,2021-09-23,17:45:26,0.5,2.77,0.50127923,29.25113327,-91.11477532
19,2021-09-23,17:45:27,0.8,2.82,0.37553906,29.25113068,-91.1147745
20,2021-09-23,17:45:28,1.26,2.9,0.46149477,29.25112722,-91.11477184
21,2021-09-23,17:45:29,1.75,2.99,0.5145396,29.25112284,-91.1147713
22,2021-09-23,17:45:30,2.29,3.1,0.5159752,29.25111794,-91.11477152
23,2021-09-23,17:45:31,2.8,3.2,0.54899305,29.25111361,-91.11476991
24,2021-09-23,17:45:32,3.45,3.4,0.64927566,29.25110805,-91.11477216
25,2021-09-23,17:45:33,4.13,3.4,0.67030483,29.25110198,-91.11477152
26,2021-09-23,17:45:34,4.8,3.44,0.64393365,29.25109596,-91.11477255
27,2021-09-23,17:45:35,5.41,3.49,0.60001177,29.25109055,-91.1147739
28,2021-09-23,17:45:36,6,3.52,0.63127315,29.25108531,-91.11477477
29,2021-09-23,17:45:37,6.68,3.57,0.6891488,29.25107918,-91.11477468
30,2021-09-23,17:45:38,7.41,3.6,0.5504719,29.25107312,-91.11477757
31,2021-09-23,17:45:39,7.79,3.62,0.63137203,29.2510697,-91.11477806
32,2021-09-23,17:45:40,8.68,3.62,0.74765253,29.25106221,-91.11478131
33,2021-09-23,17:45:41,9.29,3.63,0.6457399,29.25105693,-91.11478302
34,2021-09-23,17:45:42,9.97,3.66,0.71626186,29.25105088,-91.11478441
35,2021-09-23,17:45:43,10.72,3.64,0.68855417,29.25104445,-91.11478685
36,2021-09-23,17:45:44,11.37,3.63,0.6562075,29.25103864,-91.11478684
37,2021-09-23,17:45:45,12.04,3.64,0.67685497,29.25103261,-91.11478673
38,2021-09-23,17:45:46,12.72,3.67,0.70128524,29.25102643,-91.11478715
39,2021-09-23,17:45:47,13.46,3.69,0.7393273,29.25102037,-91.11479039
40,2021-09-23,17:45:48,14.25,3.72,0.66660047,29.25101328,-91.11478971
41,2021-09-23,17:45:49,14.81,3.72,0.61987996,29.25100836,-91.11479114
42,2021-09-23,17:45:50,15.49,3.75,0.7072446,29.25100228,-91.11479202
43,2021-09-23,17:45:51,16.23,3.73,0.7482065,29.25099574,-91.1147933
44,2021-09-23,17:45:52,17,3.73,0.78175217,29.25098883,-91.11479335
45,2021-09-23,17:45:53,17.79,3.74,0.71054196,29.25098164,-91.11479376
