ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.34,0.54,easting,-0.114
1,0.54,0.74,easting,-0.048
1,0.75,0.95,easting,-0.21
1,0.95,1.15,easting,-0.071
1,1.15,1.35,easting,-0.101
1,1.35,1.55,easting,-0.069
1,1.55,1.75,easting,-0.337
2,0.34,0.54,easting,-0.288
2,0.54,0.74,easting,-0.501
2,0.75,0.95,easting,-0.361
2,0.95,1.15,easting,-0.246
2,1.15,1.35,easting,-0.34
2,1.35,1.55,easting,-0.213
2,1.55,1.75,easting,-0.293
3,0.34,0.54,easting,-0.247
3,0.54,0.74,easting,-0.173
3,0.75,0.95,easting,-0.188
3,0.95,1.15,easting,-0.172
3,1.15,1.35,easting,-0.145
3,1.35,1.55,easting,-0.174
3,1.55,1.75,easting,-0.025
4,0.34,0.54,easting,-0.196
4,0.54,0.74,easting,-0.495
4,0.75,0.95,easting,-0.372
4,0.95,1.15,easting,-0.471
4,1.15,1.35,easting,-0.374
5,0.34,0.54,easting,-0.346
5,0.54,0.74,easting,-0.411
5,0.75,0.95,easting,-0.323
5,0.95,1.15,easting,-0.39
5,1.15,1.35,easting,-0.449
6,0.34,0.54,easting,-0.5
6,0.54,0.74,easting,-0.359
6,0.75,0.95,easting,-0.521
6,0.95,1.15,easting,-0.298
6,1.15,1.35,easting,-0.386
7,0.34,0.54,easting,-0.282
7,0.54,0.74,easting,-0.116
7,0.75,0.95,easting,-0.167
7,0.95,1.15,easting,-0.162
7,1.15,1.35,easting,-0.313
8,0.34,0.54,easting,-0.257
8,0.54,0.74,easting,-0.084
8,0.75,0.95,easting,-0.22
8,0.95,1.15,easting,-0.241
8,1.15,1.35,easting,-0.162
8,1.35,1.55,easting,-0.276
9,0.34,0.54,easting,-0.092
9,0.54,0.74,easting,-0.293
9,0.75,0.95,easting,-0.319
9,0.95,1.15,easting,-0.384
9,1.15,1.35,easting,-0.096
9,1.35,1.55,easting,-0.147
9,1.55,1.75,easting,-0.115
10,0.34,0.54,easting,-0.399
10,0.54,0.74,easting,-0.291
10,0.75,0.95,easting,-0.412
10,0.95,1.15,easting,-0.324
10,1.15,1.35,easting,-0.332
10,1.35,1.55,easting,-0.497
10,1.55,1.75,easting,-0.266
11,0.34,0.54,easting,-0.205
11,0.54,0.74,easting,-0.208
11,0.75,0.95,easting,-0.237
11,0.95,1.15,easting,-0.269
