ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.34,0.54,easting,0.022
1,0.54,0.74,easting,-0.075
1,0.75,0.95,easting,-0.229
1,0.95,1.15,easting,-0.085
1,1.15,1.35,easting,-0.27
1,1.35,1.55,easting,-0.113
1,1.55,1.75,easting,-0.103
1,1.75,1.95,easting,-0.281
1,1.96,2.16,easting,-0.066
1,2.16,2.36,easting,-0.181
1,2.36,2.56,easting,-0.191
2,0.34,0.54,easting,-0.148
2,0.54,0.74,easting,-0.322
2,0.75,0.95,easting,-0.34
2,0.95,1.15,easting,-0.269
2,1.15,1.35,easting,-0.239
2,1.35,1.55,easting,-0.237
2,1.55,1.75,easting,-0.194
2,1.75,1.95,easting,-0.208
2,1.96,2.16,easting,-0.161
2,2.16,2.36,easting,-0.065
2,2.36,2.56,easting,-0.315
3,0.34,0.54,easting,0.069
3,0.54,0.74,easting,-0.103
3,0.75,0.95,easting,-0.145
3,0.95,1.15,easting,-0.064
3,1.15,1.35,easting,-0.276
3,1.35,1.55,easting,-0.136
3,1.55,1.75,easting,-0.211
3,1.75,1.95,easting,-0.029
3,1.96,2.16,easting,-0.051
3,2.16,2.36,easting,0.049
3,2.36,2.56,easting,-0.024
4,0.34,0.54,easting,-0.157
4,0.54,0.74,easting,-0.206
4,0.75,0.95,easting,-0.053
4,0.95,1.15,easting,0.089
4,1.15,1.35,easting,-0.063
4,1.35,1.55,easting,-0.103
4,1.55,1.75,easting,-0.088
4,1.75,1.95,easting,-0.04
4,1.96,2.16,easting,-0.052
4,2.16,2.36,easting,-0.101
5,0.34,0.54,easting,-0.335
5,0.54,0.74,easting,-0.292
5,0.75,0.95,easting,-0.321
5,0.95,1.15,easting,-0.202
5,1.15,1.35,easting,-0.138
5,1.35,1.55,easting,-0.239
5,1.55,1.75,easting,-0.235
5,1.75,1.95,easting,-0.1
5,1.96,2.16,easting,-0.041
6,0.34,0.54,easting,-0.093
6,0.54,0.74,easting,-0.172
6,0.75,0.95,easting,-0.113
6,0.95,1.15,easting,-0.176
6,1.15,1.35,easting,-0.034
6,1.35,1.55,easting,-0.087
6,1.55,1.75,easting,-0.185
6,1.75,1.95,easting,-0.067
6,1.96,2.16,easting,0.005
7,0.34,0.54,easting,-0.141
7,0.54,0.74,easting,-0.216
7,0.75,0.95,easting,-0.256
7,0.95,1.15,easting,-0.186
7,1.15,1.35,easting,-0.293
7,1.35,1.55,easting,-0.111
7,1.55,1.75,easting,-0.078
7,1.75,1.95,easting,-0.055
8,0.34,0.54,easting,-0.136
8,0.54,0.74,easting,-0.008
8,0.75,0.95,easting,-0.184
8,0.95,1.15,easting,-0.054
8,1.15,1.35,easting,-0.041
8,1.35,1.55,easting,-0.192
8,1.55,1.75,easting,-0.081
8,1.75,1.95,easting,-0.26
9,0.34,0.54,easting,-0.025
9,0.54,0.74,easting,-0.141
9,0.75,0.95,easting,-0.308
9,0.95,1.15,easting,-0.152
9,1.15,1.35,easting,-0.243
9,1.35,1.55,easting,-0.123
9,1.55,1.75,easting,0.031
9,1.75,1.95,easting,0.074
9,1.96,2.16,easting,-0.122
10,0.34,0.54,easting,-0.061
10,0.54,0.74,easting,-0.133
10,0.75,0.95,easting,-0.07
10,0.95,1.15,easting,-0.131
10,1.15,1.35,easting,-0.169
10,1.35,1.55,easting,-0.053
10,1.55,1.75,easting,-0.164
10,1.75,1.95,easting,-0.027
10,1.96,2.16,easting,-0.061
11,0.34,0.54,easting,-0.241
11,0.54,0.74,easting,-0.14
11,0.75,0.95,easting,-0.2
11,0.95,1.15,easting,-0.261
11,1.15,1.35,easting,-0.149
11,1.35,1.55,easting,-0.1
11,1.55,1.75,easting,-0.137
11,1.75,1.95,easting,-0.124
11,1.96,2.16,easting,-0.184
11,2.16,2.36,easting,-0.131
12,0.34,0.54,easting,-0.101
12,0.54,0.74,easting,-0.158
12,0.75,0.95,easting,-0.313
12,0.95,1.15,easting,-0.241
12,1.15,1.35,easting,-0.176
12,1.35,1.55,easting,-0.021
12,1.55,1.75,easting,-0.183
12,1.75,1.95,easting,-0.173
12,1.96,2.16,easting,-0.045
12,2.16,2.36,easting,-0.026
12,2.36,2.56,easting,-0.137
13,0.34,0.54,easting,-0.021
13,0.54,0.74,easting,-0.146
13,0.75,0.95,easting,-0.081
13,0.95,1.15,easting,-0.118
13,1.15,1.35,easting,-0.034
13,1.35,1.55,easting,-0.247
13,1.55,1.75,easting,-0.171
13,1.75,1.95,easting,0.092
13,1.96,2.16,easting,-0.031
13,2.16,2.36,easting,-0.123
13,2.36,2.56,easting,-0.095
14,0.34,0.54,easting,-0.063
14,0.54,0.74,easting,-0.232
14,0.75,0.95,easting,-0.407
14,0.95,1.15,easting,-0.24
14,1.15,1.35,easting,-0.115
14,1.35,1.55,easting,-0.28
14,1.55,1.75,easting,-0.175
14,1.75,1.95,easting,-0.036
14,1.96,2.16,easting,-0.084
14,2.16,2.36,easting,-0.038
14,2.36,2.56,easting,-0.195
15,0.34,0.54,easting,-0.174
15,0.54,0.74,easting,-0.164
15,0.75,0.95,easting,-0.311
15,0.95,1.15,easting,-0.238
15,1.15,1.35,easting,-0.221
15,1.35,1.55,easting,-0.042
15,1.55,1.75,easting,-0.079
15,1.75,1.95,easting,-0.124
15,1.96,2.16,easting,-0.236
15,2.16,2.36,easting,-0.136
15,2.36,2.56,easting,-0.057
16,0.34,0.54,easting,-0.162
16,0.54,0.74,easting,-0.14
16,0.75,0.95,easting,-0.12
16,0.95,1.15,easting,-0.144
16,1.15,1.35,easting,0.017
16,1.35,1.55,easting,-0.182
16,1.55,1.75,easting,-0.33
16,1.75,1.95,easting,-0.073
16,1.96,2.16,easting,-0.095
16,2.16,2.36,easting,0.001
16,2.36,2.56,easting,-0.005
17,0.34,0.54,easting,-0.194
17,0.54,0.74,easting,-0.063
17,0.75,0.95,easting,-0.312
17,0.95,1.15,easting,-0.33
17,1.15,1.35,easting,-0.469
17,1.35,1.55,easting,-0.188
17,1.55,1.75,easting,-0.103
17,1.75,1.95,easting,-0.195
17,1.96,2.16,easting,-0.149
17,2.16,2.36,easting,0.002
17,2.36,2.56,easting,-0.138
18,0.34,0.54,easting,-0.258
18,0.54,0.74,easting,-0.236
18,0.75,0.95,easting,-0.296
