ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.25,0.31,easting,0.117
1,0.31,0.37,easting,0.124
1,0.37,0.43,easting,0.131
1,0.43,0.49,easting,0.09
2,0.16,0.18,easting,0.087
2,0.18,0.2,easting,0.131
2,0.2,0.22,easting,0.145
2,0.22,0.24,easting,0.149
2,0.24,0.26,easting,0.153
2,0.26,0.28,easting,0.155
2,0.28,0.3,easting,0.161
2,0.3,0.32,easting,0.164
2,0.32,0.34,easting,0.172
2,0.34,0.36,easting,0.164
2,0.36,0.38,easting,0.173
2,0.38,0.4,easting,0.167
2,0.4,0.42,easting,0.169
2,0.42,0.44,easting,0.16
2,0.44,0.46,easting,0.169
2,0.46,0.48,easting,0.165
2,0.48,0.5,easting,0.165
2,0.5,0.52,easting,0.159
3,0.16,0.18,easting,0.095
3,0.18,0.2,easting,0.131
3,0.2,0.22,easting,0.153
3,0.22,0.24,easting,0.179
3,0.24,0.26,easting,0.173
3,0.26,0.28,easting,0.162
3,0.28,0.3,easting,0.178
3,0.3,0.32,easting,0.196
3,0.32,0.34,easting,0.195
3,0.34,0.36,easting,0.193
3,0.36,0.38,easting,0.184
3,0.38,0.4,easting,0.191
3,0.4,0.42,easting,0.191
3,0.42,0.44,easting,0.193
3,0.44,0.46,easting,0.187
3,0.46,0.48,easting,0.188
3,0.48,0.5,easting,0.192
3,0.5,0.52,easting,0.192
4,0.16,0.18,easting,0.067
4,0.18,0.2,easting,0.06
4,0.2,0.22,easting,0.077
4,0.22,0.24,easting,0.098
4,0.24,0.26,easting,0.101
4,0.26,0.28,easting,0.11
4,0.28,0.3,easting,0.104
4,0.3,0.32,easting,0.116
4,0.32,0.34,easting,0.132
4,0.34,0.36,easting,0.119
4,0.36,0.38,easting,0.117
4,0.38,0.4,easting,0.12
4,0.4,0.42,easting,0.126
4,0.42,0.44,easting,0.121
4,0.44,0.46,easting,0.116
4,0.46,0.48,easting,0.125
4,0.48,0.5,easting,0.116
4,0.5,0.52,easting,0.12
5,0.16,0.18,easting,0.001
5,0.18,0.2,easting,0.054
5,0.2,0.22,easting,0.053
5,0.22,0.24,easting,0.08
5,0.24,0.26,easting,0.087
5,0.26,0.28,easting,0.097
5,0.28,0.3,easting,0.092
5,0.3,0.32,easting,0.092
5,0.32,0.34,easting,0.091
5,0.34,0.36,easting,0.103
5,0.36,0.38,easting,0.096
5,0.38,0.4,easting,0.106
5,0.4,0.42,easting,0.094
5,0.42,0.44,easting,0.096
5,0.44,0.46,easting,0.105
5,0.46,0.48,easting,0.099
5,0.48,0.5,easting,0.102
5,0.5,0.52,easting,0.094
6,0.16,0.18,easting,0.08
6,0.18,0.2,easting,0.091
6,0.2,0.22,easting,0.106
6,0.22,0.24,easting,0.107
6,0.24,0.26,easting,0.136
6,0.26,0.28,easting,0.157
6,0.28,0.3,easting,0.15
6,0.3,0.32,easting,0.149
6,0.32,0.34,easting,0.146
6,0.34,0.36,easting,0.154
6,0.36,0.38,easting,0.146
6,0.38,0.4,easting,0.146
6,0.4,0.42,easting,0.16
6,0.42,0.44,easting,0.152
6,0.44,0.46,easting,0.151
6,0.46,0.48,easting,0.146
6,0.48,0.5,easting,0.145
6,0.5,0.52,easting,0.143
6,0.52,0.54,easting,0.144
7,0.16,0.18,easting,-0.013
7,0.18,0.2,easting,-0.003
7,0.2,0.22,easting,0.039
7,0.22,0.24,easting,0.033
7,0.24,0.26,easting,0.038
7,0.26,0.28,easting,0.039
7,0.28,0.3,easting,0.045
7,0.3,0.32,easting,0.054
7,0.32,0.34,easting,0.047
7,0.34,0.36,easting,0.051
7,0.36,0.38,easting,0.054
7,0.38,0.4,easting,0.062
7,0.4,0.42,easting,0.061
7,0.42,0.44,easting,0.061
7,0.44,0.46,easting,0.052
7,0.46,0.48,easting,0.057
7,0.48,0.5,easting,0.054
7,0.5,0.52,easting,0.053
7,0.52,0.54,easting,0.065
8,0.16,0.18,easting,0.065
8,0.18,0.2,easting,-0.024
8,0.2,0.22,easting,0.013
8,0.22,0.24,easting,0.002
8,0.24,0.26,easting,0.003
8,0.26,0.28,easting,0.017
8,0.28,0.3,easting,0.024
8,0.3,0.32,easting,0.037
8,0.32,0.34,easting,0.032
8,0.34,0.36,easting,0.032
