ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.16,0.18,easting,0.038
1,0.18,0.2,easting,0.025
1,0.2,0.22,easting,0.015
1,0.22,0.24,easting,0.012
1,0.24,0.26,easting,0.013
1,0.26,0.28,easting,0.018
1,0.28,0.3,easting,0.011
1,0.3,0.32,easting,0.004
1,0.32,0.34,easting,0.003
1,0.34,0.36,easting,0.005
1,0.36,0.38,easting,0.007
1,0.38,0.4,easting,0.003
1,0.4,0.42,easting,0.006
1,0.42,0.44,easting,0.001
2,0.16,0.18,easting,0.138
2,0.18,0.2,easting,0.155
2,0.2,0.22,easting,0.141
2,0.22,0.24,easting,0.135
2,0.24,0.26,easting,0.137
2,0.26,0.28,easting,0.137
2,0.28,0.3,easting,0.139
2,0.3,0.32,easting,0.142
2,0.32,0.34,easting,0.141
2,0.34,0.36,easting,0.142
2,0.36,0.38,easting,0.141
2,0.38,0.4,easting,0.142
2,0.4,0.42,easting,0.149
2,0.42,0.44,easting,0.141
3,0.16,0.18,easting,-0.09
3,0.18,0.2,easting,-0.086
3,0.2,0.22,easting,-0.091
3,0.22,0.24,easting,-0.1
3,0.24,0.26,easting,-0.099
3,0.26,0.28,easting,-0.098
3,0.28,0.3,easting,-0.101
3,0.3,0.32,easting,-0.098
3,0.32,0.34,easting,-0.097
3,0.34,0.36,easting,-0.098
3,0.36,0.38,easting,-0.102
3,0.38,0.4,easting,-0.103
3,0.4,0.42,easting,-0.101
3,0.42,0.44,easting,-0.1
4,0.16,0.18,easting,0.134
4,0.18,0.2,easting,0.127
4,0.2,0.22,easting,0.125
4,0.22,0.24,easting,0.134
4,0.24,0.26,easting,0.13
4,0.26,0.28,easting,0.126
4,0.28,0.3,easting,0.132
4,0.3,0.32,easting,0.133
4,0.32,0.34,easting,0.13
4,0.34,0.36,easting,0.133
4,0.36,0.38,easting,0.137
4,0.38,0.4,easting,0.138
4,0.4,0.42,easting,0.136
4,0.42,0.44,easting,0.139
5,0.16,0.18,easting,0.016
5,0.18,0.2,easting,0.013
5,0.2,0.22,easting,0.006
5,0.22,0.24,easting,0.005
5,0.24,0.26,easting,0.006
5,0.26,0.28,easting,-0.001
5,0.28,0.3,easting,-0.003
5,0.3,0.32,easting,-0.002
5,0.32,0.34,easting,0.007
5,0.34,0.36,easting,0.011
5,0.36,0.38,easting,0.014
5,0.38,0.4,easting,0.016
5,0.4,0.42,easting,0.019
5,0.42,0.44,easting,0.02
6,0.16,0.18,easting,0.105
6,0.18,0.2,easting,0.116
6,0.2,0.22,easting,0.126
6,0.22,0.24,easting,0.116
6,0.24,0.26,easting,0.105
6,0.26,0.28,easting,0.096
6,0.28,0.3,easting,0.087
6,0.3,0.32,easting,0.091
6,0.32,0.34,easting,0.089
6,0.34,0.36,easting,0.087
6,0.36,0.38,easting,0.093
6,0.38,0.4,easting,0.094
6,0.4,0.42,easting,0.091
6,0.42,0.44,easting,0.092
7,0.16,0.18,easting,0.177
7,0.18,0.2,easting,0.19
7,0.2,0.22,easting,0.186
7,0.22,0.24,easting,0.198
7,0.24,0.26,easting,0.182
7,0.26,0.28,easting,0.177
7,0.28,0.3,easting,0.164
