ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
1,2021-09-23,20:03:28,1.36,0.71,0.7233116,29.29807473,-91.09980492
2,2021-09-23,20:03:29,2.81,0.69,1.4640071,29.2980772,-91.09981954
3,2021-09-23,20:03:30,4.29,0.66,1.3428545,29.29807987,-91.09983448
4,2021-09-23,20:03:31,5.51,0.63,1.244645,29.29808421,-91.099846
5,2021-09-23,20:03:32,6.78,0.62,1.2170073,29.29808938,-91.09985769
6,2021-09-23,20:03:33,7.95,0.64,1.1718291,29.29809506,-91.09986778
7,2021-09-23,20:03:34,9.13,0.64,1.1087831,29.29810185,-91.09987717
8,2021-09-23,20:03:35,10.16,0.64,1.0663899,29.29810837,-91.09988482
9,2021-09-23,20:03:36,1.02,0.64,1.0425694,29.29811366,-91.0998945
10,2021-09-23,20:03:37,2.06,0.64,0.9706002,29.29812172,-91.09989994
11,2021-09-23,20:03:38,2.96,0.63,0.83082014,29.29812926,-91.09990358
12,2021-09-23,20:03:39,3.72,0.63,0.80278623,29.29813537,-91.09990701
13,2021-09-23,20:03:40,4.58,0.66,0.86791855,29.29814276,-91.09990957
14,2021-09-23,20:03:41,5.46,0.67,0.78843623,29.2981505,-91.09991162
15,2021-09-23,20:03:42,6.16,0.67,0.7107559,29.29815687,-91.09991164
16,2021-09-23,20:03:43,6.88,0.68,0.67126817,29.29816332,-91.09991201
17,2021-09-23,20:03:44,7.51,0.71,0.6526001,29.29816888,-91.09991343
18,2021-09-23,20:03:45,8.2,0.76,0.61335063,29.29817509,-91.09991241
19,2021-09-23,20:03:46,8.74,0.74,0.51701355,29.29817989,-91.09991215
20,2021-09-23,20:03:47,9.24,0.76,0.5608093,29.29818434,-91.09991103
21,2021-09-23,20:03:48,9.86,0.8,0.5709721,29.29818962,-91.09990898
22,2021-09-23,20:03:49,10.38,0.82,0.5077544,29.29819415,-91.09990744
23,2021-09-23,20:03:50,10.88,0.82,0.48689446,29.29819812,-91.09990508
24,2021-09-23,20:03:51,11.36,0.87,0.5885784,29.298202,-91.09990294
25,2021-09-23,20:03:52,12.06,0.85,0.67429036,29.29820711,-91.09989863
26,2021-09-23,20:03:53,12.71,0.82,0.6323045,29.29821181,-91.09989473
27,2021-09-23,20:03:54,13.33,0.83,0.62829584,29.29821592,-91.09989036
28,2021-09-23,20:03:55,13.96,0.84,0.6101711,29.29821996,-91.09988574
29,2021-09-23,20:03:56,14.55,0.83,0.6636712,29.29822416,-91.09988203
30,2021-09-23,20:03:57,15.29,0.85,0.93166614,29.2982292,-91.09987705
31,2021-09-23,20:03:58,16.42,0.88,0.7239227,29.29823633,-91.0998688
32,2021-09-23,20:03:59,16.74,0.86,0.57706606,29.29823846,-91.09986654
33,2021-09-23,20:04:00,17.57,0.85,0.75878936,29.29824341,-91.09986009
34,2021-09-23,20:04:01,18.26,0.85,0.6139148,29.29824756,-91.09985487
35,2021-09-23,20:04:02,18.8,0.87,0.53873754,29.29825091,-91.09985079
36,2021-09-23,20:04:03,19.34,0.91,0.6110011,29.29825419,-91.09984676
37,2021-09-23,20:04:04,20.02,0.89,0.6863744,29.29825797,-91.09984113
38,2021-09-23,20:04:05,20.71,0.91,0.72185034,29.29826147,-91.09983533
39,2021-09-23,20:04:06,21.47,0.89,0.6974378,29.29826592,-91.09982936
40,2021-09-23,20:04:07,22.1,0.88,0.65918064,29.29826966,-91.09982443
41,2021-09-23,20:04:08,22.79,0.89,0.6865209,29.29827298,-91.09981844
42,2021-09-23,20:04:09,23.48,0.88,0.71746397,29.2982763,-91.0998125
43,2021-09-23,20:04:10,24.23,0.88,0.71801776,29.29827969,-91.09980581
44,2021-09-23,20:04:11,24.92,0.88,0.66195935,29.29828396,-91.09980058
45,2021-09-23,20:04:12,25.55,0.87,0.64236754,29.29828757,-91.09979557
46,2021-09-23,20:04:13,26.21,0.86,0.53421456,29.29829125,-91.0997903
47,2021-09-23,20:04:14,26.62,0.85,0.462611,29.29829361,-91.099787
48,2021-09-23,20:04:15,27.13,0.84,0.51912266,29.29829661,-91.099783
49,2021-09-23,20:04:16,27.66,0.83,0.53939503,29.29829981,-91.09977899
50,2021-09-23,20:04:17,28.23,0.82,0.6086203,29.29830179,-91.0997736
51,2021-09-23,20:04:18,28.88,0.82,0.5926683,29.29830527,-91.09976812
52,2021-09-23,20:04:19,29.41,0.82,0.5186997,29.29830763,-91.09976338
53,2021-09-23,20:04:20,29.92,0.76,0.48757437,29.29830999,-91.0997589
54,2021-09-23,20:04:21,30.39,0.81,0.49450967,29.29831147,-91.09975435
55,2021-09-23,20:04:22,30.91,0.82,0.54171836,29.29831335,-91.09974947
56,2021-09-23,20:04:23,31.48,0.83,0.64031553,29.29831542,-91.09974415
57,2021-09-23,20:04:24,32.19,0.82,0.67279726,29.29831768,-91.09973725
58,2021-09-23,20:04:25,32.82,0.82,0.62576866,29.2983197,-91.09973119
59,2021-09-23,20:04:26,33.45,0.8,0.5977023,29.29832246,-91.09972558
60,2021-09-23,20:04:27,34.02,0.8,0.5921912,29.29832549,-91.09972081
61,2021-09-23,20:04:28,34.63,0.8,0.5190111,29.29832852,-91.09971554
62,2021-09-23,20:04:29,35.06,0.79,0.46045122,29.29833071,-91.09971194
63,2021-09-23,20:04:30,35.55,0.78,0.54733944,29.29833282,-91.09970743
64,2021-09-23,20:04:31,36.15,0.78,0.5844912,29.29833531,-91.09970197
65,2021-09-23,20:04:32,36.72,0.78,0.570902,29.29833776,-91.0996968
66,2021-09-23,20:04:33,37.29,0.77,0.540164,29.29834009,-91.09969156
67,2021-09-23,20:04:34,37.8,0.78,0.53370935,29.29834193,-91.09968675
68,2021-09-23,20:04:35,38.36,0.77,0.5774705,29.29834421,-91.09968163
69,2021-09-23,20:04:36,38.96,0.77,0.63263774,29.29834668,-91.09967617
70,2021-09-23,20:04:37,39.63,0.77,0.6478652,29.29834915,-91.09966989
71,2021-09-23,20:04:38,40.26,0.78,0.587014,29.29835167,-91.09966411
72,2021-09-23,20:04:39,40.8,0.78,0.5245856,29.29835361,-91.09965893
73,2021-09-23,20:04:40,41.3,0.78,0.58984524,29.29835547,-91.09965422
74,2021-09-23,20:04:41,41.98,0.79,0.7216787,29.29835819,-91.09964797
75,2021-09-23,20:04:42,42.75,0.77,0.80091494,29.29836174,-91.0996412
76,2021-09-23,20:04:43,43.58,0.78,0.66123813,29.29836585,-91.09963399
77,2021-09-23,20:04:44,44.07,0.77,0.5928522,29.29836791,-91.09962955
78,2021-09-23,20:04:45,44.77,0.78,0.7274484,29.29837101,-91.0996233
79,2021-09-23,20:04:46,45.53,0.78,0.7706696,29.29837485,-91.09961684
80,2021-09-23,20:04:47,46.31,0.77,0.7655173,29.29837884,-91.09961019
81,2021-09-23,20:04:48,47.06,0.77,0.6920653,29.29838234,-91.0996036
82,2021-09-23,20:04:49,47.7,0.78,0.6539409,29.29838514,-91.09959789
83,2021-09-23,20:04:50,48.37,0.76,0.71401244,29.29838805,-91.09959182
84,2021-09-23,20:04:51,49.12,0.76,0.7103311,29.29839105,-91.09958483
85,2021-09-23,20:04:52,49.79,0.76,0.62909824,29.2983939,-91.09957881
86,2021-09-23,20:04:53,50.38,0.76,0.5855895,29.29839694,-91.09957376
87,2021-09-23,20:04:54,50.96,0.76,0.55443114,29.29839989,-91.09956888
88,2021-09-23,20:04:55,51.5,0.76,0.5755469,29.29840184,-91.09956381
89,2021-09-23,20:04:56,52.12,0.76,0.6904594,29.2984055,-91.09955891
90,2021-09-23,20:04:57,52.88,0.68,0.8347339,29.29840951,-91.09955261
91,2021-09-23,20:04:58,53.79,0.69,0.7450702,29.29841445,-91.09954509
92,2021-09-23,20:04:59,54.37,0.76,0.6119391,29.29841786,-91.09954059
93,2021-09-23,20:05:00,55.02,0.75,0.6208686,29.29842106,-91.099535
94,2021-09-23,20:05:01,55.61,0.74,0.56090844,29.29842385,-91.09952979
95,2021-09-23,20:05:02,56.14,0.75,0.60505205,29.29842598,-91.09952491
96,2021-09-23,20:05:03,56.82,0.74,0.69877845,29.29842887,-91.09951873
97,2021-09-23,20:05:04,57.54,0.74,0.68583846,29.29843237,-91.09951251
98,2021-09-23,20:05:05,58.19,0.74,0.6175684,29.29843526,-91.09950664
99,2021-09-23,20:05:06,58.78,0.74,0.5461737,29.29843777,-91.09950139
100,2021-09-23,20:05:07,59.29,0.74,0.53771114,29.29843966,-91.09949658
101,2021-09-23,20:05:08,59.85,0.73,0.5812425,29.29844166,-91.09949125
102,2021-09-23,20:05:09,60.45,0.73,0.65604925,29.2984443,-91.09948585
103,2021-09-23,20:05:10,61.16,0.74,0.7126097,29.29844788,-91.09947976
104,2021-09-23,20:05:11,61.88,0.74,0.7060365,29.298451,-91.09947333
105,2021-09-23,20:05:12,62.58,0.75,0.72571325,29.29845495,-91.09946767
106,2021-09-23,20:05:13,63.33,0.74,0.6339385,29.29845924,-91.09946172
107,2021-09-23,20:05:14,63.85,0.75,0.56076515,29.29846167,-91.09945711
108,2021-09-23,20:05:15,64.47,0.68,0.6274982,29.29846591,-91.09945304
109,2021-09-23,20:05:16,65.11,0.75,0.60447216,29.29846995,-91.0994483
110,2021-09-23,20:05:17,65.68,0.74,0.4951872,29.29847402,-91.09944472
111,2021-09-23,20:05:18,66.1,0.7,0.4857907,29.29847741,-91.09944269
112,2021-09-23,20:05:19,66.66,0.73,0.27702835,29.29848226,-91.09944131
