ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
1,0.16,0.18,easting,0.091
1,0.18,0.2,easting,0.063
1,0.2,0.22,easting,0.049
1,0.22,0.24,easting,0.044
1,0.24,0.26,easting,0.041
1,0.26,0.28,easting,0.038
1,0.28,0.3,easting,0.034
1,0.3,0.32,easting,0.034
1,0.32,0.34,easting,0.033
1,0.34,0.36,easting,0.033
1,0.36,0.38,easting,0.034
1,0.38,0.4,easting,0.033
1,0.4,0.42,easting,0.032
1,0.42,0.44,easting,0.032
1,0.44,0.46,easting,0.033
1,0.46,0.48,easting,0.036
1,0.48,0.5,easting,0.035
1,0.5,0.52,easting,0.037
1,0.52,0.54,easting,0.032
1,0.54,0.56,easting,0.034
1,0.56,0.58,easting,0.036
1,0.58,0.6,easting,0.035
1,0.6,0.62,easting,0.035
1,0.62,0.64,easting,0.036
2,0.16,0.18,easting,0.1
2,0.18,0.2,easting,0.092
2,0.2,0.22,easting,0.088
2,0.22,0.24,easting,0.079
2,0.24,0.26,easting,0.071
2,0.26,0.28,easting,0.068
2,0.28,0.3,easting,0.063
2,0.3,0.32,easting,0.061
2,0.32,0.34,easting,0.06
2,0.34,0.36,easting,0.061
2,0.36,0.38,easting,0.06
2,0.38,0.4,easting,0.061
2,0.4,0.42,easting,0.063
2,0.42,0.44,easting,0.066
2,0.44,0.46,easting,0.067
2,0.46,0.48,easting,0.066
2,0.48,0.5,easting,0.064
2,0.5,0.52,easting,0.062
2,0.52,0.54,easting,0.062
2,0.54,0.56,easting,0.061
2,0.56,0.58,easting,0.064
2,0.58,0.6,easting,0.064
2,0.6,0.62,easting,0.064
2,0.62,0.64,easting,0.067
3,0.16,0.18,easting,0.041
3,0.18,0.2,easting,0.042
3,0.2,0.22,easting,0.058
3,0.22,0.24,easting,0.065
3,0.24,0.26,easting,0.066
3,0.26,0.28,easting,0.058
3,0.28,0.3,easting,0.05
3,0.3,0.32,easting,0.046
3,0.32,0.34,easting,0.046
3,0.34,0.36,easting,0.047
3,0.36,0.38,easting,0.048
3,0.38,0.4,easting,0.049
3,0.4,0.42,easting,0.048
3,0.42,0.44,easting,0.051
3,0.44,0.46,easting,0.049
3,0.46,0.48,easting,0.05
3,0.48,0.5,easting,0.048
3,0.5,0.52,easting,0.052
3,0.52,0.54,easting,0.053
3,0.54,0.56,easting,0.056
3,0.56,0.58,easting,0.053
3,0.58,0.6,easting,0.049
3,0.6,0.62,easting,0.049
3,0.62,0.64,easting,0.051
4,0.16,0.18,easting,0.038
4,0.18,0.2,easting,0.044
4,0.2,0.22,easting,0.045
4,0.22,0.24,easting,0.043
4,0.24,0.26,easting,0.051
4,0.26,0.28,easting,0.046
4,0.28,0.3,easting,0.04
4,0.3,0.32,easting,0.038
4,0.32,0.34,easting,0.039
4,0.34,0.36,easting,0.04
4,0.36,0.38,easting,0.041
4,0.38,0.4,easting,0.041
4,0.4,0.42,easting,0.038
4,0.42,0.44,easting,0.039
4,0.44,0.46,easting,0.04
4,0.46,0.48,easting,0.042
4,0.48,0.5,easting,0.042
4,0.5,0.52,easting,0.042
4,0.52,0.54,easting,0.042
4,0.54,0.56,easting,0.044
4,0.56,0.58,easting,0.046
4,0.58,0.6,easting,0.044
4,0.6,0.62,easting,0.044
4,0.62,0.64,easting,0.044
5,0.16,0.18,easting,0.038
5,0.18,0.2,easting,0.032
5,0.2,0.22,easting,0.029
5,0.22,0.24,easting,0.024
5,0.24,0.26,easting,0.026
5,0.26,0.28,easting,0.033
5,0.28,0.3,easting,0.039
5,0.3,0.32,easting,0.043
5,0.32,0.34,easting,0.045
5,0.34,0.36,easting,0.047
5,0.36,0.38,easting,0.048
5,0.38,0.4,easting,0.05
5,0.4,0.42,easting,0.048
5,0.42,0.44,easting,0.047
5,0.44,0.46,easting,0.048
5,0.46,0.48,easting,0.05
5,0.48,0.5,easting,0.053
5,0.5,0.52,easting,0.052
5,0.52,0.54,easting,0.049
5,0.54,0.56,easting,0.049
5,0.56,0.58,easting,0.049
5,0.58,0.6,easting,0.051
5,0.6,0.62,easting,0.052
5,0.62,0.64,easting,0.053
6,0.16,0.18,easting,0.042
6,0.18,0.2,easting,0.041
