ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
16,2021-09-25,18:22:02.290,0,0.65,0,29.60248245,-91.43188139
17,2021-09-25,18:22:02.900,0.24,0.66,0.24,29.60248217,-91.43187901
18,2021-09-25,18:22:03.470,0.46,0.71,0.22,29.60248184,-91.43187651
19,2021-09-25,18:22:04.070,0.67,0.67,0.21,29.60248202,-91.43187344
20,2021-09-25,18:22:04.840,0.96,0.69,0.29,29.60248189,-91.43187108
21,2021-09-25,18:22:05.440,1.2,0.72,0.24,29.60248183,-91.43186947
22,2021-09-25,18:22:06.020,1.41,0.74,0.21,29.60248189,-91.43186635
23,2021-09-25,18:22:06.640,1.63,0.71,0.22,29.60248195,-91.4318641
24,2021-09-25,18:22:07.230,1.84,0.74,0.21,29.60248183,-91.4318618
25,2021-09-25,18:22:07.830,2.09,0.75,0.25,29.60248199,-91.43185948
26,2021-09-25,18:22:08.410,2.34,0.74,0.25,29.60248219,-91.43185694
27,2021-09-25,18:22:09.030,2.59,0.77,0.25,29.60248222,-91.43185425
28,2021-09-25,18:22:09.630,2.83,0.79,0.24,29.60248242,-91.43185259
29,2021-09-25,18:22:10.160,3.04,0.78,0.21,29.60248273,-91.43185015
30,2021-09-25,18:22:10.660,3.24,0.8,0.2,29.60248288,-91.43184763
31,2021-09-25,18:22:11.290,3.5,0.8,0.26,29.60248296,-91.43184594
32,2021-09-25,18:22:11.790,3.7,0.82,0.2,29.60248316,-91.43184343
33,2021-09-25,18:22:12.320,3.9,0.83,0.2,29.60248327,-91.43184179
34,2021-09-25,18:22:12.830,4.1,0.84,0.2,29.60248345,-91.43183933
35,2021-09-25,18:22:13.350,4.31,0.85,0.21,29.60248359,-91.43183691
36,2021-09-25,18:22:13.840,4.49,0.84,0.18,29.60248371,-91.43183533
37,2021-09-25,18:22:14.360,4.7,0.87,0.21,29.60248381,-91.43183292
38,2021-09-25,18:22:14.870,4.89,0.87,0.19,29.60248386,-91.43183133
39,2021-09-25,18:22:15.400,5.09,0.89,0.2,29.602484,-91.43182901
40,2021-09-25,18:22:15.890,5.3,0.91,0.21,29.60248407,-91.43182747
41,2021-09-25,18:22:16.410,5.54,0.91,0.24,29.60248434,-91.43182507
42,2021-09-25,18:22:16.910,5.75,0.92,0.21,29.60248457,-91.4318223
43,2021-09-25,18:22:17.440,5.98,0.91,0.23,29.60248462,-91.43182042
44,2021-09-25,18:22:17.940,6.19,0.92,0.21,29.60248504,-91.43181784
45,2021-09-25,18:22:18.490,6.42,0.93,0.23,29.60248526,-91.43181613
46,2021-09-25,18:22:18.980,6.64,0.95,0.22,29.60248542,-91.43181347
47,2021-09-25,18:22:19.520,6.88,0.97,0.24,29.60248554,-91.43181079
48,2021-09-25,18:22:20.030,7.09,0.98,0.21,29.60248576,-91.43180906
49,2021-09-25,18:22:20.590,7.34,1.01,0.25,29.60248596,-91.43180643
50,2021-09-25,18:22:21.090,7.56,1.02,0.22,29.60248618,-91.43180372
51,2021-09-25,18:22:21.640,7.84,1.03,0.28,29.60248638,-91.43180179
52,2021-09-25,18:22:22.150,8.1,1.05,0.26,29.60248682,-91.4317975
53,2021-09-25,18:22:22.820,8.44,1.06,0.34,29.60248706,-91.43179535
54,2021-09-25,18:22:23.340,8.7,1.09,0.26,29.6024875,-91.43179229
55,2021-09-25,18:22:23.900,8.98,1.09,0.28,29.60248775,-91.43178917
56,2021-09-25,18:22:24.430,9.25,1.1,0.27,29.60248793,-91.43178707
57,2021-09-25,18:22:24.980,9.53,1.11,0.28,29.60248827,-91.43178299
58,2021-09-25,18:22:25.620,9.84,1.13,0.31,29.60248844,-91.43178097
59,2021-09-25,18:22:26.190,10.11,1.14,0.27,29.60248862,-91.43177793
60,2021-09-25,18:22:26.730,10.36,1.16,0.25,29.60248882,-91.43177399
61,2021-09-25,18:22:27.510,10.71,1.17,0.35,29.60248898,-91.43177112
62,2021-09-25,18:22:28.100,10.98,1.21,0.27,29.60248904,-91.43176822
