ensemble,upper_depth,lower_depth,velocity_component,flow_velocity
143,0.37,0.39,easting,-0.082
143,0.39,0.41,easting,-0.074
143,0.41,0.43,easting,-0.083
143,0.43,0.45,easting,-0.075
143,0.45,0.47,easting,-0.063
143,0.47,0.49,easting,-0.094
143,0.49,0.51,easting,-0.101
143,0.51,0.53,easting,-0.163
143,0.53,0.55,easting,-0.224
143,0.55,0.57,easting,-0.222
143,0.57,0.59,easting,-0.137
143,0.37,0.39,northing,-0.013
143,0.39,0.41,northing,0.016
143,0.41,0.43,northing,0.022
143,0.43,0.45,northing,-0.032
143,0.45,0.47,northing,-0.066
143,0.47,0.49,northing,-0.048
143,0.49,0.51,northing,-0.043
143,0.51,0.53,northing,-0.052
143,0.53,0.55,northing,-0.008
143,0.55,0.57,northing,0.014
143,0.57,0.59,northing,-0.045
143,0.37,0.39,vertical,0.018
143,0.39,0.41,vertical,0.007
143,0.41,0.43,vertical,-0.01
143,0.43,0.45,vertical,0
143,0.45,0.47,vertical,0.01
143,0.47,0.49,vertical,-0.001
143,0.49,0.51,vertical,0.019
143,0.51,0.53,vertical,0.021
143,0.53,0.55,vertical,0.015
143,0.55,0.57,vertical,0.009
143,0.57,0.59,vertical,-0.003
144,0.37,0.39,easting,-0.02
144,0.39,0.41,easting,-0.079
144,0.41,0.43,easting,-0.089
144,0.43,0.45,easting,-0.064
144,0.45,0.47,easting,-0.096
144,0.47,0.49,easting,-0.149
144,0.49,0.51,easting,-0.154
144,0.51,0.53,easting,-0.139
144,0.53,0.55,easting,-0.134
144,0.55,0.57,easting,-0.139
144,0.37,0.39,northing,0.01
144,0.39,0.41,northing,0.009
144,0.41,0.43,northing,-0.033
144,0.43,0.45,northing,-0.074
144,0.45,0.47,northing,-0.137
144,0.47,0.49,northing,-0.088
144,0.49,0.51,northing,-0.118
144,0.51,0.53,northing,-0.136
144,0.53,0.55,northing,-0.106
144,0.55,0.57,northing,-0.058
144,0.37,0.39,vertical,-0.005
144,0.39,0.41,vertical,-0.001
144,0.41,0.43,vertical,0.018
144,0.43,0.45,vertical,0.024
144,0.45,0.47,vertical,0.022
144,0.47,0.49,vertical,0.03
