instrument,time,measured_temperature,measured_turbidity,cleaned_turbidity,turbidity_1min_avg,turbidity_1min_max,turbidity_1min_min,turbidity_1min_sd
Observator NEP-595,2021-08-18 16:22:27,30.15,23.23,23.23,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 16:32:27,30.27,22.95,22.95,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 16:42:26,30.15,26.07,26.07,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 16:52:27,30.18,25.87,25.87,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 17:02:27,30.57,25.87,25.87,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 17:12:27,30.57,28.2,28.2,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 17:22:27,30.6,27.06,27.06,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 17:32:27,30.66,28.46,28.46,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 17:42:27,30.84,35.96,35.96,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 17:52:27,30.81,37.66,37.66,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 18:02:27,30.9,30.61,30.61,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 18:12:27,31.11,31.71,31.71,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 18:22:27,31.02,29.27,29.27,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 18:32:27,31.02,31.67,31.67,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 18:42:27,31.05,31.95,31.95,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 18:52:27,31.2,33.55,33.55,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 19:02:27,31.26,34.21,34.21,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 19:12:27,31.29,37.15,37.15,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 19:22:28,31.38,41.8,41.8,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 19:32:28,31.47,46.92,46.92,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 19:42:28,31.59,41.58,41.58,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 19:52:28,31.53,42.85,42.85,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 20:02:28,31.71,44.33,44.33,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 20:12:28,31.5,51.04,51.04,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 20:22:28,31.65,53.15,53.15,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 20:32:28,31.68,46.72,46.72,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 20:42:27,31.56,41.12,41.12,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 20:52:28,31.77,39.23,39.23,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 21:02:27,31.89,40.6,40.6,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 21:12:28,31.68,37.55,37.55,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 21:22:27,31.92,41.73,41.73,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 21:32:28,31.74,39.15,39.15,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 21:42:28,31.65,47,47,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 21:52:27,31.95,54.87,54.87,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 22:02:27,31.59,40.71,40.71,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 22:12:28,31.71,40.74,40.74,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 22:22:28,31.56,41.8,41.8,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 22:32:28,31.38,40.98,40.98,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 22:42:28,31.29,36.09,36.09,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 22:52:28,31.05,60.65,60.65,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 23:02:28,30.78,49.53,49.53,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 23:12:28,30.75,65.3,65.3,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 23:22:28,30.75,76.89,76.89,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 23:32:28,30.75,62.99,62.99,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 23:42:28,30.66,92.44,92.44,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 23:52:28,30.66,98.98,98.98,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 00:02:28,30.33,87.4,87.4,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 00:12:28,29.73,86.44,86.44,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 00:22:27,29.37,80.15,80.15,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 00:32:28,29.34,80.9,80.9,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 00:42:27,29.04,59.01,59.01,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 00:52:28,29.19,73.55,73.55,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 01:02:27,28.95,63.43,63.43,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 01:12:27,28.95,60.31,60.31,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 01:22:28,28.71,62.51,62.51,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 01:32:27,28.74,64.12,64.12,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 01:42:27,28.83,66.39,66.39,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 01:52:27,28.77,65.26,65.26,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 02:02:27,28.44,53.65,53.65,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 02:12:28,28.74,51.23,51.23,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 02:22:27,28.41,58.06,58.06,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 02:32:27,28.77,51.58,51.58,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 02:42:28,28.98,52.81,52.81,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 02:52:28,29.22,59.04,59.04,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 03:02:28,29.43,53.52,53.52,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 03:12:28,29.49,53.14,53.14,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 03:22:28,29.58,51.5,51.5,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 03:32:27,29.73,50.54,50.54,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 03:42:27,29.58,52.32,52.32,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 03:52:27,29.7,37.78,37.78,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 04:02:27,29.7,39.29,39.29,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 04:12:27,29.67,37.73,37.73,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 04:22:28,29.67,39.56,39.56,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 04:32:28,29.82,32.34,32.34,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 04:42:28,29.85,24.25,24.25,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 04:52:28,29.82,25.12,25.12,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 05:02:28,29.64,25.39,25.39,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 05:12:29,29.76,21.05,21.05,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 05:22:28,29.76,19.42,19.42,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 05:32:29,29.7,22.98,22.98,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 05:42:29,29.73,18.88,18.88,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 05:52:29,29.91,21.5,21.5,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 06:02:29,29.64,21.15,21.15,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 06:12:29,29.64,21.31,21.31,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 06:22:29,29.79,20.07,20.07,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 06:32:29,29.7,20.01,20.01,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 06:42:28,29.67,20.61,20.61,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 06:52:29,29.67,20.37,20.37,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 07:02:29,29.67,21.9,21.9,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 07:12:29,29.55,25.34,25.34,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 07:22:29,29.52,25.54,25.54,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 07:32:29,29.55,39.19,39.19,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 07:42:29,29.64,23.79,23.79,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 07:52:29,29.52,22.67,22.67,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 08:02:29,29.4,31.53,31.53,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 08:12:28,29.52,31.4,31.4,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 08:22:29,29.4,30.34,30.34,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 08:32:28,29.25,24.67,24.67,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 08:42:29,29.46,27.39,27.39,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 08:52:29,29.31,26.06,26.06,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 09:02:29,29.1,26.06,26.06,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 09:12:28,29.31,22.85,22.85,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 09:22:29,29.52,22.35,22.35,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 09:32:29,29.34,31.6,31.6,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 09:42:29,29.43,21.27,21.27,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 09:52:29,29.37,21.43,21.43,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 10:02:30,29.61,22.3,22.3,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 10:12:30,29.16,30.2,30.2,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 10:22:30,29.1,56.65,56.65,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 10:32:29,29.34,38.75,38.75,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 10:42:30,29.16,31.8,31.8,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 10:52:30,29.34,25.26,25.26,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 11:02:29,29.55,22.03,22.03,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 11:12:30,29.52,19.92,19.92,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 11:22:30,29.31,20.25,20.25,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 11:32:30,29.4,23.27,23.27,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 11:42:29,29.34,21.4,21.4,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 11:52:30,29.34,21.87,21.87,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 12:02:30,29.43,20.77,20.77,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 12:12:30,29.25,21.64,21.64,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 12:22:29,29.28,20.38,20.38,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 12:32:30,29.37,20.6,20.6,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 12:42:30,29.28,21.18,21.18,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 12:52:29,29.25,20.63,20.63,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 13:02:30,29.4,22.45,22.45,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 13:12:30,29.37,21.45,21.45,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 13:22:30,29.49,20.02,20.02,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 13:32:30,29.49,21.65,21.65,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 13:42:30,29.67,21.2,21.2,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 13:52:30,29.64,22.09,22.09,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 14:02:30,29.64,23.26,23.26,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 14:12:30,29.76,21.27,21.27,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 14:22:30,30,20.27,20.27,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 14:32:30,29.85,19.94,19.94,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 14:42:31,30.09,20.65,20.65,not_collected,not_collected,not_collected,not_collected
