instrument,time,measured_temperature,measured_turbidity,cleaned_turbidity,turbidity_1min_avg,turbidity_1min_max,turbidity_1min_min,turbidity_1min_sd
Campbell Scientific OBS-3+,2021-08-17 15:16:00,40.05,11.09,-8888,10.01,11.09,9.24,0.576
Campbell Scientific OBS-3+,2021-08-17 15:17:00,40.36,11.23,-8888,11.45,12.19,11.04,0.395
Campbell Scientific OBS-3+,2021-08-17 15:18:00,40.62,10.66,10.66,10.92,12.47,10.02,0.774
Campbell Scientific OBS-3+,2021-08-17 15:19:00,41.18,9.33,-8888,10.09,10.68,9.33,0.489
Campbell Scientific OBS-3+,2021-08-17 15:20:00,41.3,17.43,-8888,27.14,39.57,10.5,12.23
Campbell Scientific OBS-3+,2021-08-17 15:21:00,41.64,9.68,-8888,17.47,49.35,9.68,14.29
Campbell Scientific OBS-3+,2021-08-17 15:22:00,42.09,10.14,10.14,10.51,10.86,10.14,0.248
Campbell Scientific OBS-3+,2021-08-17 15:23:00,42.26,10.85,10.85,10.44,10.85,10.01,0.286
Campbell Scientific OBS-3+,2021-08-17 15:24:00,42.67,9.24,-8888,9.98,11.2,9.24,0.622
Campbell Scientific OBS-3+,2021-08-17 15:25:00,43.05,10.22,10.22,10.83,11.56,9.93,0.593
Campbell Scientific OBS-3+,2021-08-17 15:26:00,43.3,11,-8888,9.44,11.25,7.981,1.307
Campbell Scientific OBS-3+,2021-08-17 15:27:00,43.4,10.58,10.58,11.07,11.77,10.58,0.441
Campbell Scientific OBS-3+,2021-08-17 15:28:00,43.79,11.87,-8888,10.8,11.87,9.95,0.685
Campbell Scientific OBS-3+,2021-08-17 15:29:00,44.06,9.24,-8888,9.55,10.49,7.864,0.901
Campbell Scientific OBS-3+,2021-08-17 15:30:00,44.1,10.66,10.66,9.91,10.66,8.9,0.543
Campbell Scientific OBS-3+,2021-08-17 15:31:00,44.31,10.68,10.68,10.12,10.92,8.47,0.802
Campbell Scientific OBS-3+,2021-08-17 15:32:00,44.66,10.29,10.29,10.08,10.68,9.25,0.486
Campbell Scientific OBS-3+,2021-08-17 15:33:00,44.68,9.39,-8888,10.1,10.95,9.33,0.665
Campbell Scientific OBS-3+,2021-08-17 15:34:00,45.02,9.47,-8888,9.56,10.85,8.93,0.66
Campbell Scientific OBS-3+,2021-08-17 15:35:00,45.01,10.63,10.63,10.06,10.63,9.76,0.325
Campbell Scientific OBS-3+,2021-08-17 15:36:00,45.36,8.01,-8888,8.99,10.02,8.01,0.649
Campbell Scientific OBS-3+,2021-08-17 15:37:00,45.29,9.49,-8888,8.75,9.49,8,0.462
Campbell Scientific OBS-3+,2021-08-17 15:38:00,45.62,9.68,-8888,9.92,10.53,9.33,0.486
Campbell Scientific OBS-3+,2021-08-17 15:39:00,45.67,9.01,-8888,8.29,9.01,7.315,0.508
Campbell Scientific OBS-3+,2021-08-17 15:40:00,45.63,8.16,-8888,9.52,10.14,8.16,0.663
Campbell Scientific OBS-3+,2021-08-17 15:41:00,45.75,8.76,-8888,9.03,10.3,8.09,0.81
Campbell Scientific OBS-3+,2021-08-17 15:42:00,45.94,11.14,-8888,9.53,11.14,8.33,0.937
Campbell Scientific OBS-3+,2021-08-17 15:43:00,46.09,10.35,10.35,9.52,10.35,8.42,0.742
Campbell Scientific OBS-3+,2021-08-17 15:44:00,46.24,11.17,-8888,10.95,11.49,10.66,0.288
Campbell Scientific OBS-3+,2021-08-17 15:45:00,46.37,10.59,10.59,9.65,10.59,8.76,0.778
Campbell Scientific OBS-3+,2021-08-17 15:46:00,46.47,10.81,10.81,10.29,11.2,9.2,0.635
