instrument,time,measured_temperature,measured_turbidity,cleaned_turbidity,turbidity_1min_avg,turbidity_1min_max,turbidity_1min_min,turbidity_1min_sd
Observator NEP-595,2021-08-19 13:30:11,28.92,12.1,12.1,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 13:40:11,28.38,5.76,5.76,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 13:50:11,28.59,45.46,45.46,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 14:00:11,28.71,18.51,18.51,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 14:10:11,28.86,13.26,13.26,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 14:20:11,28.56,4.29,4.29,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 14:30:11,28.83,2.34,2.34,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 14:40:11,28.95,2.75,2.75,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 14:50:11,28.98,2.73,2.73,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 15:00:11,29.04,3.71,3.71,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 15:10:11,29.43,4.6,4.6,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 15:20:11,29.52,2.7,2.7,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 15:30:11,29.19,1.86,1.86,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 15:40:11,29.25,2.22,2.22,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 15:50:11,29.25,1.84,1.84,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 16:00:11,29.61,1.91,1.91,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 16:10:11,29.97,2.71,2.71,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 16:20:11,30.09,2.74,2.74,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 16:30:11,30.09,3.49,3.49,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 16:40:11,29.94,3.05,3.05,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 16:50:11,30.24,2.37,2.37,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 17:00:11,30.72,2.36,2.36,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 17:10:11,30.99,2.21,2.21,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 17:20:11,31.53,3.27,3.27,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 17:30:11,32.4,2.44,2.44,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 17:40:11,32.88,3.4,3.4,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 17:50:11,33.21,3.34,3.34,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 18:00:12,34.23,3.3,3.3,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 18:10:12,34.44,3.89,3.89,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 18:20:12,34.77,2.51,2.51,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 18:30:11,35.34,1.83,1.83,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 18:40:11,35.7,2.03,2.03,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 18:50:12,36.39,0,-8888,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 19:00:12,36.57,0,-8888,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 19:10:12,36.99,0,-8888,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 19:20:12,36.39,0,-8888,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 19:30:12,37.38,0,-8888,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 19:40:12,36.6,0,-8888,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 19:50:12,36.48,0,-8888,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 20:00:12,37.05,0,-8888,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 20:10:12,36.27,0,-8888,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 20:20:12,36.66,0,-8888,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 20:30:12,36.96,0.57,0.57,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 20:40:12,37.98,0,-8888,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 20:50:12,38.97,0,-8888,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 21:00:12,37.11,0,-8888,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 21:10:12,37.53,0,-8888,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 21:20:12,36.3,0,-8888,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-19 21:30:12,33.78,0,-8888,not_collected,not_collected,not_collected,not_collected
