instrument,time,measured_pressure,measured_temperature
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:41:00,105.74199,31.3
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:42:00,105.73218,31.1
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:43:00,105.7518,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:44:00,105.61446,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:45:00,105.56541,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:46:00,105.71256,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:47:00,105.7518,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:48:00,105.59484,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:49:00,105.56541,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:50:00,105.61446,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:51:00,105.59484,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:52:00,105.62427,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:53:00,105.50655,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:54:00,105.62427,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:55:00,105.56541,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:56:00,105.54579,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:57:00,105.50655,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:58:00,105.59484,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 17:59:00,105.4575,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:00:00,105.51636,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:01:00,105.4575,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:02:00,105.51636,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:03:00,105.47712,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:04:00,105.3594,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:05:00,105.41826,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:06:00,105.38883,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:07:00,105.51636,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:08:00,105.4575,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:09:00,105.44769,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:10:00,105.61446,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:11:00,105.36921,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:12:00,105.36921,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:13:00,105.42807,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:14:00,105.38883,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:15:00,105.4575,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:16:00,105.33978,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:17:00,105.42807,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:18:00,105.51636,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:19:00,105.31035,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:20:00,105.38883,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:21:00,105.36921,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:22:00,105.29073,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:23:00,105.31035,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:24:00,105.29073,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:25:00,105.36921,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:26:00,105.27111,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:27:00,105.25149,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:28:00,105.29073,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:29:00,105.32997,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:30:00,105.30054,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:31:00,105.21225,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:32:00,105.25149,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:33:00,105.18282,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:34:00,105.19263,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:35:00,105.09453,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:36:00,105.15339,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:37:00,105.18282,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:38:00,105.13377,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:39:00,105.09453,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:40:00,105.21225,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:41:00,105.09453,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:42:00,105.10434,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:43:00,105.10434,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:44:00,105.08472,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:45:00,105.0651,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:46:00,105.15339,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:47:00,105.10434,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:48:00,105.03567,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:49:00,105.12396,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:50:00,105.04548,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:51:00,105.03567,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:52:00,105.03567,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:53:00,104.97681,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:54:00,105.03567,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:55:00,104.97681,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:56:00,104.92776,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:57:00,104.98662,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:58:00,104.84928,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 18:59:00,104.92776,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:00:00,104.91795,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:01:00,104.89833,31.1
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:02:00,104.92776,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:03:00,104.8689,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:04:00,104.84928,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:05:00,104.8689,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:06:00,104.7708,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:07:00,104.85909,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:08:00,104.7708,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:09:00,104.78061,31.1
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:10:00,104.69232,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:11:00,104.7708,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:12:00,104.7708,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:13:00,104.76099,31.1
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:14:00,104.68251,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:15:00,104.71194,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:16:00,104.76099,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:17:00,104.66289,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:18:00,104.65308,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:19:00,104.41764,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:20:00,104.62365,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:21:00,104.64327,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:22:00,104.59422,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:23:00,104.4765,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:24:00,104.53536,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:25:00,104.52555,31.1
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:26:00,104.44707,31.1
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:27:00,104.52555,31.1
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:28:00,104.54517,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:29:00,104.4765,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:30:00,104.38821,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:31:00,104.50593,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:32:00,104.43726,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:33:00,104.39802,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:34:00,104.33916,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:35:00,104.27049,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:36:00,104.29992,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:37:00,104.36859,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:38:00,104.33916,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:39:00,104.33916,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:40:00,104.29992,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:41:00,104.25087,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:42:00,104.32935,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:43:00,104.22144,31.1
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:44:00,104.1822,31.1
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:45:00,104.25087,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:46:00,104.21163,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:47:00,104.22144,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:48:00,104.20182,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:49:00,104.20182,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:50:00,104.04486,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:51:00,104.27049,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:52:00,104.13315,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:53:00,104.12334,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:54:00,104.11353,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:55:00,104.12334,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:56:00,104.11353,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:57:00,104.07429,31.1
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:58:00,104.00562,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 19:59:00,104.04486,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 20:00:00,103.91733,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 20:01:00,103.95657,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 20:02:00,104.09391,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 20:03:00,103.99581,31
Solinst Levelogger Junior Edge Model 3001,2021-08-18 20:04:00,103.95657,31
