instrument,time,measured_pressure,measured_temperature
Onset HOBO U20L,2021-08-19 13:31:00,104.296,30.558
Onset HOBO U20L,2021-08-19 13:32:00,104.283,30.457
Onset HOBO U20L,2021-08-19 13:33:00,104.27,30.356
Onset HOBO U20L,2021-08-19 13:34:00,104.28,30.356
Onset HOBO U20L,2021-08-19 13:35:00,104.3,30.356
Onset HOBO U20L,2021-08-19 13:36:00,104.276,30.255
Onset HOBO U20L,2021-08-19 13:37:00,104.276,30.255
Onset HOBO U20L,2021-08-19 13:38:00,104.286,30.255
Onset HOBO U20L,2021-08-19 13:39:00,104.266,30.255
Onset HOBO U20L,2021-08-19 13:40:00,104.266,30.255
Onset HOBO U20L,2021-08-19 13:41:00,104.253,30.154
Onset HOBO U20L,2021-08-19 13:42:00,104.233,30.154
Onset HOBO U20L,2021-08-19 13:43:00,104.243,30.154
Onset HOBO U20L,2021-08-19 13:44:00,104.253,30.154
Onset HOBO U20L,2021-08-19 13:45:00,104.253,30.154
Onset HOBO U20L,2021-08-19 13:46:00,104.263,30.154
Onset HOBO U20L,2021-08-19 13:47:00,104.233,30.154
Onset HOBO U20L,2021-08-19 13:48:00,104.233,30.154
Onset HOBO U20L,2021-08-19 13:49:00,104.223,30.154
Onset HOBO U20L,2021-08-19 13:50:00,104.233,30.154
Onset HOBO U20L,2021-08-19 13:51:00,104.233,30.154
Onset HOBO U20L,2021-08-19 13:52:00,104.233,30.154
Onset HOBO U20L,2021-08-19 13:53:00,104.233,30.154
Onset HOBO U20L,2021-08-19 13:54:00,104.223,30.154
Onset HOBO U20L,2021-08-19 13:55:00,104.233,30.154
Onset HOBO U20L,2021-08-19 13:56:00,104.233,30.154
Onset HOBO U20L,2021-08-19 13:57:00,104.233,30.154
Onset HOBO U20L,2021-08-19 13:58:00,104.223,30.154
Onset HOBO U20L,2021-08-19 13:59:00,104.213,30.154
Onset HOBO U20L,2021-08-19 14:00:00,104.213,30.154
Onset HOBO U20L,2021-08-19 14:01:00,104.203,30.154
Onset HOBO U20L,2021-08-19 14:02:00,104.213,30.154
Onset HOBO U20L,2021-08-19 14:03:00,104.213,30.154
Onset HOBO U20L,2021-08-19 14:04:00,104.203,30.154
Onset HOBO U20L,2021-08-19 14:05:00,104.223,30.154
Onset HOBO U20L,2021-08-19 14:06:00,104.213,30.154
Onset HOBO U20L,2021-08-19 14:07:00,104.233,30.154
Onset HOBO U20L,2021-08-19 14:08:00,104.233,30.154
Onset HOBO U20L,2021-08-19 14:09:00,104.233,30.154
Onset HOBO U20L,2021-08-19 14:10:00,104.243,30.154
Onset HOBO U20L,2021-08-19 14:11:00,104.243,30.154
Onset HOBO U20L,2021-08-19 14:12:00,104.243,30.154
Onset HOBO U20L,2021-08-19 14:13:00,104.243,30.154
Onset HOBO U20L,2021-08-19 14:14:00,104.233,30.154
Onset HOBO U20L,2021-08-19 14:15:00,104.243,30.154
Onset HOBO U20L,2021-08-19 14:16:00,104.233,30.154
Onset HOBO U20L,2021-08-19 14:17:00,104.243,30.154
Onset HOBO U20L,2021-08-19 14:18:00,104.253,30.154
Onset HOBO U20L,2021-08-19 14:19:00,104.253,30.154
Onset HOBO U20L,2021-08-19 14:20:00,104.253,30.154
Onset HOBO U20L,2021-08-19 14:21:00,104.253,30.154
Onset HOBO U20L,2021-08-19 14:22:00,104.253,30.154
Onset HOBO U20L,2021-08-19 14:23:00,104.253,30.154
Onset HOBO U20L,2021-08-19 14:24:00,104.263,30.154
Onset HOBO U20L,2021-08-19 14:25:00,104.253,30.154
Onset HOBO U20L,2021-08-19 14:26:00,104.253,30.154
Onset HOBO U20L,2021-08-19 14:27:00,104.253,30.154
Onset HOBO U20L,2021-08-19 14:28:00,104.253,30.154
Onset HOBO U20L,2021-08-19 14:29:00,104.266,30.255
Onset HOBO U20L,2021-08-19 14:30:00,104.257,30.255
Onset HOBO U20L,2021-08-19 14:31:00,104.257,30.255
Onset HOBO U20L,2021-08-19 14:32:00,104.247,30.255
Onset HOBO U20L,2021-08-19 14:33:00,104.247,30.255
Onset HOBO U20L,2021-08-19 14:34:00,104.247,30.255
Onset HOBO U20L,2021-08-19 14:35:00,104.247,30.255
Onset HOBO U20L,2021-08-19 14:36:00,104.237,30.255
Onset HOBO U20L,2021-08-19 14:37:00,104.227,30.255
Onset HOBO U20L,2021-08-19 14:38:00,104.237,30.255
Onset HOBO U20L,2021-08-19 14:39:00,104.237,30.255
Onset HOBO U20L,2021-08-19 14:40:00,104.237,30.255
Onset HOBO U20L,2021-08-19 14:41:00,104.237,30.255
Onset HOBO U20L,2021-08-19 14:42:00,104.237,30.255
Onset HOBO U20L,2021-08-19 14:43:00,104.237,30.255
Onset HOBO U20L,2021-08-19 14:44:00,104.217,30.255
Onset HOBO U20L,2021-08-19 14:45:00,104.22,30.356
Onset HOBO U20L,2021-08-19 14:46:00,104.22,30.356
Onset HOBO U20L,2021-08-19 14:47:00,104.21,30.356
Onset HOBO U20L,2021-08-19 14:48:00,104.21,30.356
Onset HOBO U20L,2021-08-19 14:49:00,104.21,30.356
Onset HOBO U20L,2021-08-19 14:50:00,104.2,30.356
Onset HOBO U20L,2021-08-19 14:51:00,104.2,30.356
Onset HOBO U20L,2021-08-19 14:52:00,104.19,30.356
Onset HOBO U20L,2021-08-19 14:53:00,104.19,30.356
Onset HOBO U20L,2021-08-19 14:54:00,104.19,30.356
Onset HOBO U20L,2021-08-19 14:55:00,104.21,30.356
Onset HOBO U20L,2021-08-19 14:56:00,104.2,30.356
Onset HOBO U20L,2021-08-19 14:57:00,104.21,30.356
Onset HOBO U20L,2021-08-19 14:58:00,104.22,30.356
Onset HOBO U20L,2021-08-19 14:59:00,104.2,30.356
Onset HOBO U20L,2021-08-19 15:00:00,104.21,30.356
Onset HOBO U20L,2021-08-19 15:01:00,104.21,30.356
Onset HOBO U20L,2021-08-19 15:02:00,104.21,30.356
Onset HOBO U20L,2021-08-19 15:03:00,104.203,30.457
Onset HOBO U20L,2021-08-19 15:04:00,104.213,30.457
Onset HOBO U20L,2021-08-19 15:05:00,104.203,30.457
Onset HOBO U20L,2021-08-19 15:06:00,104.223,30.457
Onset HOBO U20L,2021-08-19 15:07:00,104.223,30.457
Onset HOBO U20L,2021-08-19 15:08:00,104.243,30.457
Onset HOBO U20L,2021-08-19 15:09:00,104.243,30.457
Onset HOBO U20L,2021-08-19 15:10:00,104.243,30.457
Onset HOBO U20L,2021-08-19 15:11:00,104.253,30.457
Onset HOBO U20L,2021-08-19 15:12:00,104.253,30.457
Onset HOBO U20L,2021-08-19 15:13:00,104.283,30.457
Onset HOBO U20L,2021-08-19 15:14:00,104.273,30.457
Onset HOBO U20L,2021-08-19 15:15:00,104.293,30.457
Onset HOBO U20L,2021-08-19 15:16:00,104.283,30.457
Onset HOBO U20L,2021-08-19 15:17:00,104.293,30.457
Onset HOBO U20L,2021-08-19 15:18:00,104.303,30.457
Onset HOBO U20L,2021-08-19 15:19:00,104.303,30.457
Onset HOBO U20L,2021-08-19 15:20:00,104.303,30.457
Onset HOBO U20L,2021-08-19 15:21:00,104.313,30.457
Onset HOBO U20L,2021-08-19 15:22:00,104.313,30.457
Onset HOBO U20L,2021-08-19 15:23:00,104.313,30.457
Onset HOBO U20L,2021-08-19 15:24:00,104.313,30.457
Onset HOBO U20L,2021-08-19 15:25:00,104.323,30.457
Onset HOBO U20L,2021-08-19 15:26:00,104.323,30.457
Onset HOBO U20L,2021-08-19 15:27:00,104.323,30.457
Onset HOBO U20L,2021-08-19 15:28:00,104.323,30.457
Onset HOBO U20L,2021-08-19 15:29:00,104.333,30.457
Onset HOBO U20L,2021-08-19 15:30:00,104.343,30.457
Onset HOBO U20L,2021-08-19 15:31:00,104.333,30.457
Onset HOBO U20L,2021-08-19 15:32:00,104.343,30.457
Onset HOBO U20L,2021-08-19 15:33:00,104.343,30.457
Onset HOBO U20L,2021-08-19 15:34:00,104.346,30.558
Onset HOBO U20L,2021-08-19 15:35:00,104.346,30.558
Onset HOBO U20L,2021-08-19 15:36:00,104.356,30.558
Onset HOBO U20L,2021-08-19 15:37:00,104.376,30.558
Onset HOBO U20L,2021-08-19 15:38:00,104.366,30.558
Onset HOBO U20L,2021-08-19 15:39:00,104.376,30.558
Onset HOBO U20L,2021-08-19 15:40:00,104.366,30.558
Onset HOBO U20L,2021-08-19 15:41:00,104.376,30.558
Onset HOBO U20L,2021-08-19 15:42:00,104.366,30.558
Onset HOBO U20L,2021-08-19 15:43:00,104.356,30.558
Onset HOBO U20L,2021-08-19 15:44:00,104.356,30.558
Onset HOBO U20L,2021-08-19 15:45:00,104.366,30.558
Onset HOBO U20L,2021-08-19 15:46:00,104.376,30.558
Onset HOBO U20L,2021-08-19 15:47:00,104.366,30.558
Onset HOBO U20L,2021-08-19 15:48:00,104.366,30.558
Onset HOBO U20L,2021-08-19 15:49:00,104.366,30.558
Onset HOBO U20L,2021-08-19 15:50:00,104.366,30.558
Onset HOBO U20L,2021-08-19 15:51:00,104.349,30.659
Onset HOBO U20L,2021-08-19 15:52:00,104.359,30.659
Onset HOBO U20L,2021-08-19 15:53:00,104.339,30.659
Onset HOBO U20L,2021-08-19 15:54:00,104.349,30.659
Onset HOBO U20L,2021-08-19 15:55:00,104.339,30.659
Onset HOBO U20L,2021-08-19 15:56:00,104.339,30.659
Onset HOBO U20L,2021-08-19 15:57:00,104.329,30.659
Onset HOBO U20L,2021-08-19 15:58:00,104.329,30.659
Onset HOBO U20L,2021-08-19 15:59:00,104.323,30.76
Onset HOBO U20L,2021-08-19 16:00:00,104.323,30.76
Onset HOBO U20L,2021-08-19 16:01:00,104.313,30.76
Onset HOBO U20L,2021-08-19 16:02:00,104.293,30.76
Onset HOBO U20L,2021-08-19 16:03:00,104.293,30.76
Onset HOBO U20L,2021-08-19 16:04:00,104.293,30.76
Onset HOBO U20L,2021-08-19 16:05:00,104.293,30.76
Onset HOBO U20L,2021-08-19 16:06:00,104.283,30.76
Onset HOBO U20L,2021-08-19 16:07:00,104.286,30.862
Onset HOBO U20L,2021-08-19 16:08:00,104.276,30.862
Onset HOBO U20L,2021-08-19 16:09:00,104.276,30.862
Onset HOBO U20L,2021-08-19 16:10:00,104.246,30.862
Onset HOBO U20L,2021-08-19 16:11:00,104.266,30.862
Onset HOBO U20L,2021-08-19 16:12:00,104.246,30.862
Onset HOBO U20L,2021-08-19 16:13:00,104.246,30.862
Onset HOBO U20L,2021-08-19 16:14:00,104.236,30.862
Onset HOBO U20L,2021-08-19 16:15:00,104.236,30.862
Onset HOBO U20L,2021-08-19 16:16:00,104.236,30.862
Onset HOBO U20L,2021-08-19 16:17:00,104.229,30.963
Onset HOBO U20L,2021-08-19 16:18:00,104.219,30.963
Onset HOBO U20L,2021-08-19 16:19:00,104.219,30.963
Onset HOBO U20L,2021-08-19 16:20:00,104.209,30.963
Onset HOBO U20L,2021-08-19 16:21:00,104.19,30.963
Onset HOBO U20L,2021-08-19 16:22:00,104.19,30.963
Onset HOBO U20L,2021-08-19 16:23:00,104.18,30.963
Onset HOBO U20L,2021-08-19 16:24:00,104.19,30.963
Onset HOBO U20L,2021-08-19 16:25:00,104.17,30.963
Onset HOBO U20L,2021-08-19 16:26:00,104.18,30.963
Onset HOBO U20L,2021-08-19 16:27:00,104.173,31.064
Onset HOBO U20L,2021-08-19 16:28:00,104.163,31.064
Onset HOBO U20L,2021-08-19 16:29:00,104.183,31.064
Onset HOBO U20L,2021-08-19 16:30:00,104.153,31.064
Onset HOBO U20L,2021-08-19 16:31:00,104.163,31.064
Onset HOBO U20L,2021-08-19 16:32:00,104.153,31.064
