instrument,time,measured_temperature,measured_turbidity,cleaned_turbidity,turbidity_1min_avg,turbidity_1min_max,turbidity_1min_min,turbidity_1min_sd
Campbell Scientific OBS-3+,2021-03-24 17:18:00,22.72,45.68,-8888,39.01,49.84,-1.268,18.08
Campbell Scientific OBS-3+,2021-03-24 17:19:00,22.68,46.78,-8888,47.53,50.41,42.71,2.447
Campbell Scientific OBS-3+,2021-03-24 17:20:00,22.63,42.99,-8888,42.91,45.37,41,1.49
Campbell Scientific OBS-3+,2021-03-24 17:21:00,22.59,43.97,-8888,43.55,45.52,41.92,1.123
Campbell Scientific OBS-3+,2021-03-24 17:22:00,22.54,44.21,-8888,43.39,44.3,42.39,0.691
Campbell Scientific OBS-3+,2021-03-24 17:23:00,22.5,43.61,-8888,43.72,44.76,42.68,0.625
Campbell Scientific OBS-3+,2021-03-24 17:24:00,22.44,44.6,-8888,44.17,44.65,43.26,0.529
Campbell Scientific OBS-3+,2021-03-24 17:25:00,22.39,46.68,-8888,44.94,46.68,43.5,1.232
Campbell Scientific OBS-3+,2021-03-24 17:26:00,22.32,45.43,-8888,44.76,45.43,43.99,0.598
Campbell Scientific OBS-3+,2021-03-24 17:27:00,22.27,46.89,-8888,45.99,47.13,44.33,1.21
Campbell Scientific OBS-3+,2021-03-24 17:28:00,22.22,45.42,-8888,45.83,46.75,44.68,0.723
Campbell Scientific OBS-3+,2021-03-24 17:29:00,22.18,47,-8888,46.44,47.93,43.15,1.568
Campbell Scientific OBS-3+,2021-03-24 17:30:00,22.12,44.32,-8888,45.49,47.1,43.21,1.429
Campbell Scientific OBS-3+,2021-03-24 17:31:00,22.09,50,-8888,45.86,50,43.85,2.127
Campbell Scientific OBS-3+,2021-03-24 17:32:00,22.05,143,-8888,87.8,155,49.43,43.73
Campbell Scientific OBS-3+,2021-03-24 17:33:00,22.01,46.77,-8888,48.14,51.15,46.33,1.89
Campbell Scientific OBS-3+,2021-03-24 17:34:00,21.98,46.47,-8888,47.25,50.99,43.2,2.33
Campbell Scientific OBS-3+,2021-03-24 17:35:00,21.94,47.21,-8888,47.19,49.6,42.93,2.067
Campbell Scientific OBS-3+,2021-03-24 17:36:00,21.92,100.9,100.9,56.08,100.9,44.65,20.12
Campbell Scientific OBS-3+,2021-03-24 17:37:00,21.89,43.29,-8888,45.33,47.14,43.29,1.204
Campbell Scientific OBS-3+,2021-03-24 17:38:00,21.85,54.3,-8888,45.58,54.3,40.96,4.181
Campbell Scientific OBS-3+,2021-03-24 17:39:00,21.83,46.06,-8888,46.63,49.92,45.43,1.547
Campbell Scientific OBS-3+,2021-03-24 17:40:00,21.81,46.47,-8888,46.44,48.39,45.09,1.023
Campbell Scientific OBS-3+,2021-03-24 17:41:00,21.78,44.05,-8888,44.47,45.96,42.66,1.101
Campbell Scientific OBS-3+,2021-03-24 17:42:00,21.77,42.55,-8888,43.84,45.49,42.55,0.98
Campbell Scientific OBS-3+,2021-03-24 17:43:00,21.74,43.37,-8888,44.05,44.96,43.32,0.566
Campbell Scientific OBS-3+,2021-03-24 17:44:00,21.71,42.97,-8888,43.71,44.53,42.97,0.543
Campbell Scientific OBS-3+,2021-03-24 17:45:00,21.68,45.58,-8888,43.94,45.58,42.16,1.009
Campbell Scientific OBS-3+,2021-03-24 17:46:00,21.65,43.98,-8888,44.68,46.22,43.24,0.958
Campbell Scientific OBS-3+,2021-03-24 17:47:00,21.62,44.93,-8888,43.09,44.93,41.3,1.369
Campbell Scientific OBS-3+,2021-03-24 17:48:00,21.62,44.13,-8888,44.13,44.71,43.73,0.302
Campbell Scientific OBS-3+,2021-03-24 17:49:00,21.61,43.22,-8888,43.47,44.77,42.14,0.992
Campbell Scientific OBS-3+,2021-03-24 17:50:00,21.61,45.13,-8888,43.48,45.13,42.04,1.142
Campbell Scientific OBS-3+,2021-03-24 17:51:00,21.59,44.7,-8888,43.3,44.7,42.15,0.75
Campbell Scientific OBS-3+,2021-03-24 17:52:00,21.58,43.3,-8888,43.74,44.35,43.3,0.36
Campbell Scientific OBS-3+,2021-03-24 17:53:00,21.59,43.88,-8888,42.68,44.39,40.08,1.455
Campbell Scientific OBS-3+,2021-03-24 17:54:00,21.58,43.5,-8888,43.71,44.15,42.58,0.548
Campbell Scientific OBS-3+,2021-03-24 17:55:00,21.59,43.85,-8888,43.69,44.97,43.2,0.614
Campbell Scientific OBS-3+,2021-03-24 17:56:00,21.58,44.25,-8888,43.67,44.3,42.66,0.644
Campbell Scientific OBS-3+,2021-03-24 17:57:00,21.59,43.5,-8888,44.12,47.5,42.26,1.693
Campbell Scientific OBS-3+,2021-03-24 17:58:00,21.58,43.59,-8888,43.42,44.29,42.32,0.779
Campbell Scientific OBS-3+,2021-03-24 17:59:00,21.57,43.27,-8888,42.85,44.64,41.22,1.078
Campbell Scientific OBS-3+,2021-03-24 18:00:00,21.59,43.12,-8888,43.07,44.58,41.35,1.21
Campbell Scientific OBS-3+,2021-03-24 18:01:00,21.58,43.62,-8888,44.39,45.35,42.55,0.999
Campbell Scientific OBS-3+,2021-03-24 18:02:00,21.58,43.58,-8888,43.99,45.02,43.33,0.552
Campbell Scientific OBS-3+,2021-03-24 18:03:00,21.59,44.63,-8888,43.78,44.8,40.86,1.397
Campbell Scientific OBS-3+,2021-03-24 18:04:00,21.58,43.08,-8888,43.91,44.63,43.08,0.493
Campbell Scientific OBS-3+,2021-03-24 18:05:00,21.58,43.79,-8888,43.51,44.13,42.63,0.47
Campbell Scientific OBS-3+,2021-03-24 18:06:00,21.57,43.02,-8888,43.68,44.41,42.54,0.686
Campbell Scientific OBS-3+,2021-03-24 18:07:00,21.56,42.91,-8888,43.59,44.7,42.91,0.57
Campbell Scientific OBS-3+,2021-03-24 18:08:00,21.57,42.27,-8888,43.49,44.21,42.27,0.623
Campbell Scientific OBS-3+,2021-03-24 18:09:00,21.56,43.97,-8888,43.95,44.69,42.51,0.727
Campbell Scientific OBS-3+,2021-03-24 18:10:00,21.57,42.7,-8888,43.27,44.24,41.47,0.933
Campbell Scientific OBS-3+,2021-03-24 18:11:00,21.57,42.08,-8888,43.67,45.22,42.08,1.042
Campbell Scientific OBS-3+,2021-03-24 18:12:00,21.58,44.48,-8888,42.75,44.48,41.43,1.036
Campbell Scientific OBS-3+,2021-03-24 18:13:00,21.59,41.75,-8888,42.79,43.47,41.75,0.59
Campbell Scientific OBS-3+,2021-03-24 18:14:00,21.59,43.76,-8888,43.27,44.76,42.35,0.86
Campbell Scientific OBS-3+,2021-03-24 18:15:00,21.6,42.01,-8888,42.61,43.88,41.46,0.837
Campbell Scientific OBS-3+,2021-03-24 18:16:00,21.62,41.71,-8888,42,42.78,40.84,0.621
Campbell Scientific OBS-3+,2021-03-24 18:17:00,21.64,41.51,-8888,41.66,43.16,40.77,0.773
Campbell Scientific OBS-3+,2021-03-24 18:18:00,21.65,41.8,-8888,41.17,41.81,40.02,0.786
Campbell Scientific OBS-3+,2021-03-24 18:19:00,21.69,41.97,-8888,41.26,42.27,40.43,0.671
Campbell Scientific OBS-3+,2021-03-24 18:20:00,21.71,41.4,-8888,41.41,41.99,40.58,0.477
Campbell Scientific OBS-3+,2021-03-24 18:21:00,21.73,41.45,-8888,41.05,41.45,40.64,0.312
Campbell Scientific OBS-3+,2021-03-24 18:22:00,21.76,40.34,-8888,40.8,41.52,39.81,0.576
Campbell Scientific OBS-3+,2021-03-24 18:23:00,21.79,40.82,-8888,40.68,41.16,39.79,0.479
Campbell Scientific OBS-3+,2021-03-24 18:24:00,21.82,41.23,-8888,41.08,41.63,39.91,0.601
Campbell Scientific OBS-3+,2021-03-24 18:25:00,21.87,39.88,-8888,39.88,41.1,37.72,1.043
Campbell Scientific OBS-3+,2021-03-24 18:26:00,21.89,39.58,-8888,40.02,40.74,38.86,0.645
Campbell Scientific OBS-3+,2021-03-24 18:27:00,21.93,40.09,-8888,39.01,40.09,37.21,0.922
Campbell Scientific OBS-3+,2021-03-24 18:28:00,21.96,40.53,-8888,40.57,41.66,39.02,0.993
Campbell Scientific OBS-3+,2021-03-24 18:29:00,21.98,38.97,-8888,39.32,40.54,37.45,0.975
Campbell Scientific OBS-3+,2021-03-24 18:30:00,22.01,38.27,-8888,38.45,39.6,37.62,0.656
Campbell Scientific OBS-3+,2021-03-24 18:31:00,22.04,39.3,-8888,38.85,40.35,37.54,0.994
Campbell Scientific OBS-3+,2021-03-24 18:32:00,22.05,39.98,-8888,39.24,39.98,38.56,0.507
Campbell Scientific OBS-3+,2021-03-24 18:33:00,22.07,38.86,-8888,39.25,39.72,38.78,0.33
Campbell Scientific OBS-3+,2021-03-24 18:34:00,22.08,40.1,-8888,39.14,40.1,38.49,0.662
Campbell Scientific OBS-3+,2021-03-24 18:35:00,22.1,39.6,-8888,39.31,40.1,38.57,0.496
Campbell Scientific OBS-3+,2021-03-24 18:36:00,22.12,37.86,-8888,38.91,40.72,37.86,0.962
Campbell Scientific OBS-3+,2021-03-24 18:37:00,22.12,38.66,-8888,39.08,40.37,37.91,0.926
Campbell Scientific OBS-3+,2021-03-24 18:38:00,22.13,37.74,-8888,38.71,39.9,37.74,0.639
Campbell Scientific OBS-3+,2021-03-24 18:39:00,22.13,38.92,-8888,39.29,40.34,38.27,0.858
Campbell Scientific OBS-3+,2021-03-24 18:40:00,22.13,40.3,-8888,39.76,40.93,38.8,0.717
Campbell Scientific OBS-3+,2021-03-24 18:41:00,22.13,39.47,-8888,39.8,40.61,39.4,0.419
Campbell Scientific OBS-3+,2021-03-24 18:42:00,22.13,43.29,-8888,41.79,44.32,40.03,1.539
Campbell Scientific OBS-3+,2021-03-24 18:43:00,22.12,40.89,-8888,41.11,43.22,39.16,1.276
Campbell Scientific OBS-3+,2021-03-24 18:44:00,22.12,40.41,-8888,41.06,42.56,39.84,0.865
Campbell Scientific OBS-3+,2021-03-24 18:45:00,22.12,41.18,-8888,40.76,42.55,39.13,1.055
Campbell Scientific OBS-3+,2021-03-24 18:46:00,22.12,41.17,-8888,40.43,41.17,39.9,0.484
Campbell Scientific OBS-3+,2021-03-24 18:47:00,22.15,38.87,-8888,41.79,42.86,38.87,1.401
Campbell Scientific OBS-3+,2021-03-24 18:48:00,22.15,39.17,-8888,39.46,41.22,38.44,0.863
Campbell Scientific OBS-3+,2021-03-24 18:49:00,22.15,39.28,-8888,39.68,40.61,38.96,0.669
Campbell Scientific OBS-3+,2021-03-24 18:50:00,22.18,39.42,-8888,39.82,40.67,38.9,0.564
Campbell Scientific OBS-3+,2021-03-24 18:51:00,22.17,38.08,-8888,38.5,39.74,37.36,0.771
Campbell Scientific OBS-3+,2021-03-24 18:52:00,22.2,40.26,-8888,39.3,40.6,38.09,0.96
