instrument,time,measured_temperature,measured_turbidity,cleaned_turbidity,turbidity_1min_avg,turbidity_1min_max,turbidity_1min_min,turbidity_1min_sd
Campbell Scientific OBS-3+,2021-03-26 15:00:00,21.05,71.58,-8888,61,99.9,8.2,33.34
Campbell Scientific OBS-3+,2021-03-26 15:01:00,21.05,79.83,-8888,170.1,525.9,63.03,167.6
Campbell Scientific OBS-3+,2021-03-26 15:02:00,21.04,48.84,-8888,47.89,54.17,45.4,3.011
Campbell Scientific OBS-3+,2021-03-26 15:03:00,21.09,47.47,-8888,96.4,177.8,46.04,54.88
Campbell Scientific OBS-3+,2021-03-26 15:04:00,21.06,105.3,-8888,124.1,222.1,58.17,51.93
Campbell Scientific OBS-3+,2021-03-26 15:05:00,21.05,45.36,-8888,47.1,48.33,45.36,0.941
Campbell Scientific OBS-3+,2021-03-26 15:06:00,21.05,45.97,-8888,49.94,58.2,45.88,4.466
Campbell Scientific OBS-3+,2021-03-26 15:07:00,21.05,46.14,-8888,47.52,50.89,46.14,1.641
Campbell Scientific OBS-3+,2021-03-26 15:08:00,21.17,46.11,-8888,45.7,46.11,45.01,0.433
Campbell Scientific OBS-3+,2021-03-26 15:09:00,21.04,46.35,-8888,48.68,53.2,46.35,2.388
Campbell Scientific OBS-3+,2021-03-26 15:10:00,21.03,50.28,-8888,46.97,51.4,44.1,2.857
Campbell Scientific OBS-3+,2021-03-26 15:11:00,21.03,45.82,-8888,45.5,45.82,45.18,0.234
Campbell Scientific OBS-3+,2021-03-26 15:12:00,21.01,45.16,-8888,45.57,47.8,44.4,1.128
Campbell Scientific OBS-3+,2021-03-26 15:13:00,21.02,45.71,-8888,45.7,46.78,44.88,0.603
Campbell Scientific OBS-3+,2021-03-26 15:14:00,21.01,45.75,-8888,45.5,47.02,44,1.075
Campbell Scientific OBS-3+,2021-03-26 15:15:00,21.01,47,-8888,45.82,47,45.1,0.664
Campbell Scientific OBS-3+,2021-03-26 15:16:00,21.01,47.13,-8888,46.54,47.36,45.17,0.739
Campbell Scientific OBS-3+,2021-03-26 15:17:00,21.01,46.42,-8888,46.62,48.23,45.98,0.738
Campbell Scientific OBS-3+,2021-03-26 15:18:00,21,46.92,-8888,47.15,48.42,46.32,0.728
Campbell Scientific OBS-3+,2021-03-26 15:19:00,21.14,47.18,-8888,47.6,48.83,46.42,0.762
Campbell Scientific OBS-3+,2021-03-26 15:20:00,21.01,49.27,-8888,49.66,52.91,47.79,1.568
Campbell Scientific OBS-3+,2021-03-26 15:21:00,21.02,48.68,-8888,48.43,49.25,47.06,0.805
Campbell Scientific OBS-3+,2021-03-26 15:22:00,21.02,49.66,-8888,48.78,49.66,47.69,0.658
Campbell Scientific OBS-3+,2021-03-26 15:23:00,21.02,47.52,-8888,48.14,49.41,46.64,0.901
Campbell Scientific OBS-3+,2021-03-26 15:24:00,21.04,47.38,-8888,47.6,49.09,46.09,1.037
Campbell Scientific OBS-3+,2021-03-26 15:25:00,21.03,50.59,-8888,48.03,50.59,46.63,1.263
Campbell Scientific OBS-3+,2021-03-26 15:26:00,21.04,47.95,-8888,46.87,47.95,46,0.65
Campbell Scientific OBS-3+,2021-03-26 15:27:00,21.06,48.14,-8888,48.56,50.79,46.81,1.383
Campbell Scientific OBS-3+,2021-03-26 15:28:00,21.15,47.23,-8888,47.37,49.44,46.48,0.979
Campbell Scientific OBS-3+,2021-03-26 15:29:00,21.08,47.55,-8888,48.04,49.75,46.48,1.038
Campbell Scientific OBS-3+,2021-03-26 15:30:00,21.08,50.96,-8888,49.11,50.96,47.38,1.233
Campbell Scientific OBS-3+,2021-03-26 15:31:00,21.08,49.04,-8888,48.34,50.26,46.33,1.409
Campbell Scientific OBS-3+,2021-03-26 15:32:00,21.09,47.14,-8888,47.99,49.05,47.14,0.774
Campbell Scientific OBS-3+,2021-03-26 15:33:00,21.1,48.29,-8888,47.94,48.46,46.92,0.561
Campbell Scientific OBS-3+,2021-03-26 15:34:00,21.11,47.66,-8888,47.97,48.76,46.67,0.669
Campbell Scientific OBS-3+,2021-03-26 15:35:00,21.11,47.58,-8888,47.48,48.36,46.99,0.45
Campbell Scientific OBS-3+,2021-03-26 15:36:00,21.17,47.7,-8888,47.66,48.47,46.68,0.613
Campbell Scientific OBS-3+,2021-03-26 15:37:00,21.13,46.42,-8888,47.09,48.27,46.21,0.682
Campbell Scientific OBS-3+,2021-03-26 15:38:00,21.13,47.17,-8888,47.62,48.73,46.1,0.907
Campbell Scientific OBS-3+,2021-03-26 15:39:00,21.14,48.42,-8888,48.13,49.27,47.16,0.691
Campbell Scientific OBS-3+,2021-03-26 15:40:00,21.15,46.02,-8888,49.41,57.42,46.02,3.769
Campbell Scientific OBS-3+,2021-03-26 15:41:00,21.15,48.61,-8888,46.8,48.61,45.95,0.889
Campbell Scientific OBS-3+,2021-03-26 15:42:00,21.15,46.69,-8888,47.53,48.24,46.69,0.528
Campbell Scientific OBS-3+,2021-03-26 15:43:00,21.16,46.32,-8888,46.93,48.05,45.85,0.761
Campbell Scientific OBS-3+,2021-03-26 15:44:00,21.17,46.88,-8888,46.95,47.18,46.65,0.207
Campbell Scientific OBS-3+,2021-03-26 15:45:00,21.18,47.02,-8888,47.29,48.68,46.32,0.819
Campbell Scientific OBS-3+,2021-03-26 15:46:00,21.2,46.25,-8888,46.55,47.71,45.87,0.621
Campbell Scientific OBS-3+,2021-03-26 15:47:00,21.21,46.39,-8888,46.65,48.98,44.66,1.364
Campbell Scientific OBS-3+,2021-03-26 15:48:00,21.22,45.15,-8888,45.14,46.35,44.35,0.676
Campbell Scientific OBS-3+,2021-03-26 15:49:00,21.25,46.66,-8888,46.45,48.58,45.19,1.049
Campbell Scientific OBS-3+,2021-03-26 15:50:00,21.28,47.31,-8888,46.32,47.42,43.91,1.208
Campbell Scientific OBS-3+,2021-03-26 15:51:00,21.31,44.9,-8888,46.19,48.66,44.9,1.233
Campbell Scientific OBS-3+,2021-03-26 15:52:00,21.33,46.16,-8888,46.1,46.52,45.49,0.339
Campbell Scientific OBS-3+,2021-03-26 15:53:00,21.38,46.31,-8888,46.31,46.66,45.85,0.329
Campbell Scientific OBS-3+,2021-03-26 15:54:00,21.4,46.1,-8888,46.29,46.83,45.89,0.358
Campbell Scientific OBS-3+,2021-03-26 15:55:00,21.44,45.92,-8888,46.12,46.55,45.79,0.305
Campbell Scientific OBS-3+,2021-03-26 15:56:00,21.49,45.96,-8888,46.43,47.4,45.44,0.655
Campbell Scientific OBS-3+,2021-03-26 15:57:00,21.52,47.15,-8888,46.62,47.15,46.18,0.358
Campbell Scientific OBS-3+,2021-03-26 15:58:00,21.57,53.93,-8888,50.43,60.97,46.47,5.367
Campbell Scientific OBS-3+,2021-03-26 15:59:00,21.61,48.32,-8888,46.83,48.32,45.42,0.914
Campbell Scientific OBS-3+,2021-03-26 16:00:00,21.66,45.85,-8888,47.05,48.13,45.85,0.863
Campbell Scientific OBS-3+,2021-03-26 16:01:00,21.72,46.33,-8888,46.98,47.58,46.09,0.578
Campbell Scientific OBS-3+,2021-03-26 16:02:00,21.74,47.76,-8888,47.27,47.84,46.64,0.45
Campbell Scientific OBS-3+,2021-03-26 16:03:00,21.78,46.66,-8888,46.89,47.41,46.45,0.339
Campbell Scientific OBS-3+,2021-03-26 16:04:00,21.81,47.35,-8888,46.53,47.35,45.95,0.446
