instrument,time,measured_pressure,measured_temperature
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:26:17,106.8309,19.6
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:26:47,107.00748,19.4
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:27:17,107.00748,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:27:47,107.00748,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:28:17,107.00748,19.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:28:47,107.00748,19.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:29:17,107.00748,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:29:47,106.97805,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:30:17,106.97805,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:30:47,106.97805,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:31:17,106.97805,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:31:47,106.97805,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:32:17,106.97805,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:32:47,106.97805,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:33:17,106.94862,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:33:47,106.97805,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:34:17,106.94862,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:34:47,106.94862,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:35:17,106.94862,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:35:47,106.94862,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:36:17,106.94862,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:36:47,106.91919,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:37:17,106.91919,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:37:47,106.91919,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:38:17,106.91919,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:38:47,106.91919,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:39:17,106.88976,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:39:47,106.88976,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:40:17,106.88976,19.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:40:47,106.91919,19.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:41:17,106.88976,19.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:41:47,106.86033,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:42:17,106.8309,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:42:47,106.86033,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:43:17,106.86033,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:43:47,106.86033,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:44:17,106.8309,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:44:47,106.8309,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:45:17,106.8309,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:45:47,106.8309,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:46:17,106.80147,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:46:47,106.8309,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:47:17,106.80147,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:47:47,106.80147,19
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:48:17,106.80147,19.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:48:47,106.80147,19.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:49:17,106.80147,19.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:49:47,106.80147,19.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:50:17,106.80147,19.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:50:47,106.77204,19.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:51:17,106.77204,19.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:51:47,106.77204,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:52:17,106.77204,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:52:47,106.77204,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:53:17,106.77204,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:53:47,106.74261,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:54:17,106.74261,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:54:47,106.74261,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:55:17,106.74261,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:55:47,106.74261,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:56:17,106.71318,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:56:47,106.71318,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:57:17,106.71318,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:57:47,106.68375,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:58:17,106.68375,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:58:47,106.68375,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:59:17,106.68375,19.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 20:59:47,106.68375,19.3
Solinst Levelogger Junior Edge Model 3001,2021-03-26 21:00:17,106.65432,19.3
Solinst Levelogger Junior Edge Model 3001,2021-03-26 21:00:47,106.65432,19.3
Solinst Levelogger Junior Edge Model 3001,2021-03-26 21:01:17,106.65432,19.3
Solinst Levelogger Junior Edge Model 3001,2021-03-26 21:01:47,106.68375,19.3
Solinst Levelogger Junior Edge Model 3001,2021-03-26 21:02:17,106.65432,19.3
Solinst Levelogger Junior Edge Model 3001,2021-03-26 21:02:47,106.65432,19.3
Solinst Levelogger Junior Edge Model 3001,2021-03-26 21:03:17,106.65432,19.3
Solinst Levelogger Junior Edge Model 3001,2021-03-26 21:03:47,106.62489,19.3
Solinst Levelogger Junior Edge Model 3001,2021-03-26 21:04:17,106.65432,19.3
Solinst Levelogger Junior Edge Model 3001,2021-03-26 21:04:47,106.62489,19.3
Solinst Levelogger Junior Edge Model 3001,2021-03-26 21:05:17,106.62489,19.4
Solinst Levelogger Junior Edge Model 3001,2021-03-26 21:05:47,106.62489,19.4
Solinst Levelogger Junior Edge Model 3001,2021-03-26 21:06:17,106.62489,19.4
