instrument,time,measured_pressure,measured_temperature
Onset HOBO U20L,2021-03-26 16:58:47,103.364,15.378
Onset HOBO U20L,2021-03-26 16:59:47,103.424,15.378
Onset HOBO U20L,2021-03-26 17:00:47,103.524,15.378
Onset HOBO U20L,2021-03-26 17:01:47,103.504,15.378
Onset HOBO U20L,2021-03-26 17:02:47,103.384,15.378
Onset HOBO U20L,2021-03-26 17:03:47,103.444,15.378
Onset HOBO U20L,2021-03-26 17:04:47,103.454,15.378
Onset HOBO U20L,2021-03-26 17:05:47,103.474,15.378
Onset HOBO U20L,2021-03-26 17:06:47,103.514,15.378
Onset HOBO U20L,2021-03-26 17:07:47,103.514,15.378
Onset HOBO U20L,2021-03-26 17:08:47,103.534,15.378
Onset HOBO U20L,2021-03-26 17:09:47,103.554,15.378
Onset HOBO U20L,2021-03-26 17:10:47,103.584,15.378
Onset HOBO U20L,2021-03-26 17:11:47,103.594,15.378
Onset HOBO U20L,2021-03-26 17:12:47,103.564,15.378
Onset HOBO U20L,2021-03-26 17:13:47,103.594,15.378
Onset HOBO U20L,2021-03-26 17:14:47,103.684,15.378
Onset HOBO U20L,2021-03-26 17:15:47,103.654,15.378
Onset HOBO U20L,2021-03-26 17:16:47,103.684,15.378
Onset HOBO U20L,2021-03-26 17:17:47,103.684,15.378
Onset HOBO U20L,2021-03-26 17:18:47,103.674,15.378
Onset HOBO U20L,2021-03-26 17:19:47,103.644,15.378
Onset HOBO U20L,2021-03-26 17:20:47,103.684,15.378
Onset HOBO U20L,2021-03-26 17:21:47,103.734,15.378
Onset HOBO U20L,2021-03-26 17:22:47,103.734,15.378
Onset HOBO U20L,2021-03-26 17:23:47,103.764,15.378
Onset HOBO U20L,2021-03-26 17:24:47,103.714,15.378
Onset HOBO U20L,2021-03-26 17:25:47,103.734,15.378
Onset HOBO U20L,2021-03-26 17:26:47,103.694,15.378
Onset HOBO U20L,2021-03-26 17:27:47,103.744,15.378
Onset HOBO U20L,2021-03-26 17:28:47,103.814,15.378
Onset HOBO U20L,2021-03-26 17:29:47,103.724,15.378
Onset HOBO U20L,2021-03-26 17:30:47,103.814,15.378
Onset HOBO U20L,2021-03-26 17:31:47,103.864,15.378
Onset HOBO U20L,2021-03-26 17:32:47,103.764,15.378
Onset HOBO U20L,2021-03-26 17:33:47,103.784,15.378
Onset HOBO U20L,2021-03-26 17:34:47,103.844,15.378
Onset HOBO U20L,2021-03-26 17:35:47,103.864,15.378
Onset HOBO U20L,2021-03-26 17:36:47,103.854,15.378
Onset HOBO U20L,2021-03-26 17:37:47,103.844,15.378
Onset HOBO U20L,2021-03-26 17:38:47,103.904,15.378
Onset HOBO U20L,2021-03-26 17:39:47,103.994,15.378
Onset HOBO U20L,2021-03-26 17:40:47,103.954,15.378
Onset HOBO U20L,2021-03-26 17:41:47,104.024,15.378
Onset HOBO U20L,2021-03-26 17:42:47,103.914,15.378
Onset HOBO U20L,2021-03-26 17:43:47,103.974,15.378
Onset HOBO U20L,2021-03-26 17:44:47,104.004,15.378
Onset HOBO U20L,2021-03-26 17:45:47,104.054,15.378
Onset HOBO U20L,2021-03-26 17:46:47,104.064,15.378
Onset HOBO U20L,2021-03-26 17:47:47,104.024,15.378
Onset HOBO U20L,2021-03-26 17:48:47,104.134,15.378
Onset HOBO U20L,2021-03-26 17:49:47,104.104,15.378
Onset HOBO U20L,2021-03-26 17:50:47,104.174,15.378
Onset HOBO U20L,2021-03-26 17:51:47,104.154,15.378
Onset HOBO U20L,2021-03-26 17:52:47,104.234,15.378
Onset HOBO U20L,2021-03-26 17:53:47,104.214,15.378
Onset HOBO U20L,2021-03-26 17:54:47,104.244,15.378
Onset HOBO U20L,2021-03-26 17:55:47,104.294,15.378
Onset HOBO U20L,2021-03-26 17:56:47,104.244,15.378
Onset HOBO U20L,2021-03-26 17:57:47,104.324,15.378
Onset HOBO U20L,2021-03-26 17:58:47,104.284,15.378
Onset HOBO U20L,2021-03-26 17:59:47,104.324,15.378
Onset HOBO U20L,2021-03-26 18:00:47,104.344,15.378
Onset HOBO U20L,2021-03-26 18:01:47,104.374,15.378
Onset HOBO U20L,2021-03-26 18:02:47,104.364,15.378
Onset HOBO U20L,2021-03-26 18:03:47,104.404,15.378
Onset HOBO U20L,2021-03-26 18:04:47,104.374,15.378
Onset HOBO U20L,2021-03-26 18:05:47,104.344,15.378
Onset HOBO U20L,2021-03-26 18:06:47,104.384,15.378
Onset HOBO U20L,2021-03-26 18:07:47,104.354,15.378
Onset HOBO U20L,2021-03-26 18:08:47,104.354,15.378
Onset HOBO U20L,2021-03-26 18:09:47,104.334,15.378
Onset HOBO U20L,2021-03-26 18:10:47,104.394,15.378
Onset HOBO U20L,2021-03-26 18:11:47,104.384,15.378
Onset HOBO U20L,2021-03-26 18:12:47,104.394,15.378
Onset HOBO U20L,2021-03-26 18:13:47,104.374,15.378
Onset HOBO U20L,2021-03-26 18:14:47,104.404,15.378
Onset HOBO U20L,2021-03-26 18:15:47,104.384,15.378
Onset HOBO U20L,2021-03-26 18:16:47,104.344,15.378
Onset HOBO U20L,2021-03-26 18:17:47,104.414,15.378
Onset HOBO U20L,2021-03-26 18:18:47,104.394,15.378
Onset HOBO U20L,2021-03-26 18:19:47,104.394,15.378
Onset HOBO U20L,2021-03-26 18:20:47,104.424,15.378
Onset HOBO U20L,2021-03-26 18:21:47,104.444,15.378
Onset HOBO U20L,2021-03-26 18:22:47,104.444,15.378
Onset HOBO U20L,2021-03-26 18:23:47,104.364,15.378
Onset HOBO U20L,2021-03-26 18:24:47,104.424,15.378
Onset HOBO U20L,2021-03-26 18:25:47,104.424,15.378
Onset HOBO U20L,2021-03-26 18:26:47,104.464,15.378
Onset HOBO U20L,2021-03-26 18:27:47,104.504,15.378
Onset HOBO U20L,2021-03-26 18:28:47,104.414,15.378
Onset HOBO U20L,2021-03-26 18:29:47,104.534,15.378
Onset HOBO U20L,2021-03-26 18:30:47,104.494,15.378
Onset HOBO U20L,2021-03-26 18:31:47,104.554,15.378
Onset HOBO U20L,2021-03-26 18:32:47,104.574,15.378
Onset HOBO U20L,2021-03-26 18:33:47,104.584,15.378
Onset HOBO U20L,2021-03-26 18:34:47,104.584,15.378
Onset HOBO U20L,2021-03-26 18:35:47,104.644,15.378
Onset HOBO U20L,2021-03-26 18:36:47,104.584,15.378
Onset HOBO U20L,2021-03-26 18:37:47,104.604,15.378
Onset HOBO U20L,2021-03-26 18:38:47,104.684,15.378
Onset HOBO U20L,2021-03-26 18:39:47,104.694,15.378
Onset HOBO U20L,2021-03-26 18:40:47,104.694,15.378
Onset HOBO U20L,2021-03-26 18:41:47,104.684,15.378
Onset HOBO U20L,2021-03-26 18:42:47,104.734,15.378
Onset HOBO U20L,2021-03-26 18:43:47,104.764,15.378
Onset HOBO U20L,2021-03-26 18:44:47,104.774,15.378
Onset HOBO U20L,2021-03-26 18:45:47,104.824,15.378
Onset HOBO U20L,2021-03-26 18:46:47,104.814,15.378
Onset HOBO U20L,2021-03-26 18:47:47,104.784,15.378
Onset HOBO U20L,2021-03-26 18:48:47,104.844,15.378
Onset HOBO U20L,2021-03-26 18:49:47,104.885,15.378
Onset HOBO U20L,2021-03-26 18:50:47,104.915,15.378
Onset HOBO U20L,2021-03-26 18:51:47,104.955,15.378
Onset HOBO U20L,2021-03-26 18:52:47,104.955,15.378
Onset HOBO U20L,2021-03-26 18:53:47,104.985,15.378
Onset HOBO U20L,2021-03-26 18:54:47,105.015,15.378
Onset HOBO U20L,2021-03-26 18:55:47,105.035,15.378
Onset HOBO U20L,2021-03-26 18:56:47,105.045,15.378
Onset HOBO U20L,2021-03-26 18:57:47,105.095,15.378
Onset HOBO U20L,2021-03-26 18:58:47,105.075,15.378
Onset HOBO U20L,2021-03-26 18:59:47,105.105,15.378
Onset HOBO U20L,2021-03-26 19:00:47,105.155,15.378
Onset HOBO U20L,2021-03-26 19:01:47,105.145,15.378
Onset HOBO U20L,2021-03-26 19:02:47,105.175,15.378
Onset HOBO U20L,2021-03-26 19:03:47,105.225,15.378
Onset HOBO U20L,2021-03-26 19:04:47,105.225,15.378
