instrument,time,measured_pressure,measured_temperature
Onset HOBO U20L,2021-08-18 17:41:00,101.727,38.157
Onset HOBO U20L,2021-08-18 17:42:00,101.733,38.046
Onset HOBO U20L,2021-08-18 17:43:00,101.739,37.935
Onset HOBO U20L,2021-08-18 17:44:00,101.729,37.935
Onset HOBO U20L,2021-08-18 17:45:00,101.749,37.935
Onset HOBO U20L,2021-08-18 17:46:00,101.749,37.935
Onset HOBO U20L,2021-08-18 17:47:00,101.752,37.714
Onset HOBO U20L,2021-08-18 17:48:00,101.751,37.384
Onset HOBO U20L,2021-08-18 17:49:00,101.72,37.055
Onset HOBO U20L,2021-08-18 17:50:00,101.735,36.62
Onset HOBO U20L,2021-08-18 17:51:00,101.74,36.187
Onset HOBO U20L,2021-08-18 17:52:00,101.738,35.864
Onset HOBO U20L,2021-08-18 17:53:00,101.727,35.542
Onset HOBO U20L,2021-08-18 17:54:00,101.749,35.328
Onset HOBO U20L,2021-08-18 17:55:00,101.731,35.115
Onset HOBO U20L,2021-08-18 17:56:00,101.748,35.009
Onset HOBO U20L,2021-08-18 17:57:00,101.734,34.903
Onset HOBO U20L,2021-08-18 17:58:00,101.73,34.796
Onset HOBO U20L,2021-08-18 17:59:00,101.75,34.796
Onset HOBO U20L,2021-08-18 18:00:00,101.746,34.691
Onset HOBO U20L,2021-08-18 18:01:00,101.746,34.691
Onset HOBO U20L,2021-08-18 18:02:00,101.726,34.691
Onset HOBO U20L,2021-08-18 18:03:00,101.74,34.796
Onset HOBO U20L,2021-08-18 18:04:00,101.74,34.796
Onset HOBO U20L,2021-08-18 18:05:00,101.76,34.796
Onset HOBO U20L,2021-08-18 18:06:00,101.744,34.903
Onset HOBO U20L,2021-08-18 18:07:00,101.748,35.009
Onset HOBO U20L,2021-08-18 18:08:00,101.762,35.115
Onset HOBO U20L,2021-08-18 18:09:00,101.755,35.222
Onset HOBO U20L,2021-08-18 18:10:00,101.755,35.222
Onset HOBO U20L,2021-08-18 18:11:00,101.749,35.328
Onset HOBO U20L,2021-08-18 18:12:00,101.749,35.328
Onset HOBO U20L,2021-08-18 18:13:00,101.759,35.328
Onset HOBO U20L,2021-08-18 18:14:00,101.749,35.328
Onset HOBO U20L,2021-08-18 18:15:00,101.749,35.328
Onset HOBO U20L,2021-08-18 18:16:00,101.739,35.328
Onset HOBO U20L,2021-08-18 18:17:00,101.739,35.328
Onset HOBO U20L,2021-08-18 18:18:00,101.749,35.328
Onset HOBO U20L,2021-08-18 18:19:00,101.743,35.435
Onset HOBO U20L,2021-08-18 18:20:00,101.753,35.435
Onset HOBO U20L,2021-08-18 18:21:00,101.759,35.328
Onset HOBO U20L,2021-08-18 18:22:00,101.751,35.115
Onset HOBO U20L,2021-08-18 18:23:00,101.737,35.009
Onset HOBO U20L,2021-08-18 18:24:00,101.737,35.009
Onset HOBO U20L,2021-08-18 18:25:00,101.744,34.903
Onset HOBO U20L,2021-08-18 18:26:00,101.73,34.796
Onset HOBO U20L,2021-08-18 18:27:00,101.73,34.796
Onset HOBO U20L,2021-08-18 18:28:00,101.726,34.691
Onset HOBO U20L,2021-08-18 18:29:00,101.722,34.585
Onset HOBO U20L,2021-08-18 18:30:00,101.732,34.585
Onset HOBO U20L,2021-08-18 18:31:00,101.732,34.585
Onset HOBO U20L,2021-08-18 18:32:00,101.722,34.585
Onset HOBO U20L,2021-08-18 18:33:00,101.712,34.585
Onset HOBO U20L,2021-08-18 18:34:00,101.722,34.585
Onset HOBO U20L,2021-08-18 18:35:00,101.722,34.585
Onset HOBO U20L,2021-08-18 18:36:00,101.718,34.479
Onset HOBO U20L,2021-08-18 18:37:00,101.728,34.479
Onset HOBO U20L,2021-08-18 18:38:00,101.724,34.374
Onset HOBO U20L,2021-08-18 18:39:00,101.714,34.374
Onset HOBO U20L,2021-08-18 18:40:00,101.714,34.374
Onset HOBO U20L,2021-08-18 18:41:00,101.728,34.479
Onset HOBO U20L,2021-08-18 18:42:00,101.718,34.479
Onset HOBO U20L,2021-08-18 18:43:00,101.714,34.374
Onset HOBO U20L,2021-08-18 18:44:00,101.714,34.374
Onset HOBO U20L,2021-08-18 18:45:00,101.724,34.374
Onset HOBO U20L,2021-08-18 18:46:00,101.71,34.268
Onset HOBO U20L,2021-08-18 18:47:00,101.72,34.268
Onset HOBO U20L,2021-08-18 18:48:00,101.71,34.268
Onset HOBO U20L,2021-08-18 18:49:00,101.72,34.268
Onset HOBO U20L,2021-08-18 18:50:00,101.716,34.163
Onset HOBO U20L,2021-08-18 18:51:00,101.706,34.163
Onset HOBO U20L,2021-08-18 18:52:00,101.712,34.058
Onset HOBO U20L,2021-08-18 18:53:00,101.712,34.058
Onset HOBO U20L,2021-08-18 18:54:00,101.712,34.058
Onset HOBO U20L,2021-08-18 18:55:00,101.712,34.058
Onset HOBO U20L,2021-08-18 18:56:00,101.712,34.058
Onset HOBO U20L,2021-08-18 18:57:00,101.712,34.058
Onset HOBO U20L,2021-08-18 18:58:00,101.708,33.953
Onset HOBO U20L,2021-08-18 18:59:00,101.718,33.953
Onset HOBO U20L,2021-08-18 19:00:00,101.694,33.848
Onset HOBO U20L,2021-08-18 19:01:00,101.694,33.848
Onset HOBO U20L,2021-08-18 19:02:00,101.694,33.848
Onset HOBO U20L,2021-08-18 19:03:00,101.704,33.848
Onset HOBO U20L,2021-08-18 19:04:00,101.694,33.848
Onset HOBO U20L,2021-08-18 19:05:00,101.7,33.743
Onset HOBO U20L,2021-08-18 19:06:00,101.72,33.743
Onset HOBO U20L,2021-08-18 19:07:00,101.69,33.743
Onset HOBO U20L,2021-08-18 19:08:00,101.7,33.743
Onset HOBO U20L,2021-08-18 19:09:00,101.69,33.743
Onset HOBO U20L,2021-08-18 19:10:00,101.7,33.743
Onset HOBO U20L,2021-08-18 19:11:00,101.686,33.639
Onset HOBO U20L,2021-08-18 19:12:00,101.696,33.639
Onset HOBO U20L,2021-08-18 19:13:00,101.686,33.639
Onset HOBO U20L,2021-08-18 19:14:00,101.682,33.535
Onset HOBO U20L,2021-08-18 19:15:00,101.692,33.535
Onset HOBO U20L,2021-08-18 19:16:00,101.678,33.43
Onset HOBO U20L,2021-08-18 19:17:00,101.688,33.43
Onset HOBO U20L,2021-08-18 19:18:00,101.678,33.43
Onset HOBO U20L,2021-08-18 19:19:00,101.678,33.43
Onset HOBO U20L,2021-08-18 19:20:00,101.678,33.43
Onset HOBO U20L,2021-08-18 19:21:00,101.678,33.43
Onset HOBO U20L,2021-08-18 19:22:00,101.674,33.326
Onset HOBO U20L,2021-08-18 19:23:00,101.664,33.326
Onset HOBO U20L,2021-08-18 19:24:00,101.664,33.326
Onset HOBO U20L,2021-08-18 19:25:00,101.674,33.326
Onset HOBO U20L,2021-08-18 19:26:00,101.654,33.326
Onset HOBO U20L,2021-08-18 19:27:00,101.674,33.326
Onset HOBO U20L,2021-08-18 19:28:00,101.664,33.326
Onset HOBO U20L,2021-08-18 19:29:00,101.664,33.326
Onset HOBO U20L,2021-08-18 19:30:00,101.678,33.43
Onset HOBO U20L,2021-08-18 19:31:00,101.668,33.43
Onset HOBO U20L,2021-08-18 19:32:00,101.658,33.43
Onset HOBO U20L,2021-08-18 19:33:00,101.658,33.43
Onset HOBO U20L,2021-08-18 19:34:00,101.658,33.43
Onset HOBO U20L,2021-08-18 19:35:00,101.648,33.43
Onset HOBO U20L,2021-08-18 19:36:00,101.658,33.43
Onset HOBO U20L,2021-08-18 19:37:00,101.662,33.535
Onset HOBO U20L,2021-08-18 19:38:00,101.662,33.535
Onset HOBO U20L,2021-08-18 19:39:00,101.652,33.535
Onset HOBO U20L,2021-08-18 19:40:00,101.662,33.535
Onset HOBO U20L,2021-08-18 19:41:00,101.656,33.639
Onset HOBO U20L,2021-08-18 19:42:00,101.666,33.639
Onset HOBO U20L,2021-08-18 19:43:00,101.666,33.639
Onset HOBO U20L,2021-08-18 19:44:00,101.66,33.743
Onset HOBO U20L,2021-08-18 19:45:00,101.66,33.743
Onset HOBO U20L,2021-08-18 19:46:00,101.674,33.848
Onset HOBO U20L,2021-08-18 19:47:00,101.664,33.848
Onset HOBO U20L,2021-08-18 19:48:00,101.668,33.953
Onset HOBO U20L,2021-08-18 19:49:00,101.668,33.953
Onset HOBO U20L,2021-08-18 19:50:00,101.678,33.953
Onset HOBO U20L,2021-08-18 19:51:00,101.668,33.953
Onset HOBO U20L,2021-08-18 19:52:00,101.662,34.058
Onset HOBO U20L,2021-08-18 19:53:00,101.662,34.058
Onset HOBO U20L,2021-08-18 19:54:00,101.662,34.058
Onset HOBO U20L,2021-08-18 19:55:00,101.656,34.163
Onset HOBO U20L,2021-08-18 19:56:00,101.656,34.163
Onset HOBO U20L,2021-08-18 19:57:00,101.656,34.163
Onset HOBO U20L,2021-08-18 19:58:00,101.656,34.163
