instrument,time,measured_temperature,measured_turbidity,cleaned_turbidity,turbidity_1min_avg,turbidity_1min_max,turbidity_1min_min,turbidity_1min_sd
Observator NEP-595,2021-08-18 15:27:05,29.19,50.69,50.69,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 15:37:06,29.25,53.68,53.68,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 15:47:05,29.37,39.22,39.22,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 15:57:06,29.34,38,38,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 16:07:06,29.46,55.26,55.26,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 16:17:06,29.67,43.87,43.87,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 16:27:06,30,55.09,55.09,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 16:37:06,30.18,49.22,49.22,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 16:47:05,30.39,53.34,53.34,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 16:57:06,30.39,57.86,57.86,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 17:07:05,30.54,55.58,55.58,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 17:17:05,30.69,57.56,57.56,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 17:27:05,30.75,41.41,41.41,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 17:37:05,30.75,48.22,48.22,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 17:47:06,31.02,44.01,44.01,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 17:57:06,30.75,41.57,41.57,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 18:07:06,31.14,57.72,57.72,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 18:17:06,31.53,69.07,69.07,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 18:27:06,31.68,55.63,55.63,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 18:37:06,31.83,59.6,59.6,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 18:47:06,32.13,69.03,69.03,not_collected,not_collected,not_collected,not_collected
Observator NEP-595,2021-08-18 18:57:06,32.19,75.7,75.7,not_collected,not_collected,not_collected,not_collected
