instrument,time,measured_temperature,measured_turbidity,cleaned_turbidity,turbidity_1min_avg,turbidity_1min_max,turbidity_1min_min,turbidity_1min_sd
Campbell Scientific OBS-3+,2021-08-18 17:41:00,34.47,17.03,-8888,17.9,20.69,17.03,1.273
Campbell Scientific OBS-3+,2021-08-18 17:42:00,34.31,17.03,-8888,57.97,252.5,17.03,87
Campbell Scientific OBS-3+,2021-08-18 17:43:00,34.32,18.17,-8888,139.7,743.9,17.04,270.2
Campbell Scientific OBS-3+,2021-08-18 17:44:00,34.53,17.93,-8888,17.6,17.93,17.39,0.172
Campbell Scientific OBS-3+,2021-08-18 17:45:00,34.38,17.64,-8888,17.85,18.08,17.64,0.19
Campbell Scientific OBS-3+,2021-08-18 17:46:00,34.56,19.01,-8888,19.41,24.49,17.43,2.535
Campbell Scientific OBS-3+,2021-08-18 17:47:00,34.68,18.98,-8888,18.3,19.03,17.18,0.648
Campbell Scientific OBS-3+,2021-08-18 17:48:00,34.46,18.02,-8888,16.99,18.02,16.41,0.52
Campbell Scientific OBS-3+,2021-08-18 17:49:00,34.64,18,-8888,17.83,18.97,17.29,0.581
Campbell Scientific OBS-3+,2021-08-18 17:50:00,34.66,19.16,-8888,18.43,19.16,17.13,0.702
Campbell Scientific OBS-3+,2021-08-18 17:51:00,34.75,17.29,-8888,16.34,17.29,15.57,0.561
Campbell Scientific OBS-3+,2021-08-18 17:52:00,34.69,17.5,-8888,17.72,18.29,17.14,0.375
Campbell Scientific OBS-3+,2021-08-18 17:53:00,34.53,18.51,-8888,18.01,18.51,17.58,0.35
Campbell Scientific OBS-3+,2021-08-18 17:54:00,34.55,17.23,-8888,17.83,18.25,17.23,0.335
Campbell Scientific OBS-3+,2021-08-18 17:55:00,34.56,18.7,-8888,18.17,18.7,17.87,0.287
Campbell Scientific OBS-3+,2021-08-18 17:56:00,34.57,16.38,-8888,16.73,18.23,16.38,0.672
Campbell Scientific OBS-3+,2021-08-18 17:57:00,34.82,17.47,-8888,17.3,17.74,16.79,0.331
Campbell Scientific OBS-3+,2021-08-18 17:58:00,34.76,19.29,-8888,18.48,19.29,17.32,0.676
Campbell Scientific OBS-3+,2021-08-18 17:59:00,34.85,19.22,-8888,18.64,19.35,17.94,0.531
Campbell Scientific OBS-3+,2021-08-18 18:00:00,34.74,18.43,-8888,18.24,18.5,17.76,0.248
Campbell Scientific OBS-3+,2021-08-18 18:01:00,35,20.48,-8888,19.65,20.48,18.51,0.755
Campbell Scientific OBS-3+,2021-08-18 18:02:00,35.06,19.22,-8888,19.52,21.15,18.18,0.984
Campbell Scientific OBS-3+,2021-08-18 18:03:00,34.95,17.51,-8888,18.36,19.5,17.51,0.688
