instrument,time,measured_temperature,measured_turbidity,cleaned_turbidity,turbidity_1min_avg,turbidity_1min_max,turbidity_1min_min,turbidity_1min_sd
Campbell Scientific OBS-3+,2021-08-18 16:30:00,35.95,30.98,-8888,36.29,83.7,16.34,22.73
Campbell Scientific OBS-3+,2021-08-18 16:31:00,36.2,63.82,-8888,50.03,128.6,17.1,38.27
Campbell Scientific OBS-3+,2021-08-18 16:32:00,36.45,16.17,-8888,32.17,55.36,16.17,14.23
Campbell Scientific OBS-3+,2021-08-18 16:33:00,36.31,16.56,-8888,16.44,17.75,15.73,0.691
Campbell Scientific OBS-3+,2021-08-18 16:34:00,36.41,16.65,-8888,22.53,50.43,16.48,12.48
Campbell Scientific OBS-3+,2021-08-18 16:35:00,36.51,16.14,-8888,18.38,24.25,15.86,3.014
Campbell Scientific OBS-3+,2021-08-18 16:36:00,36.57,16.47,-8888,318.4,991,16.18,427.1
Campbell Scientific OBS-3+,2021-08-18 16:37:00,36.66,15.81,-8888,15.57,15.81,15.37,0.139
Campbell Scientific OBS-3+,2021-08-18 16:38:00,36.93,15.91,-8888,17.39,25.13,15.74,3.462
Campbell Scientific OBS-3+,2021-08-18 16:39:00,36.87,16.06,-8888,15.91,16.12,15.62,0.206
Campbell Scientific OBS-3+,2021-08-18 16:40:00,36.96,15.97,-8888,15.98,16.38,15.2,0.382
Campbell Scientific OBS-3+,2021-08-18 16:41:00,37.05,20.21,-8888,21.36,30.67,15.98,5.335
Campbell Scientific OBS-3+,2021-08-18 16:42:00,37.29,16.66,-8888,16.24,17.43,15.05,0.757
Campbell Scientific OBS-3+,2021-08-18 16:43:00,37.22,15.47,-8888,16.01,16.44,15.47,0.311
Campbell Scientific OBS-3+,2021-08-18 16:44:00,37.38,16.48,-8888,16.14,16.68,15.64,0.36
Campbell Scientific OBS-3+,2021-08-18 16:45:00,37.61,15.84,-8888,15.89,16.72,15.54,0.394
Campbell Scientific OBS-3+,2021-08-18 16:46:00,37.43,41.17,-8888,28.54,41.17,16.57,7.686
Campbell Scientific OBS-3+,2021-08-18 16:47:00,37.48,24.37,-8888,29.7,33.52,24.37,2.997
Campbell Scientific OBS-3+,2021-08-18 16:48:00,37.53,20.18,-8888,20.58,24.32,18.36,2.143
Campbell Scientific OBS-3+,2021-08-18 16:49:00,37.61,19.78,-8888,19.9,20.83,18.16,0.863
Campbell Scientific OBS-3+,2021-08-18 16:50:00,37.67,37.79,-8888,30.95,39.52,20.96,7.463
Campbell Scientific OBS-3+,2021-08-18 16:51:00,37.62,20.62,-8888,21.58,23.16,20.11,0.984
