instrument,time,measured_temperature,measured_turbidity,cleaned_turbidity,turbidity_1min_avg,turbidity_1min_max,turbidity_1min_min,turbidity_1min_sd
Campbell Scientific OBS-3+,2021-08-17 16:06:00,36.15,76.95,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:08:00,36.15,69.95,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:10:00,36.21,40.63,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:12:00,36.12,12.32,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:14:00,36.36,10.27,10.27,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:16:00,36.37,7.4,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:18:00,36.39,6.959,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:20:00,36.5,26.05,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:22:00,36.57,15.08,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:24:00,36.58,85.7,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:26:00,36.61,37.75,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:28:00,36.63,51.18,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:30:00,36.66,19.17,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:32:00,36.65,20.03,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:34:00,36.7,12.65,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:36:00,36.7,7.393,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:38:00,36.69,7.093,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:40:00,36.69,5.935,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:42:00,36.53,6.113,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:44:00,36.62,5.824,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:46:00,36.72,5.752,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:48:00,36.72,10.72,10.72,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:50:00,36.65,140.8,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:52:00,36.58,10.59,10.59,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:54:00,36.66,109.7,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:56:00,36.65,36.03,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 16:58:00,36.54,5.979,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:00:00,36.65,7.492,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:02:00,36.69,5.687,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:04:00,36.78,5.883,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:06:00,36.71,5.901,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:08:00,36.82,5.332,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:10:00,36.79,5.311,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:12:00,36.86,5.839,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:14:00,36.85,5.313,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:16:00,36.92,5.683,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:18:00,36.81,5.619,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:20:00,37.04,5.257,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:22:00,37.13,5.335,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:24:00,37.14,5.191,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:26:00,37.25,5.39,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:28:00,37.26,5.23,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:30:00,37.36,5.15,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:32:00,37.4,4.819,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:34:00,37.45,4.959,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:36:00,37.4,5.111,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:38:00,37.49,5.126,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:40:00,37.61,5,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:42:00,37.62,5.086,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:44:00,37.69,5.041,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:46:00,37.56,5.228,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:48:00,37.64,5.075,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:50:00,37.79,5.286,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:52:00,37.65,5.142,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:54:00,37.82,5.629,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:56:00,37.87,5.6,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 17:58:00,37.7,5.174,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 18:00:00,37.73,4.76,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 18:02:00,37.79,5.073,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 18:04:00,37.64,5.031,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 18:06:00,37.82,4.894,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 18:08:00,37.82,5.32,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 18:10:00,37.87,5.337,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 18:12:00,37.93,5.4,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 18:14:00,38,5.335,-8888,not_collected,not_collected,not_collected,not_collected
Campbell Scientific OBS-3+,2021-08-17 18:16:00,38,5.112,-8888,not_collected,not_collected,not_collected,not_collected
