instrument,time,measured_pressure,measured_temperature
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:38:00,108.5967,32.4
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:39:00,108.52803,31.7
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:40:00,108.44955,31.3
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:41:00,108.43974,31.1
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:42:00,108.39069,31
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:43:00,108.37107,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:44:00,108.34164,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:45:00,108.32202,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:46:00,108.32202,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:47:00,108.28278,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:48:00,108.28278,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:49:00,108.28278,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:50:00,108.25335,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:51:00,108.24354,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:52:00,108.22392,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:53:00,108.21411,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:54:00,108.22392,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:55:00,108.18468,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:56:00,108.18468,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:57:00,108.18468,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:58:00,108.15525,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-17 16:59:00,108.16506,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:00:00,108.13563,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:01:00,108.13563,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:02:00,108.12582,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:03:00,108.09639,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:04:00,108.09639,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:05:00,108.07677,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:06:00,108.07677,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:07:00,108.06696,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:08:00,108.04734,30.7
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:09:00,108.03753,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:10:00,108.01791,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:11:00,108.01791,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:12:00,108.0081,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:13:00,107.99829,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:14:00,107.95905,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:15:00,107.97867,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:16:00,107.92962,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:17:00,107.94924,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:18:00,107.90019,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:19:00,107.92962,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:20:00,107.91981,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:21:00,107.89038,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:22:00,107.88057,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:23:00,107.88057,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:24:00,107.86095,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:25:00,107.86095,31
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:26:00,107.84133,31
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:27:00,107.83152,31
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:28:00,107.83152,31
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:29:00,107.8119,31
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:30:00,107.80209,31
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:31:00,107.79228,30.9
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:32:00,107.77266,30.8
Solinst Levelogger Junior Edge Model 3001,2021-08-17 17:33:00,107.75304,30.8
