basin,campaign,site_id,station_id,sensor_type,instrument,latitude,longitude,time_install,time_uninstall,depth_install_cm,depth_uninstall_cm,sensor_to_rodtop,bed_to_rodtop,bed_to_sensor,notes
Atchafalaya,Fall 2021,Mike Island,MW_channel,air pressure,Onset HOBO U20L,29.51027303,-91.44498403,2021-08-18 12:41:00,2021-08-27 07:32:00,-9999,-9999,-9999,-9999,-9999,"installed on top of battery tripod"
Atchafalaya,Fall 2021,Mike Island,MW_channel,air pressure,Solinst Levelogger Junior Edge Model 3001,29.51027303,-91.44498403,2021-08-18 12:41:00,2021-08-27 07:32:00,-9999,-9999,-9999,-9999,-9999,"installed on top of battery tripod"
Terrebonne,Fall 2021,421,pond,air pressure,Solinst Levelogger Junior Edge Model 3001,29.1715946,-90.82260367,2021-08-17 11:06:00,2021-08-26 10:22:00,57.5,-9999,-9999,-9999,-9999,"installed in shaded spot below box"
Terrebonne,Fall 2021,421,bigchannel,turbidity,Campbell Scientific OBS-3+,29.1715044,-90.82452944,2021-08-17 11:38:00,2021-08-26 10:34:00,97,-9999,151,181.5,30.5,""
Terrebonne,Fall 2021,421,channel,turbidity,Campbell Scientific OBS-3+,29.17158529,-90.82275577,2021-08-17 10:16:00,2021-08-26 10:25:00,113,-9999,114,185,71,""
Terrebonne,Fall 2021,421,disconnected,turbidity,Observator NEP-595,29.17151799,-90.82226596,2021-08-19 08:30:00,2021-08-26 10:01:00,33,-9999,97,114,17,""
Atchafalaya,Fall 2021,Mike Island,ME_channel,turbidity,Observator NEP-595,29.49332816,-91.44009179,2021-08-18 11:22:00,2021-08-27 07:10:00,95,-9999,121,157,36,""
Atchafalaya,Fall 2021,Mike Island,ME_interior,turbidity,Observator NEP-595,29.49378376,-91.44265561,2021-08-18 10:27:00,2021-08-27 07:15:00,86,-9999,67,86,19,""
Atchafalaya,Fall 2021,Mike Island,MW_channel,turbidity,Campbell Scientific OBS-3+,29.51025586,-91.44503761,2021-08-18 12:41:00,2021-08-27 07:32:00,62,-9999,98,125,27,""
Terrebonne,Fall 2021,421,pond,turbidity,Campbell Scientific OBS-3+,29.1715946,-90.82260367,2021-08-17 11:06:00,2021-08-26 10:22:00,57.5,-9999,38.8,57.5,18.7,""
Atchafalaya,Fall 2021,Mike Island,SC,turbidity,Campbell Scientific OBS-3+,29.50924758,-91.44048256,2021-08-18 11:30:00,2021-08-27 07:30:00,89,-9999,63.5,89,25.5,""
Terrebonne,Fall 2021,421,bigchannel,water pressure,Solinst Levelogger Junior Edge Model 3001,29.1715044,-90.82452944,2021-08-17 11:38:00,2021-08-26 10:34:00,97,-9999,157,181.5,24.5,""
Terrebonne,Fall 2021,421,channel,water pressure,Solinst Levelogger Junior Edge Model 3001,29.17158529,-90.82275577,2021-08-17 10:16:00,2021-08-26 10:25:00,113,-9999,121,185,64,""
Terrebonne,Fall 2021,421,disconnected,water pressure,Onset HOBO U20L,29.17151799,-90.82226596,2021-08-19 08:30:00,2021-08-26 10:01:00,33,-9999,104,114,10,""
Terrebonne,Fall 2021,421,disconnected,water pressure,Solinst Levelogger Junior Edge Model 3001,29.17151799,-90.82226596,2021-08-19 08:30:00,2021-08-26 10:01:00,33,-9999,104,114,10,""
Atchafalaya,Fall 2021,Mike Island,ME_channel,water pressure,Onset HOBO U20L,29.49332816,-91.44009179,2021-08-16 19:40:00,2021-08-27 07:10:00,95,-9999,115,157,42,""
Atchafalaya,Fall 2021,Mike Island,ME_channel,water pressure,Solinst Levelogger Junior Edge Model 3001,29.49332816,-91.44009179,2021-08-16 19:40:00,2021-08-27 07:10:00,95,-9999,115,157,42,""
Atchafalaya,Fall 2021,Mike Island,ME_interior,water pressure,Solinst Levelogger Junior Edge Model 3001,29.49378376,-91.44265561,2021-08-18 10:27:00,2021-08-27 07:15:00,86,-9999,65,86,21,""
Atchafalaya,Fall 2021,Mike Island,ME_interior,water pressure,Onset HOBO U20L,29.49378376,-91.44265561,2021-08-18 10:27:00,2021-08-27 07:15:00,86,-9999,64,86,22,""
Atchafalaya,Fall 2021,Mike Island,MW_channel,water pressure,Solinst Levelogger Junior Edge Model 3001,29.51025586,-91.44503761,2021-08-18 12:41:00,2021-08-27 07:32:00,62,-9999,105,125,20,""
Terrebonne,Fall 2021,421,pond,water pressure,Solinst Levelogger Junior Edge Model 3001,29.1715946,-90.82260367,2021-08-17 11:06:00,2021-08-26 10:22:00,57.5,-9999,36.2,57.5,21.3,""
Atchafalaya,Fall 2021,Mike Island,SC,water pressure,Solinst Levelogger Junior Edge Model 3001,29.50924758,-91.44048256,2021-08-18 11:30:00,2021-08-27 07:30:00,89,-9999,58.8,89,30.2,""
