instrument,time,measured_temperature,measured_turbidity,cleaned_turbidity,turbidity_1min_avg,turbidity_1min_max,turbidity_1min_min,turbidity_1min_sd
Campbell Scientific OBS-3+,2021-03-26 16:58:00,31.26,55.97,-8888,31.14,57.41,-1.619,26.62
Campbell Scientific OBS-3+,2021-03-26 16:59:00,31.47,56.75,-8888,56.64,58.47,55.38,0.958
Campbell Scientific OBS-3+,2021-03-26 17:00:00,31.55,55.91,-8888,56.63,57.78,55.91,0.567
Campbell Scientific OBS-3+,2021-03-26 17:01:00,31.8,55.62,-8888,56.37,57.16,55.62,0.537
Campbell Scientific OBS-3+,2021-03-26 17:02:00,32.1,56.07,-8888,56.23,58.04,55.19,0.887
Campbell Scientific OBS-3+,2021-03-26 17:03:00,32.23,55.98,-8888,56.43,58.47,55.23,1.007
Campbell Scientific OBS-3+,2021-03-26 17:04:00,32.43,10.87,10.87,42.92,57.01,10.87,19.27
Campbell Scientific OBS-3+,2021-03-26 17:05:00,32.37,56.69,-8888,17.85,56.69,-1.64,20.77
Campbell Scientific OBS-3+,2021-03-26 17:06:00,32.7,56.43,-8888,56.73,57.27,56.43,0.33
Campbell Scientific OBS-3+,2021-03-26 17:07:00,32.63,55.06,-8888,55.9,56.65,55.06,0.517
Campbell Scientific OBS-3+,2021-03-26 17:08:00,32.96,56.68,-8888,55.93,56.72,55.36,0.561
Campbell Scientific OBS-3+,2021-03-26 17:09:00,32.87,20.5,-8888,28.23,55.05,-0.916,22.33
Campbell Scientific OBS-3+,2021-03-26 17:10:00,32.99,55.98,-8888,47.93,56.33,7.787,17.96
Campbell Scientific OBS-3+,2021-03-26 17:11:00,33.11,55.62,-8888,56.52,58.32,55.62,0.865
Campbell Scientific OBS-3+,2021-03-26 17:12:00,33.23,56.05,-8888,56.32,57.35,55.05,0.792
Campbell Scientific OBS-3+,2021-03-26 17:13:00,33.5,56.66,-8888,55.94,56.66,55.3,0.478
Campbell Scientific OBS-3+,2021-03-26 17:14:00,33.67,55.08,-8888,56.29,57.27,55.08,0.681
Campbell Scientific OBS-3+,2021-03-26 17:15:00,33.61,56.11,-8888,55.95,56.73,54.46,0.736
Campbell Scientific OBS-3+,2021-03-26 17:16:00,33.89,56.27,-8888,55.88,56.27,55.36,0.333
Campbell Scientific OBS-3+,2021-03-26 17:17:00,33.82,55.38,-8888,55.29,56.61,54.59,0.656
Campbell Scientific OBS-3+,2021-03-26 17:18:00,33.92,54.84,-8888,52.95,56.55,39.39,6.099
Campbell Scientific OBS-3+,2021-03-26 17:19:00,34.04,55.76,-8888,55.76,57.26,54.96,0.784
Campbell Scientific OBS-3+,2021-03-26 17:20:00,34.31,57.35,-8888,56.13,57.35,55.56,0.595
Campbell Scientific OBS-3+,2021-03-26 17:21:00,34.41,55.22,-8888,55.65,56.52,55.16,0.483
