instrument,time,measured_pressure,measured_temperature
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:18:00,100.70946,17.5
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:18:30,100.71927,17.2
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:19:00,100.73889,17
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:19:30,100.75851,16
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:20:00,101.13129,15.3
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:20:30,101.6316,14.9
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:21:00,102.09267,14.6
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:21:30,102.37716,14.4
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:22:00,104.78061,14.2
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:22:30,104.85909,14.1
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:23:00,104.81004,14.1
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:23:30,104.76099,14
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:24:00,104.76099,14
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:24:30,104.69232,13.9
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:25:00,104.65308,13.9
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:25:30,104.60403,13.9
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:26:00,104.56479,13.9
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:26:30,104.69232,13.9
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:27:00,104.68251,13.9
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:27:30,104.69232,13.8
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:28:00,104.69232,13.8
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:28:30,104.72175,13.8
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:29:00,104.76099,13.8
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:29:30,104.80023,13.8
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:30:00,104.84928,13.8
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:30:30,104.88852,13.8
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:31:00,104.88852,13.8
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:31:30,104.88852,13.8
Solinst Levelogger Junior Edge Model 3001,2021-03-24 17:32:00,104.88852,13.8
