instrument,time,measured_pressure,measured_temperature
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:00:00,101.41578,19.4
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:00:30,103.46607,19.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:01:00,103.41702,17.8
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:01:30,103.50531,17.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:02:00,103.50531,16.5
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:02:30,103.51512,16.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:03:00,103.50531,15.9
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:03:30,103.51512,15.7
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:04:00,103.51512,15.6
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:04:30,103.53474,15.5
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:05:00,103.50531,15.4
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:05:30,103.53474,15.4
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:06:00,103.50531,15.3
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:06:30,103.51512,15.3
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:07:00,103.51512,15.3
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:07:30,103.51512,15.3
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:08:00,103.51512,15.3
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:08:30,103.51512,15.3
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:09:00,103.51512,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:09:30,103.53474,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:10:00,103.51512,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:10:30,103.51512,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:11:00,103.53474,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:11:30,103.53474,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:12:00,103.53474,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:12:30,103.53474,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:13:00,103.55436,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:13:30,103.55436,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:14:00,103.55436,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:14:30,103.56417,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:15:00,103.56417,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:15:30,103.55436,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:16:00,103.57398,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:16:30,103.57398,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:17:00,103.5936,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:17:30,103.56417,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:18:00,103.57398,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:18:30,103.57398,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:19:00,103.57398,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:19:30,103.57398,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:20:00,103.5936,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:20:30,103.5936,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:21:00,103.60341,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:21:30,103.60341,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:22:00,103.60341,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:22:30,103.60341,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:23:00,103.60341,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:23:30,103.60341,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:24:00,103.62303,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:24:30,103.62303,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:25:00,103.62303,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:25:30,103.62303,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:26:00,103.63284,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:26:30,103.62303,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:27:00,103.62303,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:27:30,103.63284,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:28:00,103.63284,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:28:30,103.63284,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:29:00,103.65246,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:29:30,103.65246,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:30:00,103.67208,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:30:30,103.65246,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:31:00,103.65246,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:31:30,103.67208,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:32:00,103.67208,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:32:30,103.67208,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:33:00,103.68189,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:33:30,103.68189,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:34:00,103.68189,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:34:30,103.68189,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:35:00,103.6917,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:35:30,103.71132,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:36:00,103.6917,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:36:30,103.6917,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:37:00,103.6917,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:37:30,103.71132,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:38:00,103.71132,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:38:30,103.72113,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:39:00,103.72113,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:39:30,103.72113,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:40:00,103.72113,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:40:30,103.74075,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:41:00,103.74075,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:41:30,103.74075,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:42:00,103.74075,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:42:30,103.75056,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:43:00,103.75056,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:43:30,103.77018,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:44:00,103.77018,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:44:30,103.77018,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:45:00,103.77018,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:45:30,103.77018,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:46:00,103.7898,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:46:30,103.7898,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:47:00,103.7898,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:47:30,103.7898,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:48:00,103.79961,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:48:30,103.79961,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:49:00,103.82904,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:49:30,103.82904,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:50:00,103.83885,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:50:30,103.83885,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:51:00,103.83885,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:51:30,103.85847,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:52:00,103.85847,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:52:30,103.85847,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:53:00,103.87809,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:53:30,103.8879,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:54:00,103.8879,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:54:30,103.8879,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:55:00,103.89771,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:55:30,103.89771,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:56:00,103.89771,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:56:30,103.91733,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:57:00,103.91733,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:57:30,103.92714,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:58:00,103.92714,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:58:30,103.92714,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:59:00,103.94676,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:59:30,103.94676,15.2
Solinst Levelogger Junior Edge Model 3001,2021-03-26 16:00:00,103.94676,15.2
