instrument,time,measured_pressure,measured_temperature
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:08:00,101.06262,18.3
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:08:30,101.043,18.1
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:09:00,101.06262,18.1
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:09:30,101.043,18.1
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:10:00,101.043,18.1
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:10:30,101.03319,18
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:11:00,101.03319,17.8
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:11:30,104.80023,16.7
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:12:00,104.82966,15.7
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:12:30,104.91795,15.1
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:13:00,104.92776,14.7
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:13:30,104.94738,14.4
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:14:00,104.97681,14.2
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:14:30,105.00624,14.1
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:15:00,105.03567,14
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:15:30,105.0651,13.9
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:16:00,105.09453,13.9
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:16:30,105.10434,13.8
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:17:00,105.13377,13.8
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:17:30,105.1632,13.8
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:18:00,105.19263,13.7
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:18:30,105.19263,13.7
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:19:00,105.22206,13.7
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:19:30,105.24168,13.7
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:20:00,105.25149,13.7
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:20:30,105.25149,13.7
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:21:00,105.25149,13.7
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:21:30,105.27111,13.7
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:22:00,105.22206,13.7
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:22:30,105.21225,13.6
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:23:00,105.19263,13.6
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:23:30,105.18282,13.6
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:24:00,105.1632,13.6
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:24:30,105.15339,13.6
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:25:00,105.12396,13.6
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:25:30,105.15339,13.7
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:26:00,105.12396,13.6
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:26:30,105.09453,13.6
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:27:00,105.09453,13.6
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:27:30,105.09453,13.6
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:28:00,105.12396,13.6
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:28:30,105.10434,13.6
Solinst Levelogger Junior Edge Model 3001,2021-03-24 16:29:00,105.09453,13.6
